Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AboutService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,11,2,3,2,0,6,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,2,00,0,0,0,0
File,"AbstractDruidDBConfig.java",1,1,1,1,18,1,12,5,,,,,1,0,0,4,,4,4,2,4,,0,1,0,3,,115,15,76,34,41,26,,,,56,63,30,33,,,,,,3,3,3,1,,,1,,,,0,34,6,6,6,4
File,"Application.java",2,2,2,1,12,2,8,2,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,32,6,18,12,5,8,,,,10,13,10,3,,,,,,2,2,2,1,,,1,,,,0,44,2,2,2,1
File,"BaseDao.java",1,1,1,1,7,1,4,0,,,,,1,0,9,26,,26,26,1,26,,0,1,0,25,,283,84,181,102,80,18,,,,88,122,76,46,,,,,,2,2,3,1,,,1,,,,0,10,33,33,34,26
File,"BaseSolr.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,10,10,0,10,,0,0,0,10,,134,15,22,21,0,97,,,,20,21,21,0,,,,,,0,0,0,0,,,0,,,,4,41,0,0,0,0
File,"BaseSolrImpl.java",1,1,1,1,23,1,12,9,,,,,1,0,1,10,,10,10,1,10,,0,0,0,10,,299,38,165,69,104,96,,,,116,133,57,76,,,,,,3,3,3,1,,,2,,,,0,58,16,16,16,10
File,"BaseTest.java",1,1,1,1,20,4,10,5,,,,,1,0,0,7,,7,7,3,7,,0,0,0,7,,202,50,110,60,56,43,,,,74,90,52,38,,,,,,2,2,2,1,,,1,,,,0,39,11,11,11,7
File,"BaseTest.java",3,3,3,1,19,7,12,0,,,,,1,0,1,1,,1,1,2,1,,0,0,0,1,,58,16,37,27,9,5,,,,24,30,24,6,,,,,,3,3,3,1,,,1,,,,0,14,3,3,3,1
File,"BaseTest.java",1,1,1,1,5,1,4,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,31,6,19,15,2,6,,,,11,13,11,2,,,,,,1,1,1,1,,,0,,,,0,32,1,1,1,1
File,"BaseTest.java",1,1,1,1,6,2,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,29,7,16,12,2,6,,,,9,11,9,2,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BaseTest.java",1,1,1,1,25,4,9,11,,,,,1,0,0,17,,17,17,3,17,,0,0,0,17,,516,112,208,127,124,205,,,,146,171,114,57,,,,,,2,2,2,1,,,2,,,,0,99,21,21,21,17
File,"BaseTests.java",1,1,1,1,11,2,8,0,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,118,33,85,50,38,0,,,,59,68,41,27,,,,,,2,2,2,1,,,1,,,,0,00,7,7,7,6
File,"BaseUtils.java",1,1,1,1,15,2,8,4,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,41,7,20,6,12,14,,,,12,16,6,10,,,,,,2,2,2,1,,,1,,,,0,70,3,3,3,2
File,"Book.java",1,1,1,1,3,0,3,0,,,,,1,0,0,11,,11,11,4,11,,0,0,0,11,,69,17,52,22,18,0,,,,20,32,19,13,,,,,,1,1,1,1,,,0,,,,0,00,11,11,11,11
File,"BookRepository.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,23,6,11,10,0,6,,,,9,10,10,0,,,,,,0,0,0,0,,,0,,,,0,55,0,0,0,0
File,"BookService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,6,6,0,6,,6,0,0,0,,28,9,13,12,0,6,,,,11,12,12,0,,,,,,0,0,0,0,,,0,,,,0,46,0,0,0,0
File,"BookServiceImpl.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,1,6,,0,0,0,6,,55,12,37,24,6,6,,,,15,22,16,6,,,,,,1,1,1,1,,,0,,,,0,16,6,6,6,6
File,"CacheUtils.java",1,1,1,1,9,1,3,4,,,,,1,47,1,69,,69,1,1,48,,0,0,0,48,,657,121,227,80,103,309,,,,97,151,76,75,,,,,,3,3,3,3,,,1,,,,1,36,74,74,75,71
File,"Commons.java",1,1,1,1,11,0,6,5,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,46,7,29,19,9,10,,,,20,23,16,7,,,,,,1,1,1,1,,,0,,,,0,34,2,2,2,2
File,"Consumer.java",2,2,2,1,29,7,20,6,,,,,2,0,0,2,,2,2,2,2,,0,0,0,2,,80,17,46,21,21,21,,,,26,33,19,14,,,,,,3,3,3,1,,,2,,,,0,46,5,5,5,2
File,"ConsumerDemoService.java",1,1,1,1,4,0,4,2,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,24,5,13,10,2,8,,,,7,9,8,1,,,,,,1,1,1,1,,,0,,,,0,62,1,1,1,1
File,"ConsumerTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,28,4,18,15,1,6,,,,10,12,11,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"ControllerInterceptor.java",1,1,1,1,7,1,6,1,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,55,11,33,19,12,12,,,,20,25,16,9,,,,,,2,2,3,1,,,1,,,,0,36,4,4,5,3
File,"DBOneConfiguration.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,3,3,,0,0,0,3,,49,10,33,26,3,6,,,,17,21,18,3,,,,,,1,1,1,1,,,0,,,,0,18,3,3,3,3
File,"DBTwoConfiguration.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,3,3,,0,0,0,3,,53,10,37,30,3,6,,,,18,22,19,3,,,,,,1,1,1,1,,,0,,,,0,16,3,3,3,3
File,"DemoConsumerController.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,28,6,16,13,1,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"DemoDao.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,18,5,7,6,0,6,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,86,0,0,0,0
File,"DemoDaoImpl.java",1,1,1,1,5,0,5,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,53,11,36,23,12,6,,,,20,25,17,8,,,,,,1,1,1,1,,,0,,,,0,17,4,4,4,4
File,"DemoEntity.java",1,1,1,1,3,0,3,0,,,,,1,0,0,10,,10,10,5,10,,0,0,0,10,,69,19,44,23,10,6,,,,20,31,21,10,,,,,,1,1,1,1,,,0,,,,0,14,10,10,10,10
File,"DemoService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,13,3,4,3,0,6,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,1,50,0,0,0,0
File,"DemoServiceImpl.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,25,5,14,10,2,6,,,,8,10,8,2,,,,,,1,1,1,1,,,0,,,,0,43,1,1,1,1
File,"DirectReceiver.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,20,3,12,9,1,5,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,42,1,1,1,1
File,"DruidDbProperties.java",1,1,1,1,3,0,3,0,,,,,1,0,0,34,,34,34,17,34,,0,0,0,34,,221,54,124,55,48,43,,,,53,88,54,34,,,,,,1,1,1,1,,,0,,,,0,35,34,34,34,34
File,"DruidMonitConfig.java",1,1,1,1,7,0,6,2,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,79,11,58,33,21,15,,,,34,42,25,17,,,,,,3,3,3,1,,,1,,,,0,26,7,7,7,5
File,"ElasticsearchConfig.java",2,2,2,1,22,5,16,3,,,,,1,0,1,1,,1,1,4,1,,0,0,0,1,,73,13,41,29,14,21,,,,24,27,22,5,,,,,,2,2,2,1,,,1,,,,0,51,2,2,2,1
File,"ElasticsearchConfig.java",1,1,1,1,7,1,6,1,,,,,1,0,0,2,,2,2,4,2,,0,0,0,2,,68,11,39,29,9,20,,,,19,22,20,2,,,,,,1,1,1,1,,,0,,,,0,51,2,2,2,2
File,"ElasticsearchUtils.java",2,2,3,1,25,3,11,10,,,,,1,15,2,16,,16,1,1,16,,0,1,0,15,,481,85,227,77,131,169,,,,118,168,78,90,,,,,,12,12,14,1,,,4,,,,0,74,45,45,48,16
File,"ElasticsearchUtilsTest.java",2,2,2,1,21,4,10,6,,,,,3,0,1,9,,9,9,0,9,,0,0,0,9,,266,84,119,61,61,63,,,,68,95,56,39,,,,,,9,9,10,1,,,3,,,,0,53,20,20,21,9
File,"EsPage.java",1,1,1,1,5,0,4,1,,,,,1,0,0,15,,15,15,7,15,,0,0,0,15,,124,23,77,26,31,31,,,,37,56,26,30,,,,,,4,4,4,1,,,2,,,,0,40,18,18,18,15
File,"FanoutReceiver1.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,21,3,12,9,1,6,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,50,1,1,1,1
File,"FanoutReceiver2.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,21,3,12,9,1,6,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,50,1,1,1,1
File,"HelloReceiver.java",3,3,3,1,25,6,16,3,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,50,15,32,16,13,3,,,,19,23,13,10,,,,,,3,3,3,1,,,2,,,,0,09,3,3,3,1
File,"HelloSender.java",1,1,1,1,11,1,6,3,,,,,1,0,0,4,,4,3,2,3,,0,0,0,3,,70,18,39,21,14,13,,,,23,28,17,11,,,,,,2,2,2,1,,,1,,,,0,33,6,6,6,4
File,"IBaseDao.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,25,25,0,25,,0,0,0,25,,240,29,29,28,0,182,,,,27,28,28,0,,,,,,0,0,0,0,,,0,,,,6,28,0,0,0,0
File,"ISelect.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,16,3,4,3,0,9,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,2,25,0,0,0,0
File,"IndexController.java",1,1,1,1,6,0,3,3,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,22,5,14,11,1,3,,,,7,9,8,1,,,,,,1,1,1,1,,,0,,,,0,21,1,1,1,1
File,"IndexController.java",3,3,3,1,22,7,15,0,,,,,1,0,1,1,,1,1,2,1,,0,0,0,1,,56,14,36,25,12,6,,,,24,30,23,7,,,,,,3,3,3,1,,,1,,,,0,17,3,3,3,1
File,"IndexController.java",1,1,1,1,17,2,9,6,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,41,7,22,14,8,12,,,,14,16,10,6,,,,,,1,1,1,1,,,0,,,,0,55,1,1,1,1
File,"KafkaConfiguration.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,17,4,7,6,0,6,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,86,0,0,0,0
File,"LimitAspect.java",5,5,9,2,28,4,23,1,,,,,1,1,1,2,,2,1,2,2,,0,0,0,2,,101,17,76,40,36,9,,,,44,55,35,20,,,,,,7,7,14,3,,,3,,,,0,12,10,10,19,4
File,"LimiterController.java",1,1,1,1,7,2,5,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,36,7,22,19,3,7,,,,14,16,15,1,,,,,,1,1,1,1,,,0,,,,0,32,1,1,1,1
File,"Log.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,28,4,11,10,0,13,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,1,18,0,0,0,0
File,"LogAspect.java",3,3,3,3,20,4,15,0,,,,,1,0,4,2,,2,2,0,2,,0,0,0,2,,75,16,56,37,27,3,,,,38,45,33,12,,,,,,5,5,5,5,,,2,,,,0,05,6,6,6,6
File,"LuceneUtils.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,12,3,3,2,0,6,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,2,00,0,0,0,0
File,"MsgConsumer.java",1,1,1,1,4,1,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,21,5,10,7,1,6,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,60,1,1,1,1
File,"MsgProducer.java",1,1,1,1,8,0,7,0,,,,,2,0,1,4,,4,4,1,4,,0,0,0,4,,53,10,36,14,17,7,,,,17,23,15,8,,,,,,2,2,2,1,,,0,,,,0,19,5,5,5,4
File,"MyWebMvcConfigurer.java",1,1,1,1,10,1,4,6,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,27,4,12,8,2,12,,,,6,8,6,2,,,,,,1,1,1,1,,,0,,,,1,00,1,1,1,1
File,"Page.java",1,1,1,1,5,0,4,1,,,,,1,0,1,41,,41,41,12,41,,0,2,0,39,,347,46,205,59,99,96,,,,103,153,59,94,,,,,,5,5,7,1,,,1,,,,0,47,55,55,64,41
File,"PageInfo.java",1,1,1,1,5,0,5,0,,,,,1,0,1,47,,47,47,18,47,,0,3,0,44,,384,56,267,81,133,62,,,,141,204,80,124,,,,,,8,8,8,1,,,3,,,,0,23,66,66,68,47
File,"PageInfoFacet.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,27,8,19,10,4,0,,,,9,14,10,4,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"Producer.java",3,3,3,1,39,13,18,9,,,,,1,0,0,1,,1,1,2,1,,0,0,0,1,,72,19,33,20,14,21,,,,21,25,17,8,,,,,,3,3,3,1,,,2,,,,0,64,3,3,3,1
File,"PropertiesConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,17,2,9,8,0,7,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,78,0,0,0,0
File,"PropertiesConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,17,2,9,8,0,7,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,78,0,0,0,0
File,"QueryResult.java",1,1,1,1,3,0,3,0,,,,,1,0,1,6,,6,6,2,6,,0,0,0,6,,43,12,26,12,8,5,,,,12,19,12,7,,,,,,1,1,1,1,,,0,,,,0,19,6,6,6,6
File,"RabbitConfig.java",1,1,1,1,4,0,3,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,16,4,11,8,1,1,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,09,1,1,1,1
File,"RabbitDirectConfig.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,2,0,0,2,,42,7,23,14,4,12,,,,8,13,9,4,,,,,,1,1,1,1,,,0,,,,0,52,4,4,4,4
File,"RabbitDirectTest.java",1,1,1,1,13,5,7,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,56,18,31,22,11,7,,,,20,23,17,6,,,,,,1,1,1,1,,,0,,,,0,23,2,2,2,2
File,"RabbitFanoutConfig.java",1,1,1,1,3,0,3,0,,,,,1,0,2,5,,5,5,0,5,,3,0,0,2,,49,9,29,18,7,11,,,,11,17,12,5,,,,,,1,1,1,1,,,0,,,,0,38,5,5,5,5
File,"RabbitFanoutTest.java",1,1,1,1,14,6,8,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,56,18,32,23,12,6,,,,21,24,18,6,,,,,,1,1,1,1,,,0,,,,0,19,2,2,2,2
File,"RabbitTopicConfig.java",1,1,1,1,3,0,3,0,,,,,1,0,3,7,,7,7,0,7,,4,0,0,3,,66,13,41,26,10,12,,,,17,25,18,7,,,,,,1,1,1,1,,,0,,,,0,29,7,7,7,7
