Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AndroidBmpUtil.java",2,2,2,1,33,6,16,10,,,,,1,6,2,6,,6,0,0,6,,0,5,0,1,,226,49,108,33,80,69,,,,78,94,35,59,,,,,,10,10,10,3,,,5,,,,0,64,15,15,16,8
File,"ArraySwipeAdapter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,16,,16,16,1,16,,0,0,0,16,,105,21,84,44,23,0,,,,31,49,30,19,,,,,,2,2,2,1,,,1,,,,0,00,17,17,17,16
File,"AssertService.java",1,1,2,1,7,0,7,0,,,,,1,2,1,5,,5,3,0,5,,0,0,0,5,,69,10,51,20,24,8,,,,25,34,17,17,,,,,,4,4,5,1,,,2,,,,0,16,9,9,10,5
File,"AudioRecorder.java",3,3,4,2,17,2,14,0,,,,,1,0,0,3,,3,3,3,3,,0,0,0,3,,74,13,53,15,33,8,,,,27,39,14,25,,,,,,9,9,12,5,,,3,,,,0,15,11,11,14,7
File,"BaseActivity.java",2,2,2,1,11,0,10,0,,,,,1,3,0,7,,7,4,1,7,,0,0,2,5,,107,14,90,31,51,5,,,,49,69,29,40,,,,,,4,4,4,4,,,3,,,,0,06,18,18,19,10
File,"BaseSwipeAdapter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,10,,13,13,1,13,,0,0,0,13,,104,18,64,36,18,22,,,,28,40,25,15,,,,,,2,2,2,1,,,1,,,,0,34,11,11,11,10
File,"BitmapImageView.java",2,2,2,1,6,0,6,0,,,,,1,0,0,6,,6,6,2,6,,0,0,2,4,,69,10,53,19,22,6,,,,24,37,17,20,,,,,,5,5,6,1,,,3,,,,0,11,13,13,14,6
File,"BuildConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,6,1,4,3,1,1,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,25,0,0,0,0
File,"CommonIntentExtra.java",0,0,0,0,0,0,0,0,,,,,1,0,7,0,,0,0,0,0,,0,0,0,0,,25,8,10,9,7,7,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,70,0,0,0,0
File,"ConvertToUtils.java",2,2,2,1,12,0,6,6,,,,,1,15,1,15,,15,0,0,15,,0,0,0,15,,212,18,104,21,54,90,,,,35,66,21,45,,,,,,4,4,6,4,,,1,,,,0,87,30,30,32,28
File,"CursorSwipeAdapter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,12,,12,12,1,12,,0,0,2,10,,85,17,68,38,19,0,,,,28,42,27,15,,,,,,2,2,2,1,,,1,,,,0,00,13,13,13,12
File,"DeviceUtils.java",1,1,1,1,6,0,4,2,,,,,1,26,0,26,,26,0,0,26,,0,0,0,26,,222,30,133,50,53,60,,,,52,92,49,43,,,,,,5,5,6,5,,,4,,,,0,45,38,38,42,33
File,"EyeView.java",2,2,2,1,16,1,14,0,,,,,2,0,0,7,,7,7,6,7,,0,0,0,7,,155,25,126,58,84,4,,,,78,93,49,44,,,,,,4,4,4,1,,,1,,,,0,03,14,14,15,7
File,"FFMpegUtils.java",6,5,7,2,48,4,33,10,,,,,1,6,6,6,,6,0,0,6,,0,0,0,6,,433,42,218,51,171,176,,,,139,171,52,119,,,,,,19,17,23,6,,,6,,,,0,81,37,33,45,13
File,"FileUtils.java",3,3,4,1,15,0,13,2,,,,,1,19,0,19,,19,0,0,19,,0,0,0,19,,341,31,274,73,174,40,,,,131,195,75,120,,,,,,9,9,10,4,,,4,,,,0,15,66,66,89,27
File,"Fragment_Dicover.java",2,2,2,1,9,0,8,0,,,,,1,0,0,2,,2,2,2,2,,0,1,0,1,,40,4,29,15,10,7,,,,15,20,13,7,,,,,,3,3,3,1,,,2,,,,0,24,4,4,4,2
File,"Fragment_Friends.java",1,1,1,1,10,0,10,0,,,,,3,0,1,10,,10,10,12,10,,0,1,0,9,,182,19,152,68,78,14,,,,83,103,54,49,,,,,,4,4,4,3,,,2,,,,0,09,17,17,17,12
File,"Fragment_Msg.java",2,2,2,1,23,4,18,1,,,,,3,0,0,7,,7,7,3,7,,0,2,0,5,,141,27,102,35,60,12,,,,45,62,33,29,,,,,,4,4,4,1,,,2,,,,0,12,16,16,16,7
File,"Fragment_Profile.java",2,2,2,1,9,0,8,0,,,,,1,0,0,2,,2,2,2,2,,0,1,0,1,,40,4,29,15,10,7,,,,15,20,13,7,,,,,,3,3,3,1,,,2,,,,0,24,4,4,4,2
File,"IMediaRecorder.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,0,0,0,4,,39,5,8,7,0,26,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,3,25,0,0,0,0
File,"ImportVideoActivity.java",2,2,2,1,17,1,14,1,,,,,2,0,0,8,,8,8,7,8,,0,1,4,3,,165,22,129,41,76,15,,,,73,90,38,52,,,,,,4,4,5,3,,,2,,,,0,12,17,16,20,10
File,"IsUtils.java",1,1,2,1,10,0,5,5,,,,,1,8,2,8,,8,0,0,8,,0,0,0,8,,104,12,48,13,23,44,,,,18,35,14,21,,,,,,4,4,6,4,,,2,,,,0,92,15,15,19,11
File,"LaunchActivity.java",1,1,1,1,4,1,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,15,5,9,6,1,1,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,11,1,1,1,1
File,"Log.java",1,1,1,1,8,0,4,3,,,,,1,11,2,11,,11,0,0,11,,0,0,0,11,,113,15,56,15,21,42,,,,14,35,15,20,,,,,,2,2,2,1,,,1,,,,0,75,20,20,20,11
File,"Logger.java",1,1,1,1,8,0,5,2,,,,,1,24,2,24,,24,0,0,24,,0,1,0,23,,258,32,154,38,71,72,,,,47,94,37,57,,,,,,2,2,2,1,,,1,,,,0,47,46,46,46,24
File,"MainActivity.java",3,2,3,1,24,0,23,0,,,,,1,0,0,3,,3,3,13,3,,0,1,1,1,,108,6,94,28,61,12,,,,67,74,26,48,,,,,,7,4,7,1,,,2,,,,0,13,9,6,9,3
File,"MediaObject.java",2,2,2,1,9,0,8,0,,,,,2,1,6,34,,34,33,32,34,,0,0,0,34,,446,47,335,96,193,64,,,,182,266,102,164,,,,,,7,7,8,1,,,4,,,,0,19,77,77,82,34
File,"MediaPlayer.java",2,2,2,1,10,0,10,0,,,,,2,3,3,19,,19,16,1,19,,0,0,0,19,,257,28,220,51,141,9,,,,96,135,39,96,,,,,,6,6,6,6,,,2,,,,0,04,56,55,56,37
File,"MediaPreviewActivity.java",3,2,3,1,20,1,16,2,,,,,5,1,4,26,,26,25,34,26,,0,15,3,8,,620,67,465,116,318,100,,,,263,331,108,223,,,,,,13,7,14,1,,,3,,,,0,22,79,67,93,26
File,"MediaRecorderActivity.java",3,3,3,1,19,1,15,2,,,,,6,0,5,27,,27,27,23,27,,0,9,1,17,,674,85,504,138,327,93,,,,273,367,121,246,,,,,,23,19,23,8,,,5,,,,0,18,98,93,105,48
File,"MediaRecorderBase.java",2,2,3,1,13,0,10,2,,,,,7,1,17,42,,49,48,19,49,,7,4,6,32,,752,89,503,144,301,163,,,,250,367,136,231,,,,,,10,10,10,6,,,4,,,,0,32,116,112,135,61
File,"MediaRecorderCustom.java",3,3,3,1,12,0,10,1,,,,,2,0,3,10,,10,10,4,10,,0,0,0,10,,183,27,133,43,73,23,,,,60,92,36,56,,,,,,15,13,16,1,,,5,,,,0,17,32,30,36,10
File,"MediaRecorderNative.java",2,2,3,1,10,0,8,1,,,,,1,0,1,6,,6,6,0,6,,0,0,1,5,,95,12,67,22,34,17,,,,28,44,16,28,,,,,,5,5,5,1,,,2,,,,0,25,16,16,18,6
File,"MediaRecorderSystem.java",3,3,4,1,24,2,19,3,,,,,2,0,0,9,,9,9,1,9,,0,0,4,5,,220,30,163,34,112,35,,,,87,116,31,85,,,,,,9,9,10,5,,,3,,,,0,21,35,35,38,16
File,"MediaThemeObject.java",2,2,2,1,7,0,5,1,,,,,1,0,0,3,,3,3,10,3,,0,1,0,2,,58,12,29,15,7,17,,,,15,23,16,7,,,,,,3,3,3,3,,,2,,,,0,59,6,6,7,5
File,"NestRadioGroup.java",2,2,2,1,10,0,6,3,,,,,5,1,0,25,,26,25,6,26,,0,4,4,18,,363,40,200,64,94,126,,,,85,140,57,83,,,,,,5,5,6,5,,,3,,,,0,63,50,50,53,29
File,"NetworkUtils.java",7,4,7,4,24,0,21,3,,,,,1,5,0,5,,5,0,0,5,,0,0,0,5,,144,10,120,31,82,16,,,,47,73,29,44,,,,,,16,9,16,8,,,6,,,,0,13,38,23,38,22
File,"NewMsgAdpter.java",1,1,1,1,5,0,5,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,51,9,42,22,14,0,,,,19,27,17,10,,,,,,3,3,3,1,,,2,,,,0,00,7,7,7,5
File,"POThemeSingle.java",1,1,1,1,10,0,8,2,,,,,1,0,11,20,,20,20,56,20,,0,0,0,20,,402,46,250,99,132,110,,,,176,210,97,113,,,,,,10,10,11,1,,,2,,,,0,44,35,35,38,20
File,"PingYinUtil.java",4,4,4,1,28,1,21,6,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,69,5,51,18,33,13,,,,31,40,19,21,,,,,,4,4,4,1,,,3,,,,0,25,8,8,8,2
File,"PinyinComparator.java",1,1,1,1,5,0,5,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,14,4,10,7,3,0,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"PreferenceKeys.java",0,0,0,0,0,0,0,0,,,,,1,0,31,0,,0,0,0,0,,0,0,0,0,,87,15,34,33,31,38,,,,32,33,33,0,,,,,,0,0,0,0,,,0,,,,1,12,0,0,0,0
File,"PreferenceUtils.java",1,1,1,1,5,0,5,0,,,,,1,24,0,30,,30,6,1,30,,0,0,0,30,,215,35,179,61,91,1,,,,79,130,62,68,,,,,,3,3,4,1,,,2,,,,0,01,49,49,50,30
File,"ProgressView.java",2,2,2,1,14,1,11,1,,,,,2,0,2,12,,12,12,13,12,,0,1,3,8,,234,36,169,52,109,29,,,,98,123,47,76,,,,,,10,10,11,1,,,4,,,,0,17,25,24,26,12
File,"PullDownListView.java",3,3,4,1,17,1,15,0,,,,,5,0,4,17,,20,20,12,20,,0,0,0,20,,353,49,298,71,192,6,,,,143,202,65,137,,,,,,29,26,38,15,,,4,,,,0,02,61,58,70,31
File,"R.java",0,0,0,0,0,0,0,0,,,,,5,0,4,0,,0,0,0,0,,0,0,0,0,,47,9,15,10,4,23,,,,5,10,10,0,,,,,,0,0,0,0,,,0,,,,1,53,0,0,0,0
File,"RecorderHelper.java",1,1,1,1,10,0,7,2,,,,,1,5,0,5,,5,0,0,5,,0,0,0,5,,77,10,49,21,24,18,,,,27,37,21,16,,,,,,3,3,3,3,,,2,,,,0,37,9,9,9,9
File,"ResourceUtils.java",6,6,6,1,25,1,22,1,,,,,1,5,0,5,,5,0,0,5,,0,0,0,5,,149,16,125,33,81,8,,,,62,89,33,56,,,,,,8,8,9,4,,,4,,,,0,06,30,30,31,8
File,"SideBar.java",1,1,1,1,8,0,8,0,,,,,1,1,1,9,,9,8,5,9,,0,1,1,7,,114,13,99,42,55,2,,,,61,78,41,37,,,,,,6,6,7,3,,,2,,,,0,02,16,16,17,11
File,"SimpleCursorSwipeAdapter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,12,,12,12,1,12,,0,0,2,10,,87,17,70,40,19,0,,,,28,42,27,15,,,,,,2,2,2,1,,,1,,,,0,00,13,13,13,12
File,"SimpleSwipeListener.java",1,1,1,1,2,0,2,0,,,,,1,0,0,6,,6,6,0,6,,0,0,0,6,,28,7,21,14,0,0,,,,1,8,8,0,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
File,"StringUtils.java",1,1,2,1,9,0,5,3,,,,,1,27,8,27,,27,0,0,27,,0,0,0,27,,320,34,175,74,98,112,,,,84,131,70,61,,,,,,5,5,5,3,,,3,,,,0,64,51,51,55,31
File,"SurfaceVideoView.java",2,2,2,1,8,0,7,0,,,,,9,1,10,46,,47,46,22,47,,0,1,2,44,,563,75,439,111,273,50,,,,207,307,106,201,,,,,,9,9,12,4,,,3,,,,0,11,111,106,137,51
File,"SwipeAdapterInterface.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,5,1,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"SwipeItemMangerImpl.java",1,1,1,1,5,0,5,0,,,,,5,0,0,24,,22,24,13,24,,3,1,0,20,,229,45,180,71,86,4,,,,77,120,58,62,,,,,,3,3,3,1,,,2,,,,0,02,40,40,40,24
File,"SwipeItemMangerInterface.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,9,9,0,9,,0,0,0,9,,27,12,15,14,0,0,,,,13,14,14,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"SwipeLayout.java",3,3,4,2,15,0,12,1,,,,,11,0,0,79,,83,89,26,89,,2,14,8,65,,1421,171,1107,239,772,143,,,,470,767,219,548,,,,,,22,19,44,20,,,4,,,,0,13,315,286,394,162
File,"ThemeGroupLayout.java",1,1,1,1,3,0,3,0,,,,,2,0,0,7,,7,7,1,7,,0,0,0,7,,50,10,40,14,20,0,,,,21,28,14,14,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"ThemeHelper.java",8,8,10,3,44,2,37,6,,,,,1,9,6,9,,9,0,0,9,,0,1,0,8,,458,34,374,116,267,62,,,,179,257,102,155,,,,,,13,13,15,13,,,9,,,,0,17,75,75,95,31
File,"ThemeRadioButton.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,2,5,,0,1,0,4,,44,9,35,15,14,0,,,,18,25,13,12,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,5
File,"ThemeSufaceView.java",1,1,1,1,10,0,8,2,,,,,3,0,2,35,,36,36,28,36,,0,3,0,33,,493,53,334,91,195,113,,,,199,265,89,176,,,,,,18,18,21,1,,,5,,,,0,34,65,64,69,35
File,"ThemeView.java",2,2,2,1,11,1,9,1,,,,,1,0,0,3,,3,3,4,3,,0,0,0,3,,65,11,47,21,18,7,,,,28,36,20,16,,,,,,3,3,4,1,,,2,,,,0,15,7,7,8,3
File,"ThreadTask.java",1,1,1,1,5,0,4,0,,,,,2,0,3,12,,13,13,7,13,,0,0,5,8,,101,19,80,32,36,2,,,,42,58,30,28,,,,,,5,3,5,1,,,2,,,,0,03,16,14,16,12
File,"ToastUtils.java",1,1,1,1,4,0,4,0,,,,,2,12,0,13,,13,1,0,13,,0,0,0,13,,86,16,68,29,29,2,,,,34,50,29,21,,,,,,2,2,2,1,,,1,,,,0,03,15,15,15,13
File,"UtilityAdapter.java",2,2,2,1,10,0,8,1,,,,,2,38,32,9,,39,1,0,39,,0,0,0,39,,303,52,152,83,77,113,,,,102,124,82,42,,,,,,6,6,6,5,,,3,,,,0,74,21,21,21,15
File,"VCamera.java",2,2,2,1,13,0,10,2,,,,,1,9,7,9,,9,0,0,9,,0,0,1,8,,171,20,113,38,66,38,,,,60,82,38,44,,,,,,10,10,10,5,,,2,,,,0,34,23,23,23,13
File,"VCameraDemoApplication.java",2,2,2,1,10,0,8,0,,,,,1,2,2,5,,5,3,1,5,,0,0,0,5,,85,14,62,24,30,9,,,,31,44,23,21,,,,,,4,4,4,1,,,3,,,,0,15,11,11,11,5
File,"VideoPlayerActivity.java",2,2,3,1,12,0,10,1,,,,,1,0,0,11,,11,11,5,11,,0,0,2,9,,202,22,154,52,80,27,,,,79,106,37,69,,,,,,8,5,8,1,,,2,,,,0,18,32,27,33,11
File,"VideoView.java",2,2,3,1,9,0,8,0,,,,,7,0,10,37,,38,38,19,38,,0,1,1,36,,480,62,369,91,234,49,,,,174,257,87,170,,,,,,9,9,12,4,,,3,,,,0,13,93,89,116,40
File,"ZipUtils.java",3,3,3,1,35,6,17,12,,,,,1,5,0,5,,5,0,0,5,,0,1,0,4,,192,38,92,32,64,69,,,,55,74,33,41,,,,,,6,6,6,1,,,3,,,,0,75,18,18,18,5
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example.wechat01",2,1,2,1,15,1,13,0,,,,,9,0,1,,5,,24,32,24,,0,6,1,17,,511,60,406,161,219,52,,,,225,279,139,140,,,,,,7,4,7,3,,,2,,,,0,13,50,47,50,26
Public Class,"com.example.wechat01.Fragment_Dicover",2,2,2,1,9,0,8,0,1,0,0,0,,0,0,,,,2,2,2,2,0,1,0,1,,31,2,22,8,10,7,,,,8,13,6,7,,,,,,3,3,3,1,,2,2,,50,50,0,32,4,4,4,2
Private Method,"com.example.wechat01.Fragment_Dicover.initView",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,2,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,50,1,1,1,1
Public Method,"com.example.wechat01.Fragment_Dicover.onCreateView",,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,0,15,3,10,0,9,3,0,6,9,2,7,3,3,3,1,1,,,,,0,,2,0,,,0,00,3,3,3,1
Public Class,"com.example.wechat01.Fragment_Friends",2,2,2,1,19,0,18,0,1,2,2,0,,0,1,,,,2,7,2,2,0,1,0,1,,158,15,132,48,78,14,,,,63,83,34,49,,,,,,3,3,3,1,,2,2,,43,12,0,11,4,4,4,2
Static Class,"com.example.wechat01.Fragment_Friends.ContactAdapter",1,1,1,1,8,0,8,0,2,4,4,0,,0,0,,,,8,2,8,8,0,0,0,8,,95,10,84,32,46,4,,,,38,53,22,31,,,,,,4,4,4,3,,2,2,,56,56,0,05,13,13,13,10
Public Constructor,"com.example.wechat01.Fragment_Friends.ContactAdapter.ContactAdapter",,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,5,1,3,1,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,20,1,1,1,1
Static Class,"com.example.wechat01.Fragment_Friends.ContactAdapter.ViewHolder",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,3,0,0,0,0,0,0,,5,0,5,4,0,3,,,,3,4,4,0,,,,,,0,0,0,0,,1,0,,0,0,0,60,0,0,0,0
Public Method,"com.example.wechat01.Fragment_Friends.ContactAdapter.getCount",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.example.wechat01.Fragment_Friends.ContactAdapter.getItem",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.example.wechat01.Fragment_Friends.ContactAdapter.getItemId",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.example.wechat01.Fragment_Friends.ContactAdapter.getPositionForSection",,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,0,11,4,7,0,5,3,0,6,9,4,5,3,3,3,3,3,,,,,3,,2,3,,,0,00,3,3,3,3
Public Method,"com.example.wechat01.Fragment_Friends.ContactAdapter.getSectionForPosition",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.example.wechat01.Fragment_Friends.ContactAdapter.getSections",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.example.wechat01.Fragment_Friends.ContactAdapter.getView",,,,,,,,,,,,,,,,,,,,,,,,,,,9,37,1,36,7,31,0,15,6,1,19,23,5,18,4,4,4,1,3,,,,,0,,2,0,,,0,00,4,4,4,1
Private Method,"com.example.wechat01.Fragment_Friends.initView",,,,,,,,,,,,,,,,,,,,,,,,,,,12,23,0,22,3,20,1,18,1,0,12,13,2,11,1,1,1,1,0,,,,,0,,0,0,,,0,05,1,1,1,1
Public Method,"com.example.wechat01.Fragment_Friends.onCreateView",,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,0,15,3,10,0,9,3,0,6,9,2,7,3,3,3,1,1,,,,,0,,2,0,,,0,00,3,3,3,1
Public Class,"com.example.wechat01.Fragment_Msg",1,1,1,1,35,6,26,2,1,3,3,0,,0,0,,,,3,3,3,3,0,2,0,1,,122,24,86,19,60,12,,,,29,46,17,29,,,,,,3,3,3,1,,2,2,,66,66,0,14,5,5,5,3
Private Method,"com.example.wechat01.Fragment_Msg.initPullDownView",,,,,,,,,,,,,,,,,,,,,,,,,,,2,87,19,63,10,50,5,7,1,0,19,31,10,21,1,1,1,1,0,,,,,0,,0,0,,,0,08,1,1,1,1
Anonymous Class,"com.example.wechat01.Fragment_Msg.initPullDownView.(Anon_1)",3,3,3,1,18,2,14,1,2,4,4,0,,0,0,,,,3,0,3,3,0,0,0,3,,62,11,47,6,37,4,,,,14,24,6,18,,,,,,4,4,4,1,,1,1,,0,0,0,09,10,10,10,3
