Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AboutActivity.java",1,1,1,1,11,0,10,0,,,,,1,0,0,17,,17,10,1,10,,9,0,1,0,,184,25,154,59,104,8,,,,92,110,57,53,,,,,,2,2,2,1,,,1,,,,0,05,24,24,24,17
File,"AccountManagerCompat.java",0,0,0,0,0,0,0,0,,,,,1,0,6,0,,0,0,0,0,,0,0,0,0,,45,9,10,9,6,26,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,2,60,0,0,0,0
File,"AccountManagerStub.java",1,1,1,1,5,0,5,0,,,,,36,0,1,72,,72,72,0,72,,0,0,1,71,,597,79,515,281,218,3,,,,228,336,210,126,,,,,,1,1,1,1,,,0,,,,0,01,72,72,72,72
File,"Activity.java",0,0,0,0,0,0,0,0,,,,,1,0,8,0,,0,0,0,0,,0,0,0,0,,22,4,18,17,1,0,,,,16,17,17,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ActivityClientRecord.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,9,2,7,6,0,0,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ActivityFixer.java",4,4,5,1,18,0,18,0,,,,,1,1,0,2,,2,1,0,2,,0,1,0,1,,62,6,52,27,25,4,,,,29,39,26,13,,,,,,8,8,9,1,,,4,,,,0,08,9,9,10,2
File,"ActivityManagerCompat.java",3,3,3,3,18,1,17,0,,,,,1,1,11,1,,1,0,0,1,,0,0,0,1,,87,14,38,21,25,35,,,,23,27,21,6,,,,,,3,3,3,3,,,1,,,,0,92,3,3,3,3
File,"ActivityManagerNative.java",0,0,0,0,0,0,0,0,,,,,1,0,3,0,,0,0,0,0,,0,0,0,0,,14,4,10,9,1,0,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ActivityManagerOreo.java",0,0,0,0,0,0,0,0,,,,,1,0,3,0,,0,0,0,0,,0,0,0,0,,20,7,10,9,1,3,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,30,0,0,0,0
File,"ActivityManagerStub.java",2,2,2,1,16,0,15,1,,,,,6,0,0,10,,10,10,0,10,,0,0,1,9,,162,12,139,55,72,11,,,,71,96,53,43,,,,,,7,7,7,3,,,3,,,,0,08,23,23,23,14
File,"ActivityRecord.java",1,1,1,1,11,0,11,0,,,,,1,0,0,1,,1,1,10,1,,0,0,0,1,,34,5,26,15,9,4,,,,22,24,15,9,,,,,,1,1,1,1,,,0,,,,0,15,1,1,1,1
File,"ActivityStack.java",4,3,4,1,17,0,16,0,,,,,4,3,0,36,,32,33,12,36,,13,17,0,6,,716,64,634,169,404,19,,,,300,450,166,284,,,,,,31,26,41,6,,,4,,,,0,03,150,142,169,58
File,"ActivityThread.java",2,2,2,1,6,0,6,0,,,,,7,1,41,1,,1,0,0,1,,0,0,0,1,,107,14,92,80,10,1,,,,70,79,76,3,,,,,,2,2,2,1,,,1,,,,0,01,2,2,2,1
File,"ActivityThread.java",0,0,0,0,0,0,0,0,,,,,2,0,0,0,,0,0,0,0,,0,0,0,0,,9,1,4,3,0,4,,,,1,3,3,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"ActivityThreadNMR1.java",0,0,0,0,0,0,0,0,,,,,1,0,2,0,,0,0,0,0,,0,0,0,0,,19,5,11,10,1,3,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,27,0,0,0,0
File,"AlarmManagerStub.java",1,1,1,1,4,0,4,0,,,,,4,0,0,8,,8,8,0,8,,0,0,1,7,,80,14,61,29,18,5,,,,24,39,22,17,,,,,,3,3,4,1,,,1,,,,0,08,11,11,12,8
File,"AmsTask.java",2,2,2,1,10,0,9,0,,,,,4,0,0,13,,14,14,4,14,,0,3,2,9,,197,23,161,58,77,15,,,,75,108,50,58,,,,,,11,11,11,6,,,2,,,,0,09,35,35,38,22
File,"AppBindRecord.java",1,1,1,1,6,0,6,0,,,,,1,0,0,1,,1,1,4,1,,1,0,0,0,,38,5,14,9,4,22,,,,9,11,8,3,,,,,,1,1,1,1,,,0,,,,1,57,1,1,1,1
File,"AppData.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,9,9,0,9,,9,0,0,0,,28,12,13,12,0,3,,,,11,12,12,0,,,,,,0,0,0,0,,,0,,,,0,23,0,0,0,0
File,"AppDataSource.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,5,5,0,5,,5,0,0,0,,38,11,16,15,0,11,,,,14,15,15,0,,,,,,0,0,0,0,,,0,,,,0,69,0,0,0,0
File,"AppInfo.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,8,0,,0,0,0,0,,18,3,12,11,0,3,,,,10,11,11,0,,,,,,0,0,0,0,,,0,,,,0,25,0,0,0,0
File,"AppInfoLite.java",1,1,1,1,4,0,4,0,,,,,2,0,1,6,,6,6,4,6,,0,0,1,5,,54,9,42,16,20,3,,,,23,30,15,15,,,,,,3,3,3,1,,,0,,,,0,07,8,8,8,6
File,"AppInstrumentation.java",2,2,2,1,9,0,8,0,,,,,1,2,2,14,,14,12,0,14,,0,3,0,11,,197,24,159,57,78,14,,,,79,111,47,64,,,,,,8,8,9,1,,,3,,,,0,09,30,30,31,14
File,"AppManageActivity.java",2,1,2,1,11,0,10,0,,,,,4,1,0,25,,25,14,12,15,,2,8,1,4,,322,43,272,103,159,7,,,,149,190,96,94,,,,,,5,5,5,1,,,2,,,,0,03,50,48,51,25
File,"AppOpsManagerStub.java",1,1,1,1,8,0,7,0,,,,,3,0,0,6,,6,6,2,6,,1,0,1,4,,77,11,60,21,29,6,,,,34,44,20,24,,,,,,3,3,6,1,,,1,,,,0,10,8,8,11,6
File,"AppPagerAdapter.java",2,2,2,1,9,0,8,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,73,9,58,32,23,6,,,,34,45,30,15,,,,,,6,6,7,1,,,3,,,,0,10,9,9,10,4
File,"AppRepository.java",3,3,3,2,14,0,12,0,,,,,1,1,3,14,,14,9,1,10,,0,4,0,6,,236,28,197,68,117,13,,,,101,148,68,80,,,,,,9,9,10,6,,,3,,,,0,07,45,45,48,30
File,"AppTaskInfo.java",1,1,1,1,4,0,4,0,,,,,2,0,1,6,,6,6,4,6,,0,0,1,5,,56,9,44,18,20,3,,,,25,32,17,15,,,,,,1,1,1,1,,,0,,,,0,07,6,6,6,6
File,"AppWidgetManagerStub.java",1,1,1,1,15,0,15,0,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,52,6,41,12,26,5,,,,33,36,10,26,,,,,,1,1,1,1,,,0,,,,0,12,2,2,2,2
File,"ApplicationInfoL.java",0,0,0,0,0,0,0,0,,,,,1,0,6,0,,0,0,0,0,,0,0,0,0,,14,2,12,11,1,0,,,,10,11,11,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ApplicationInfoN.java",0,0,0,0,0,0,0,0,,,,,1,0,5,0,,0,0,0,0,,0,0,0,0,,14,3,11,10,1,0,,,,9,10,10,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ApplicationThreadCompat.java",2,2,2,1,6,0,6,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,21,5,13,7,3,3,,,,7,10,7,3,,,,,,2,2,2,1,,,1,,,,0,23,2,2,2,1
File,"ApplicationThreadNative.java",0,0,0,0,0,0,0,0,,,,,1,0,2,0,,0,0,0,0,,0,0,0,0,,18,4,11,10,1,3,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,27,0,0,0,0
File,"ArrayMap.java",1,1,1,1,8,0,5,2,,,,,2,0,0,20,,20,20,1,20,,0,1,9,10,,205,22,87,21,43,96,,,,27,51,27,24,,,,,,2,2,2,1,,,1,,,,1,10,22,22,22,20
File,"ArraySet.java",3,3,3,1,15,0,11,3,,,,,2,1,8,40,,40,39,4,40,,0,5,9,26,,736,77,464,104,292,195,,,,235,359,107,252,,,,,,12,12,13,8,,,4,,,,0,42,122,122,127,67
File,"ArrayUtils.java",3,3,3,2,8,0,8,0,,,,,1,13,0,13,,13,0,0,13,,0,0,0,13,,139,17,114,22,60,8,,,,46,90,27,63,,,,,,5,5,6,5,,,4,,,,0,07,40,40,46,38
