Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,2,,2,1,1,2,,0,0,0,2,,35,7,22,17,2,6,,,,13,16,14,2,,,,,,1,1,1,1,,,0,,,,0,27,2,2,2,2
File,"AspectConfig.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,16,3,7,6,0,6,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,86,0,0,0,0
File,"AsyncResult.java",1,1,1,1,7,0,7,0,,,,,1,0,0,3,,3,3,3,3,,0,0,0,3,,40,6,27,8,12,7,,,,10,18,8,10,,,,,,2,2,2,1,,,1,,,,0,26,4,4,4,3
File,"BaseEntity.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,4,5,,0,0,0,5,,76,17,53,42,5,6,,,,21,27,22,5,,,,,,2,2,2,1,,,0,,,,0,11,9,9,9,5
File,"BaseService.java",1,1,1,1,6,0,6,1,,,,,1,0,0,1,,1,1,2,1,,0,1,0,0,,33,8,19,13,4,7,,,,13,15,11,4,,,,,,1,1,1,1,,,0,,,,0,37,1,1,1,1
File,"BaseServiceTest.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,24,4,14,13,0,6,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,43,0,0,0,0
File,"BranchDTO.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,1,0,,0,0,0,0,,21,5,10,9,0,6,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"Branches.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,3,0,,0,0,0,0,,28,7,15,14,0,6,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,40,0,0,0,0
File,"Callback.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,12,2,4,3,0,6,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,1,50,0,0,0,0
File,"CheckoutResponse.java",1,1,1,1,0,0,0,0,,,,,2,0,0,2,,0,2,10,2,,0,0,0,2,,27,6,18,16,0,3,,,,8,10,10,0,,,,,,1,1,1,1,,,0,,,,0,17,2,2,2,2
