Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CustomVideoView.java",1,1,1,1,7,0,5,1,,,,,3,0,0,7,,7,7,0,7,,0,0,1,6,,63,9,42,14,19,12,,,,19,28,15,13,,,,,,2,2,2,1,,,0,,,,0,29,8,8,8,7
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"Guild2Fragment.java",2,2,2,1,8,0,7,1,,,,,1,0,0,3,,3,3,2,3,,0,0,3,0,,45,7,33,13,14,8,,,,16,23,10,13,,,,,,3,3,3,1,,,1,,,,0,24,6,6,6,3
File,"GuildFragment.java",2,2,2,1,12,0,10,4,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,48,6,34,17,13,11,,,,19,25,14,11,,,,,,3,3,3,1,,,1,,,,0,32,5,5,5,2
File,"LazyLoadFragment.java",1,1,1,1,9,0,5,3,,,,,1,0,0,8,,10,10,4,10,,0,1,6,3,,124,17,62,28,24,45,,,,31,44,24,20,,,,,,4,4,4,1,,,2,,,,0,73,12,12,12,8
File,"MainActivity.java",1,1,1,1,8,0,6,1,,,,,3,0,0,10,,10,10,6,10,,0,3,1,6,,132,21,94,43,43,17,,,,58,73,37,36,,,,,,3,3,3,1,,,1,,,,0,18,12,12,12,10
Package,"cn",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"cn.bluemobi",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"cn.bluemobi.dylan",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
