Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"FirstActivity.java",1,1,1,1,10,0,9,0,,,,,5,0,0,9,,9,9,4,9,,1,4,1,3,,110,18,90,29,51,3,,,,51,64,31,33,,,,,,2,2,2,1,,,1,,,,0,03,12,12,12,9
File,"FiveActivity.java",1,1,1,1,10,0,9,1,,,,,3,0,0,3,,3,3,1,3,,0,0,1,2,,34,5,27,11,12,2,,,,14,18,12,6,,,,,,1,1,1,1,,,0,,,,0,07,3,3,3,3
File,"FourActivity.java",1,1,1,1,15,0,14,1,,,,,8,1,0,14,,14,13,10,14,,1,5,1,7,,200,21,175,51,109,7,,,,105,127,54,73,,,,,,4,4,4,1,,,2,,,,0,04,22,21,22,14
File,"LoggerUtils.java",1,1,1,1,4,0,4,0,,,,,1,3,1,3,,3,0,0,3,,0,0,0,3,,34,7,18,7,6,9,,,,6,12,7,5,,,,,,2,2,2,1,,,1,,,,0,50,5,5,5,3
File,"MainActivity.java",1,1,1,1,8,0,8,0,,,,,6,0,0,6,,6,6,0,6,,0,0,1,5,,53,5,48,13,28,0,,,,23,30,17,13,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
File,"NoScrollWebView.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,0,5,,0,1,1,3,,38,12,26,13,8,0,,,,13,19,12,7,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"SecondActivity.java",1,1,1,1,13,0,13,1,,,,,6,0,0,10,,10,10,7,10,,1,4,1,4,,138,19,119,34,72,5,,,,67,84,37,47,,,,,,4,4,4,1,,,2,,,,0,04,16,16,16,10
File,"ShopDetailFragment.java",1,1,1,1,6,0,6,0,,,,,3,0,0,7,,7,7,1,7,,1,3,0,3,,76,17,59,26,25,1,,,,34,43,24,19,,,,,,2,2,2,1,,,0,,,,0,02,8,8,8,7
File,"ShopMain1Fragment.java",1,1,1,1,6,0,6,0,,,,,1,0,0,5,,5,5,15,5,,0,2,0,3,,78,12,66,37,22,0,,,,48,55,34,21,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,5
File,"ShopMainFragment.java",1,1,1,1,6,0,6,0,,,,,1,0,0,5,,5,5,15,5,,0,2,0,3,,79,13,66,37,22,0,,,,48,55,34,21,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,5
