Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbsTheme.java",1,1,1,1,7,0,7,0,,,,,1,0,5,4,,10,10,1,10,,0,0,1,9,,80,18,49,26,22,13,,,,30,38,26,12,,,,,,3,3,3,1,,,1,,,,0,27,7,7,7,4
File,"AbstractUpdateStatusTask.java",4,3,4,1,16,1,15,0,,,,,1,0,1,5,,5,5,4,5,,0,0,2,3,,115,15,100,37,60,0,,,,54,71,34,37,,,,,,15,10,16,1,,,2,,,,0,00,21,16,22,5
File,"Account.java",1,1,1,1,4,0,4,0,,,,,1,0,5,37,,37,37,17,37,,0,0,0,37,,242,60,182,71,80,0,,,,83,134,68,66,,,,,,13,13,13,13,,,2,,,,0,00,53,53,53,49
File,"AccountHolder.java",7,3,7,1,30,1,29,0,,,,,1,0,0,2,,2,2,8,2,,0,0,0,2,,86,7,78,22,50,1,,,,54,61,22,39,,,,,,12,4,12,1,,,2,,,,0,01,14,6,14,2
File,"AccountListAdapter.java",3,3,4,1,26,2,23,0,,,,,4,0,0,8,,8,8,5,8,,0,1,0,7,,212,28,180,46,116,7,,,,100,129,48,81,,,,,,12,10,18,1,,,3,,,,0,04,30,28,39,8
File,"AccountManageClickListener.java",1,1,1,1,6,0,5,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,38,7,31,18,10,0,,,,18,23,17,6,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,3
File,"AccountMethods.java",1,1,1,1,8,0,7,0,,,,,1,2,1,6,,6,4,0,6,,0,0,0,6,,81,15,64,30,29,3,,,,32,43,24,19,,,,,,2,2,2,1,,,1,,,,0,05,10,10,10,6
File,"AccountPassportClickListener.java",1,1,1,1,14,0,13,0,,,,,3,0,0,4,,4,4,1,4,,0,0,0,4,,67,9,58,21,32,0,,,,28,35,22,13,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,4
File,"AccountSelectorHolder.java",7,3,7,1,30,1,28,0,,,,,1,0,0,2,,2,2,6,2,,0,0,0,2,,84,7,76,21,48,1,,,,50,58,21,37,,,,,,13,5,13,1,,,2,,,,0,01,15,7,15,2
File,"AccountSelectorListAdapter.java",2,2,2,1,9,0,8,0,,,,,2,0,0,13,,13,13,7,13,,0,2,2,9,,176,26,150,59,72,0,,,,81,111,52,59,,,,,,6,6,6,1,,,3,,,,0,00,27,27,28,13
