Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AboutActivity.java",1,1,1,1,7,0,5,1,,,,,1,1,0,4,,4,3,0,4,,0,0,1,3,,52,8,36,18,14,8,,,,19,25,15,10,,,,,,2,2,2,1,,,1,,,,0,22,5,5,5,4
File,"AboutActivity.java",1,1,1,1,7,0,5,1,,,,,1,1,0,4,,4,3,0,4,,0,0,1,3,,52,8,36,18,14,8,,,,19,25,15,10,,,,,,2,2,2,1,,,1,,,,0,22,5,5,5,4
File,"AboutActivity.java",1,1,1,1,7,0,5,1,,,,,1,1,0,4,,4,3,0,4,,0,0,1,3,,54,9,37,19,14,8,,,,20,26,16,10,,,,,,2,2,2,1,,,1,,,,0,22,5,5,5,4
File,"AboutUsActivity.java",1,1,1,1,6,0,6,0,,,,,1,0,0,3,,3,3,0,3,,0,0,1,2,,39,6,29,14,11,4,,,,14,19,11,8,,,,,,2,2,2,1,,,1,,,,0,14,4,4,4,3
File,"AppApplication.java",1,1,1,1,34,9,9,16,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,48,13,16,8,7,19,,,,11,13,7,6,,,,,,1,1,1,1,,,0,,,,1,19,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BaseActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,0,3,,0,0,2,1,,32,5,23,14,7,4,,,,12,16,11,5,,,,,,1,1,1,1,,,0,,,,0,17,3,3,3,3
File,"DegradationFilter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,5,1,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
