Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractPlacesAutocompleteAdapter.java",1,1,1,1,6,0,5,0,,,,,2,0,0,13,,15,15,1,15,,0,0,2,13,,132,23,83,38,30,26,,,,33,48,32,16,,,,,,2,2,2,1,,,1,,,,0,31,15,15,15,13
File,"AbstractPlacesHttpClient.java",1,1,1,1,5,0,5,0,,,,,3,0,0,5,,6,6,1,6,,0,0,2,4,,45,11,34,17,11,0,,,,16,22,17,5,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"AddressComponent.java",3,3,3,2,7,0,6,0,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,46,9,37,15,19,0,,,,20,30,12,18,,,,,,9,9,9,6,,,1,,,,0,00,15,15,15,9
File,"AddressComponentType.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,33,2,,0,0,0,2,,72,2,70,69,0,0,,,,2,3,3,0,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"AlternativePlaceId.java",3,3,3,2,6,1,5,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,31,7,24,11,11,0,,,,14,22,9,13,,,,,,7,7,7,5,,,1,,,,0,00,11,11,11,7
File,"AndroidPlacesApiJsonParser.java",6,3,6,1,29,1,28,0,,,,,1,0,0,27,,27,27,0,27,,23,0,0,4,,857,60,795,143,646,2,,,,474,562,142,420,,,,,,35,4,35,1,,,3,,,,0,00,166,83,166,27
File,"AndroidPlacesApiJsonParserTest.java",1,1,1,1,14,0,14,0,,,,,1,0,0,20,,20,20,2,20,,0,0,0,20,,373,33,339,123,241,3,,,,203,226,101,125,,,,,,2,2,2,1,,,1,,,,0,01,21,21,21,20
File,"AndroidPlacesApiJsonWriterTest.java",1,1,1,1,7,0,7,0,,,,,3,0,4,8,,8,8,4,8,,0,0,0,8,,117,17,100,57,46,0,,,,61,72,48,24,,,,,,1,1,1,1,,,0,,,,0,00,8,8,8,8
File,"ArrayAdapterDelegate.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,13,5,8,7,0,0,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AutocompleteHistoryManager.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,33,7,11,10,0,15,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,1,36,0,0,0,0
File,"AutocompleteResultType.java",1,1,1,1,1,0,1,0,,,,,1,1,0,5,,3,4,5,5,,1,0,0,4,,38,6,17,10,3,15,,,,6,9,6,3,,,,,,1,1,1,1,,,0,,,,0,88,5,5,5,5
File,"BackgroundExecutorService.java",1,1,1,1,7,0,7,0,,,,,5,0,0,7,,5,7,3,7,,0,0,0,7,,61,7,51,18,28,3,,,,23,29,20,9,,,,,,2,2,2,1,,,0,,,,0,06,8,8,8,7
File,"BackgroundJob.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,9,3,6,5,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"Constants.java",0,0,0,0,0,0,0,0,,,,,1,0,2,0,,0,0,0,0,,0,0,0,0,,6,1,5,4,2,0,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"DateTimePair.java",3,3,3,2,6,1,5,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,38,8,24,11,11,6,,,,14,22,9,13,,,,,,7,7,7,5,,,1,,,,0,25,11,11,11,7
File,"DefaultAutocompleteAdapter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,0,3,,0,0,2,1,,30,6,24,17,3,0,,,,14,18,15,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"DefaultAutocompleteHistoryManager.java",1,1,1,1,11,1,10,0,,,,,3,1,2,16,,16,15,4,16,,0,6,0,10,,179,34,145,50,72,0,,,,68,98,50,48,,,,,,3,3,3,1,,,1,,,,0,00,27,27,27,16
File,"DescriptionTerm.java",3,3,3,2,6,1,5,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,61,9,24,11,11,28,,,,14,22,9,13,,,,,,6,6,6,5,,,1,,,,1,17,9,9,9,7
File,"DetailsCallback.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,19,4,6,5,0,9,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,1,50,0,0,0,0
File,"GsonPlacesApiJsonParser.java",2,2,2,1,10,0,10,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,80,8,72,32,34,0,,,,39,52,29,23,,,,,,3,3,3,1,,,2,,,,0,00,11,11,11,5
File,"HttpUrlConnectionMapsHttpClient.java",3,3,4,1,13,1,11,0,,,,,1,1,0,3,,3,2,0,3,,1,1,1,0,,59,11,48,21,24,0,,,,27,36,20,16,,,,,,8,8,8,1,,,2,,,,0,00,10,10,12,3
File,"JsonParserResolver.java",1,1,1,1,3,0,3,0,,,,,1,0,1,1,,1,1,1,1,,0,1,0,0,,21,4,17,6,7,0,,,,8,11,5,6,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"JsonParsingException.java",1,1,1,1,2,0,2,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,21,6,15,7,3,0,,,,5,10,7,3,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"JsonWritingException.java",1,1,1,1,2,0,2,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,21,6,15,7,3,0,,,,5,10,7,3,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"LocationUtils.java",1,1,1,1,2,0,2,0,,,,,1,1,0,2,,2,1,0,2,,0,1,0,1,,14,4,10,6,1,0,,,,4,7,6,1,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"MatchedSubstring.java",2,2,2,2,6,1,5,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,42,9,24,11,11,9,,,,14,22,9,13,,,,,,5,5,5,5,,,1,,,,0,38,7,7,7,7
File,"OkHttpPlacesHttpClient.java",3,3,3,1,17,1,16,0,,,,,1,0,0,2,,2,2,1,2,,1,0,1,0,,59,10,49,24,24,0,,,,25,32,22,10,,,,,,5,5,6,1,,,2,,,,0,00,6,6,7,2
File,"OnHistoryUpdatedListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,11,4,7,6,0,0,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"OnPlaceSelectedListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,19,4,6,5,0,9,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,1,50,0,0,0,0
File,"OpenHours.java",3,3,3,2,6,1,5,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,33,8,25,12,11,0,,,,15,23,10,13,,,,,,6,6,6,5,,,1,,,,0,00,10,10,10,7
File,"OpenPeriod.java",3,3,3,2,6,1,5,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,31,7,24,11,11,0,,,,14,22,9,13,,,,,,7,7,7,5,,,1,,,,0,00,11,11,11,7
File,"Place.java",6,6,6,3,10,1,9,0,,,,,1,0,0,3,,3,3,5,3,,0,0,0,3,,73,13,38,15,21,22,,,,27,38,13,25,,,,,,13,13,13,8,,,1,,,,0,58,20,20,20,10
File,"PlaceDetails.java",19,19,19,8,30,1,29,0,,,,,1,0,0,3,,3,3,19,3,,0,0,0,3,,148,27,114,49,64,7,,,,86,112,29,83,,,,,,40,40,40,23,,,1,,,,0,06,59,59,59,25
File,"PlaceDetailsLoadingFailure.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,21,6,15,7,4,0,,,,7,11,7,4,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
