Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AboutPage.java",2,2,2,1,20,2,11,7,,,,,2,0,0,27,,27,27,7,27,,0,2,0,25,,625,84,345,103,237,207,,,,227,280,103,177,,,,,,15,15,15,1,,,4,,,,0,60,54,54,55,27
File,"AboutPageUtils.java",2,2,2,2,13,1,11,0,,,,,1,2,0,2,,2,0,0,2,,2,0,0,0,,40,7,32,15,15,1,,,,19,26,16,10,,,,,,3,3,3,3,,,2,,,,0,03,5,5,5,4
File,"Element.java",1,1,1,1,8,0,3,4,,,,,1,0,0,20,,20,20,9,20,,0,0,0,20,,219,25,93,43,30,101,,,,45,66,37,29,,,,,,1,1,1,1,,,0,,,,1,09,20,20,20,20
File,"MainActivity.java",1,1,2,1,15,0,14,0,,,,,2,0,0,4,,4,4,0,4,,2,0,1,1,,81,11,70,26,48,2,,,,34,42,24,18,,,,,,4,4,6,1,,,1,,,,0,03,7,7,9,4
Package,"mehdi",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"mehdi.sakout",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"mehdi.sakout.aboutpage",1,1,1,1,15,1,8,5,,,,,4,2,0,,3,,47,16,49,,2,2,0,45,,884,116,470,161,282,309,,,,291,372,156,216,,,,,,15,15,15,3,,,4,,,,0,66,79,79,80,51
Public Class,"mehdi.sakout.aboutpage.AboutPage",2,2,2,1,21,2,11,7,1,2,2,0,,0,0,,,,26,7,26,26,0,2,0,24,,598,82,320,78,237,207,,,,202,255,78,177,,,,,,15,15,15,1,,1,4,,81,42,0,65,52,52,53,26
Public Constructor,"mehdi.sakout.aboutpage.AboutPage.AboutPage",,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,5,1,3,7,6,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,1,40,1,1,1,1
Public Method,"mehdi.sakout.aboutpage.AboutPage.addEmail",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,3,1,1,7,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,33,1,1,1,1
Public Method,"mehdi.sakout.aboutpage.AboutPage.addEmail",,,,,,,,,,,,,,,,,,,,,,,,,,,5,22,2,12,3,10,8,10,1,0,10,11,3,8,1,1,1,1,0,,,,,0,,0,0,,,0,67,1,1,1,1
Public Method,"mehdi.sakout.aboutpage.AboutPage.addFacebook",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,3,1,1,7,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,33,1,1,1,1
Public Method,"mehdi.sakout.aboutpage.AboutPage.addFacebook",,,,,,,,,,,,,,,,,,,,,,,,,,,7,44,5,31,6,26,11,17,5,1,20,24,6,18,4,4,4,1,3,,,,,0,,2,0,,,0,35,4,4,4,1
Public Method,"mehdi.sakout.aboutpage.AboutPage.addGitHub",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,3,1,1,7,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,33,1,1,1,1
Public Method,"mehdi.sakout.aboutpage.AboutPage.addGitHub",,,,,,,,,,,,,,,,,,,,,,,,,,,5,25,3,14,3,12,9,13,1,0,12,13,3,10,1,1,1,1,0,,,,,0,,0,0,,,0,64,1,1,1,1
Public Method,"mehdi.sakout.aboutpage.AboutPage.addGroup",,,,,,,,,,,,,,,,,,,,,,,,,,,10,48,6,21,4,17,21,11,4,1,14,17,4,13,3,3,3,1,1,,,,,0,,1,0,,,1,00,3,3,3,1
Public Method,"mehdi.sakout.aboutpage.AboutPage.addInstagram",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,3,1,1,7,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,33,1,1,1,1
