Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AutofitHelper.java",2,2,2,1,12,1,8,3,,,,,4,7,4,34,,35,28,12,35,,0,10,0,25,,554,83,339,118,187,134,,,,165,240,108,132,,,,,,12,12,12,7,,,4,,,,0,40,70,70,74,42
File,"AutofitLayout.java",1,1,1,1,8,0,7,0,,,,,1,0,0,7,,7,7,4,7,,0,1,0,6,,95,13,68,31,35,14,,,,39,50,28,22,,,,,,3,3,3,1,,,1,,,,0,21,10,10,10,7
File,"AutofitTextView.java",1,1,1,1,7,0,3,3,,,,,1,0,0,20,,20,20,1,20,,0,1,0,19,,192,24,84,31,29,84,,,,31,55,27,28,,,,,,2,2,2,1,,,1,,,,1,00,23,23,23,20
File,"SampleActivity.java",1,1,1,1,9,1,6,1,,,,,2,0,0,4,,4,4,2,4,,0,0,0,4,,41,8,30,11,14,3,,,,15,20,13,7,,,,,,1,1,1,1,,,0,,,,0,10,4,4,4,4
Package,"me",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"me.grantland",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"me.grantland.autofittextview",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"me.grantland.autofittextview.sample",1,1,1,1,9,1,6,1,,,,,2,0,0,,1,,4,2,4,,0,0,0,4,,41,8,30,11,14,3,,,,15,20,13,7,,,,,,1,1,1,1,,,0,,,,0,10,4,4,4,4
Public Class,"me.grantland.autofittextview.sample.SampleActivity",1,1,1,1,26,4,19,3,1,0,0,0,,0,0,,,,1,2,1,1,0,0,0,1,,31,6,22,4,14,3,,,,8,13,6,7,,,,,,1,1,1,1,,2,0,,0,0,0,14,1,1,1,1
Public Method,"me.grantland.autofittextview.sample.SampleActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,4,19,1,14,3,6,1,0,7,11,4,7,1,1,1,1,0,,,,,0,,0,0,,,0,16,1,1,1,1
Anonymous Class,"me.grantland.autofittextview.sample.SampleActivity.onCreate.(Anon_1)",1,1,1,1,3,0,2,0,1,1,1,0,,0,0,,,,3,0,3,3,0,0,0,3,,16,2,12,0,9,2,,,,2,5,3,2,,,,,,1,1,1,1,,2,0,,0,0,0,17,3,3,3,3
Public Method,"me.grantland.autofittextview.sample.SampleActivity.onCreate.(Anon_1).afterTextChanged",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,2,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,50,1,1,1,1
Public Method,"me.grantland.autofittextview.sample.SampleActivity.onCreate.(Anon_1).beforeTextChanged",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,2,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,50,1,1,1,1
Public Method,"me.grantland.autofittextview.sample.SampleActivity.onCreate.(Anon_1).onTextChanged",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,0,3,0,1,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Package,"me.grantland.widget",1,1,1,1,10,0,6,3,,,,,6,7,4,,3,,55,17,62,,0,12,0,50,,841,120,491,180,251,232,,,,235,345,163,182,,,,,,12,12,12,7,,,4,,,,0,47,103,103,107,69
Public Class,"me.grantland.widget.AutofitHelper",2,2,2,1,14,1,9,3,1,3,3,0,,7,4,,,,23,12,30,30,0,10,0,20,,532,80,320,99,187,134,,,,146,221,89,132,,,,,,12,12,12,7,,1,4,,89,60,0,42,66,66,70,38
Private Constructor,"me.grantland.widget.AutofitHelper.AutofitHelper",,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,2,11,3,9,0,13,1,0,9,10,3,7,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Class,"me.grantland.widget.AutofitHelper.AutofitOnLayoutChangeListener",1,1,1,1,4,0,4,0,2,1,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,7,4,1,0,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0,0,00,1,1,1,1
