Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CubicBezierInterpolator.java",1,1,1,1,5,0,5,0,,,,,1,0,0,8,,8,8,5,8,,0,2,2,4,,71,11,57,20,28,3,,,,32,45,20,25,,,,,,3,3,5,3,,,2,,,,0,05,12,12,14,10
Package,"nl",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"nl.codesoup",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"nl.codesoup.cubicbezier",1,1,1,1,5,0,5,0,,,,,1,0,0,,1,,8,5,8,,0,2,2,4,,71,11,57,20,28,3,,,,32,45,20,25,,,,,,3,3,5,3,,,2,,,,0,05,12,12,14,10
Public Class,"nl.codesoup.cubicbezier.CubicBezierInterpolator",1,1,1,1,5,0,5,0,2,0,0,0,,0,0,,,,8,5,8,8,0,2,2,4,,66,9,54,17,28,3,,,,29,42,17,25,,,,,,3,3,5,3,,1,2,,62,27,0,06,12,12,14,10
Public Constructor,"nl.codesoup.cubicbezier.CubicBezierInterpolator.CubicBezierInterpolator",,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,1,6,0,3,4,1,4,7,1,6,3,3,5,1,0,,,,,0,,1,0,,,0,00,3,3,5,1
Public Constructor,"nl.codesoup.cubicbezier.CubicBezierInterpolator.CubicBezierInterpolator",,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"nl.codesoup.cubicbezier.CubicBezierInterpolator.CubicBezierInterpolator",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"nl.codesoup.cubicbezier.CubicBezierInterpolator.getBezierCoordinateX",,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,0,6,1,4,0,4,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"nl.codesoup.cubicbezier.CubicBezierInterpolator.getBezierCoordinateY",,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,0,6,1,4,0,4,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"nl.codesoup.cubicbezier.CubicBezierInterpolator.getInterpolation",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"nl.codesoup.cubicbezier.CubicBezierInterpolator.getXDerivate",,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"nl.codesoup.cubicbezier.CubicBezierInterpolator.getXForTime",,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,12,3,7,0,4,3,0,8,11,4,7,3,3,3,3,2,,,,,2,,2,2,,,0,00,3,3,3,3
