Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractInterceptor.java",1,1,1,1,3,0,2,0,,,,,1,0,3,4,,5,5,1,5,,0,0,3,2,,33,13,20,13,5,0,,,,10,15,13,2,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"AppMapActivity.java",2,2,2,1,24,4,15,4,,,,,4,0,1,7,,7,7,3,7,,0,0,1,6,,210,42,126,62,71,43,,,,83,100,62,38,,,,,,7,7,7,1,,,1,,,,0,34,15,15,16,7
File,"BaseActivity.java",1,1,1,1,8,1,7,0,,,,,1,0,0,3,,3,3,0,3,,0,0,1,2,,45,11,34,15,14,0,,,,18,24,12,12,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,3
File,"BaseListAdapter.java",1,1,1,1,4,0,3,0,,,,,1,0,0,6,,7,7,2,7,,0,0,0,7,,53,13,40,22,10,0,,,,20,28,18,10,,,,,,2,2,2,1,,,1,,,,0,00,7,7,7,6
File,"BrowserActivity.java",1,1,1,1,10,1,7,1,,,,,5,0,1,13,,13,13,4,13,,0,0,2,11,,200,41,119,49,56,42,,,,64,83,45,38,,,,,,3,3,3,1,,,1,,,,0,35,16,16,17,13
File,"CfgDataType.java",1,1,1,1,1,0,1,0,,,,,1,1,0,3,,1,2,2,3,,0,0,0,3,,20,4,7,4,1,9,,,,3,4,3,1,,,,,,1,1,1,1,,,0,,,,1,29,3,3,3,3
File,"CfgParseable.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,19,4,5,4,0,10,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,2,00,0,0,0,0
File,"ConfigArrayAdapter.java",1,1,1,1,5,0,5,0,,,,,1,0,0,4,,4,4,2,4,,0,1,0,3,,44,9,35,20,11,0,,,,21,27,18,9,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,4
File,"ConfigFileInfo.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,3,0,,0,0,0,0,,11,4,7,6,0,0,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"DA.java",2,2,2,1,12,1,9,2,,,,,2,6,13,29,,29,23,17,29,,0,3,1,25,,563,89,326,112,198,150,,,,184,249,108,141,,,,,,15,15,16,8,,,5,,,,0,46,64,64,66,44
File,"DAAction.java",1,1,1,1,3,0,3,0,,,,,1,0,0,13,,13,13,6,13,,0,0,0,13,,76,18,49,22,13,9,,,,20,34,21,13,,,,,,1,1,1,1,,,0,,,,0,18,13,13,13,13
File,"DAActivity.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,0,0,0,3,,18,6,12,11,0,0,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"DACfgJsonParser.java",4,4,4,1,26,4,22,0,,,,,1,0,0,6,,6,6,0,6,,0,5,0,1,,192,36,155,64,105,1,,,,112,137,68,69,,,,,,8,8,8,1,,,4,,,,0,01,25,25,26,6
