Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"MenuActivity.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,37,10,27,12,10,0,,,,15,20,10,10,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,3
File,"MenuFragment.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,26,6,20,11,6,0,,,,11,14,9,5,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"SampleActionbarActivity.java",2,2,2,1,8,0,8,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,35,7,28,14,10,0,,,,16,21,12,9,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,2
File,"SampleActivity.java",1,1,1,1,12,0,12,0,,,,,2,0,0,2,,2,2,0,2,,0,0,0,2,,37,6,31,14,14,0,,,,17,21,13,8,,,,,,2,2,2,1,,,0,,,,0,00,3,3,3,2
File,"ScreenShot.java",1,1,1,1,5,0,4,1,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,36,6,26,16,9,4,,,,15,20,15,5,,,,,,1,1,1,1,,,0,,,,0,15,4,4,4,4
File,"SlideoutActivity.java",1,1,1,1,5,0,5,0,,,,,1,1,0,3,,3,2,1,3,,0,0,0,3,,30,6,24,11,8,0,,,,12,17,9,8,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,3
File,"SlideoutHelper.java",1,1,1,1,9,0,8,0,,,,,4,1,3,14,,14,13,5,14,,0,0,1,13,,148,20,128,45,80,0,,,,67,85,49,36,,,,,,3,3,3,1,,,1,,,,0,00,18,18,18,14
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.korovyansk",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.korovyansk.android",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
