Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"GoUtil.java",2,2,2,1,11,0,9,2,,,,,2,6,4,7,,7,1,0,7,,0,0,0,7,,105,11,76,32,38,18,,,,41,57,30,27,,,,,,5,5,5,1,,,1,,,,0,24,14,14,14,7
File,"MainActivity.java",1,1,1,1,16,1,12,2,,,,,7,0,0,10,,10,10,5,10,,0,3,0,7,,174,29,117,34,76,28,,,,70,85,38,47,,,,,,6,3,6,1,,,1,,,,0,24,17,14,17,10
File,"OverloadPolicy.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,5,2,,0,0,0,2,,31,2,8,7,0,21,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,2,62,2,2,2,2
File,"PriorityRunnable.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,37,5,13,6,3,19,,,,5,9,6,3,,,,,,1,1,1,1,,,0,,,,1,46,3,3,3,3
File,"SchedulePolicy.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,2,2,,0,0,0,2,,25,1,5,4,0,19,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,3,80,2,2,2,2
File,"SmartExecutor.java",1,1,1,1,10,0,8,2,,,,,4,3,5,31,,32,29,9,32,,1,1,3,27,,407,43,265,61,165,99,,,,113,173,65,108,,,,,,11,7,11,9,,,3,,,,0,37,59,54,59,39
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.litesuits",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.litesuits.go",1,1,1,1,8,0,6,1,,,,,7,3,5,,4,,36,17,39,,1,1,4,33,,500,51,291,78,168,158,,,,120,186,75,111,,,,,,11,7,11,9,,,3,,,,0,54,66,61,66,46
Public Enum Type,"com.litesuits.go.OverloadPolicy",1,1,1,1,0,0,0,0,1,0,0,0,,0,0,,,,2,5,2,2,0,0,0,2,,13,0,7,6,0,6,,,,0,1,1,0,,,,,,1,1,1,1,,1,0,,,,0,86,2,2,2,2
