Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BaseContent.java",1,1,1,1,5,0,5,0,,,,,3,0,1,7,,7,7,9,7,,0,0,1,6,,116,23,69,36,31,24,,,,42,50,33,17,,,,,,2,2,2,1,,,0,,,,0,35,9,9,9,7
File,"ChangePasswordContent.java",1,1,1,1,7,0,6,0,,,,,2,0,0,8,,8,8,3,8,,0,0,0,8,,120,21,75,34,32,24,,,,34,47,26,21,,,,,,4,4,4,1,,,2,,,,0,32,13,12,13,8
File,"ChangingAwareEditText.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,47,7,16,9,4,24,,,,8,12,9,3,,,,,,1,1,1,1,,,0,,,,1,50,3,3,3,3
File,"ConfigurationSecurities.java",2,2,2,1,7,0,7,0,,,,,1,1,0,1,,6,5,0,6,,0,0,0,6,,33,4,17,10,4,12,,,,10,13,10,3,,,,,,2,2,2,1,,,1,,,,0,71,2,2,2,1
File,"ConfigurationSecuritiesOld.java",4,4,6,2,20,2,16,1,,,,,1,2,12,7,,7,5,0,7,,0,2,0,5,,185,31,143,39,96,11,,,,76,107,36,71,,,,,,15,15,18,7,,,4,,,,0,08,32,32,44,17
File,"ConfigurationSecuritiesV8.java",3,2,4,2,14,0,11,2,,,,,2,3,5,10,,8,7,4,10,,0,3,0,7,,180,22,134,35,87,24,,,,59,85,26,59,,,,,,11,8,14,7,,,3,,,,0,18,36,29,41,24
File,"ConfiguredNetworkContent.java",2,1,2,1,8,0,8,0,,,,,4,0,2,11,,11,11,3,11,,0,1,0,10,,169,22,123,40,71,24,,,,54,75,32,43,,,,,,5,3,5,5,,,2,,,,0,20,25,20,26,19
File,"CurrentNetworkContent.java",2,2,2,1,10,0,9,0,,,,,2,0,0,9,,9,9,2,9,,0,1,0,8,,157,20,108,40,59,29,,,,51,69,32,37,,,,,,5,4,8,5,,,2,,,,0,27,20,18,26,13
File,"Floating.java",2,2,2,1,9,0,8,0,,,,,2,0,1,6,,13,13,3,13,,7,1,0,5,,131,19,79,38,33,33,,,,54,68,39,29,,,,,,5,5,5,1,,,1,,,,0,42,12,12,12,6
File,"MainActivity.java",2,2,2,1,12,1,10,0,,,,,1,0,1,4,,4,4,3,4,,0,2,1,1,,102,18,58,25,31,26,,,,34,43,22,21,,,,,,5,5,8,3,,,2,,,,0,45,8,8,11,6
File,"NewNetworkContent.java",1,1,1,1,6,0,6,0,,,,,2,0,0,8,,8,8,3,8,,0,0,0,8,,121,21,76,32,34,24,,,,34,47,25,22,,,,,,3,3,3,1,,,1,,,,0,32,13,12,13,8
File,"ReenableAllApsWhenNetworkStateChanged.java",1,1,2,1,6,0,6,0,,,,,3,2,0,6,,6,4,3,6,,0,1,0,5,,102,14,64,30,27,25,,,,31,45,28,17,,,,,,4,4,6,1,,,3,,,,0,39,11,11,13,6
File,"TestWifiScan.java",1,1,1,1,8,0,6,1,,,,,4,2,0,11,,11,9,5,11,,0,2,0,9,,174,26,114,43,63,36,,,,61,78,43,35,,,,,,3,3,3,1,,,2,,,,0,32,17,17,18,11
File,"Version.java",3,3,3,1,13,0,11,2,,,,,1,1,1,1,,1,0,0,1,,0,1,0,0,,29,5,17,8,9,7,,,,9,12,8,4,,,,,,3,3,3,1,,,1,,,,0,41,3,3,3,1
File,"Wifi.java",4,4,5,3,22,2,16,2,,,,,2,11,4,12,,12,1,0,12,,0,5,0,7,,319,50,211,52,138,58,,,,107,162,58,104,,,,,,11,11,12,10,,,3,,,,0,27,53,53,62,38
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
