Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"APIAsyncTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,4,,5,5,3,5,,0,0,2,3,,65,15,32,15,12,18,,,,19,25,15,10,,,,,,2,2,2,1,,,1,,,,0,56,5,5,5,4
File,"APITests.java",1,1,1,1,7,0,7,0,,,,,4,0,1,6,,7,7,3,7,,1,2,1,3,,105,19,60,27,28,27,,,,36,46,26,20,,,,,,2,2,2,1,,,1,,,,0,45,7,7,7,6
File,"AboutDialog.java",1,1,1,1,14,0,12,0,,,,,4,0,0,4,,4,4,0,4,,0,0,0,4,,81,9,52,21,30,20,,,,26,32,23,9,,,,,,2,2,2,1,,,0,,,,0,38,5,5,5,4
File,"Base64.java",2,2,3,1,27,1,13,13,,,,,1,13,10,14,,14,1,0,14,,0,3,0,11,,586,48,276,137,211,316,,,,108,141,53,88,,,,,,11,11,16,5,,,5,,,,1,14,38,36,44,22
File,"Base64DecoderException.java",1,1,1,1,3,0,3,0,,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,38,5,10,5,3,23,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,2,30,2,2,2,2
File,"Body.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,36,4,11,10,0,21,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,1,91,0,0,0,0
File,"BodyConverter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,41,9,11,10,0,21,,,,9,10,10,0,,,,,,0,0,0,0,,,0,,,,1,91,0,0,0,0
File,"CacheAwareCallback.java",1,1,1,1,6,0,6,0,,,,,3,0,0,32,,33,33,10,33,,0,1,10,22,,256,50,184,65,83,22,,,,83,126,66,60,,,,,,7,6,9,1,,,2,,,,0,12,45,44,50,32
File,"CacheAwareHttpClient.java",5,4,5,1,39,2,35,2,,,,,2,0,0,5,,5,5,1,5,,0,0,1,4,,180,17,132,34,83,32,,,,66,88,34,54,,,,,,13,11,14,1,,,4,,,,0,24,26,24,29,5
File,"CacheEntry.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,53,10,22,10,6,21,,,,10,16,10,6,,,,,,1,1,1,1,,,0,,,,0,95,5,5,5,5
File,"CacheInfo.java",1,1,1,1,3,0,3,0,,,,,1,0,1,10,,10,10,4,10,,0,0,0,10,,102,19,42,18,14,41,,,,20,31,18,13,,,,,,1,1,1,1,,,0,,,,0,98,10,10,10,10
File,"CacheManager.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,55,8,8,7,0,39,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,4,88,0,0,0,0
File,"CachePolicy.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,6,2,,0,0,0,2,,58,9,9,8,0,40,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,4,44,2,2,2,2
File,"CacheTests.java",1,1,1,1,6,0,6,0,,,,,1,0,1,6,,6,6,0,6,,0,3,0,3,,80,11,49,25,24,20,,,,35,46,29,17,,,,,,3,3,3,1,,,1,,,,0,41,10,10,10,6
File,"Cached.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,46,9,16,15,0,21,,,,11,12,12,0,,,,,,0,0,0,0,,,0,,,,1,31,0,0,0,0
File,"Callback.java",1,1,1,1,2,0,2,0,,,,,1,0,0,5,,5,5,0,5,,0,0,5,0,,50,8,20,10,4,22,,,,8,14,10,4,,,,,,1,1,1,1,,,0,,,,1,10,5,5,5,5
File,"ContextPersistentCacheManager.java",1,1,1,1,8,0,5,2,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,93,14,44,24,16,35,,,,22,30,19,11,,,,,,3,3,3,1,,,2,,,,0,80,7,7,7,5
