Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AppBeeConfig.java",1,1,1,1,5,0,3,2,,,,,1,0,1,9,,9,9,0,9,,0,0,0,9,,89,15,52,33,10,23,,,,18,28,19,9,,,,,,1,1,1,1,,,0,,,,0,44,9,9,9,9
File,"Bee.java",2,2,2,1,8,0,7,0,,,,,2,1,1,5,,5,4,4,5,,1,1,0,3,,71,16,51,19,23,4,,,,25,38,20,18,,,,,,5,5,5,1,,,2,,,,0,08,11,11,11,5
File,"BeeConfig.java",1,1,1,1,2,0,2,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,33,11,19,11,2,3,,,,7,13,11,2,,,,,,1,1,1,1,,,0,,,,0,16,5,5,5,5
File,"BeeLog.java",1,1,1,1,3,0,3,0,,,,,1,6,1,7,,7,1,0,7,,1,2,0,4,,48,12,32,14,11,4,,,,16,24,14,10,,,,,,1,1,1,1,,,0,,,,0,12,7,7,7,7
File,"BeeLogTest.java",1,1,1,1,11,2,9,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,27,7,20,12,7,0,,,,14,16,10,6,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"BeeTest.java",1,1,1,1,5,0,5,0,,,,,2,0,0,4,,4,4,1,4,,0,0,0,4,,47,10,37,19,10,0,,,,17,25,17,8,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,4
File,"Button.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,15,3,9,8,0,3,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,33,0,0,0,0
File,"CheckBox.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,15,3,9,8,0,3,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,33,0,0,0,0
File,"ConfigListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,5,5,0,5,,5,0,0,0,,22,8,11,10,0,3,,,,9,10,10,0,,,,,,0,0,0,0,,,0,,,,0,27,0,0,0,0
File,"ContentAdapter.java",1,1,1,1,6,0,6,0,,,,,2,0,0,5,,5,5,4,5,,0,0,0,5,,59,13,46,22,18,0,,,,29,37,22,15,,,,,,2,2,2,1,,,1,,,,0,00,6,6,6,5
File,"ContentAdapterTest.java",1,1,1,1,6,0,5,0,,,,,3,0,0,10,,10,10,2,10,,0,0,0,10,,87,21,66,33,31,0,,,,40,51,35,16,,,,,,1,1,1,1,,,0,,,,0,00,10,10,10,10
File,"ContentHolder.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,8,3,5,4,0,0,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ContentItem.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,2,3,,1,0,0,2,,20,5,15,7,4,0,,,,7,11,7,4,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"ContentItemTest.java",1,1,1,1,5,1,4,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,20,7,13,8,4,0,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"LogHistory.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,3,3,,0,0,0,3,,24,6,18,9,5,0,,,,10,14,9,5,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"LogHistoryTest.java",1,1,1,1,6,1,5,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,24,8,16,11,6,0,,,,10,13,11,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"MainActivity.java",1,1,1,1,16,3,13,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,29,8,21,8,11,0,,,,13,15,8,7,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"MethodInfo.java",1,1,1,1,6,0,5,0,,,,,1,1,4,8,,8,7,5,8,,6,2,0,0,,83,20,63,27,29,0,,,,35,50,28,22,,,,,,6,6,6,5,,,2,,,,0,00,13,13,13,12
File,"MethodInfoTest.java",1,1,1,1,7,1,6,0,,,,,9,0,0,16,,16,16,0,16,,0,0,0,16,,132,34,98,62,36,0,,,,44,69,58,11,,,,,,1,1,1,1,,,0,,,,0,00,16,16,16,16
File,"PrefHelper.java",1,1,1,1,3,0,3,0,,,,,1,6,1,7,,7,1,0,7,,5,2,0,0,,42,11,27,13,8,4,,,,11,19,13,6,,,,,,1,1,1,1,,,0,,,,0,15,7,7,7,7
File,"PrefHelperTest.java",1,1,1,1,4,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,36,10,26,17,5,0,,,,16,20,15,5,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"Settings.java",1,1,1,1,3,0,3,0,,,,,1,0,1,9,,9,9,4,9,,0,0,0,9,,56,13,43,18,17,0,,,,21,32,18,14,,,,,,2,2,2,1,,,1,,,,0,00,10,10,10,9
File,"SettingsAdapter.java",1,1,1,1,10,1,8,0,,,,,4,1,0,14,,14,13,2,14,,1,4,0,9,,150,28,119,48,71,3,,,,67,86,51,35,,,,,,4,2,4,1,,,1,,,,0,03,20,18,20,14
File,"SettingsTest.java",1,1,1,1,5,0,5,0,,,,,2,0,0,5,,5,5,1,5,,0,0,0,5,,58,15,43,25,15,0,,,,27,34,23,11,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"Spinner.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,18,5,10,9,0,3,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,30,0,0,0,0
File,"Title.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,17,4,10,9,0,3,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,30,0,0,0,0
File,"UiHandler.java",1,1,1,1,9,0,8,0,,,,,4,0,2,21,,21,21,13,21,,2,9,0,10,,306,47,226,85,132,33,,,,147,183,93,90,,,,,,6,5,6,6,,,2,,,,0,15,34,33,38,29
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.orhanobut",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.orhanobut.android",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.orhanobut.android.beesample",1,1,1,1,6,0,4,2,,,,,2,0,1,,2,,10,0,10,,0,0,1,9,,118,23,73,41,21,23,,,,31,43,27,16,,,,,,1,1,1,1,,,0,,,,0,32,10,10,10,10
Public Class,"com.orhanobut.android.beesample.AppBeeConfig",1,1,1,1,5,0,3,2,1,4,4,0,,0,1,,,,9,0,9,14,0,0,0,9,,77,11,44,25,10,23,,,,10,20,11,9,,,,,,1,1,1,1,,2,0,,0,0,0,52,9,9,9,9
Public Method,"com.orhanobut.android.beesample.AppBeeConfig.onClose",,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,1,00,1,1,1,1
Public Method,"com.orhanobut.android.beesample.AppBeeConfig.onEndPointSelected",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,00,1,1,1,1
Public Method,"com.orhanobut.android.beesample.AppBeeConfig.onInfoContentCreated",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,4,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,1,33,1,1,1,1
