Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,17,4,13,10,1,0,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ApplicationConfigurationForEndToEndTests.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,15,2,13,12,0,0,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"BroadbandAccessDevice.java",1,1,1,1,3,0,3,0,,,,,1,0,0,9,,9,9,5,9,,0,0,0,9,,52,13,39,18,11,0,,,,18,28,17,11,,,,,,1,1,1,1,,,0,,,,0,00,9,9,9,9
File,"BroadbandAccessDeviceDatabaseDataProvider.java",1,1,1,1,9,0,8,0,,,,,1,0,0,10,,10,9,1,9,,0,1,0,8,,121,19,102,53,58,0,,,,49,61,44,17,,,,,,2,2,2,1,,,1,,,,0,00,12,12,12,10
File,"BroadbandAccessDeviceDatabaseDataProviderTest.java",1,1,1,1,6,0,5,0,,,,,1,0,0,16,,16,16,2,16,,0,8,0,8,,151,38,113,56,53,0,,,,71,88,48,40,,,,,,1,1,1,1,,,0,,,,0,00,16,16,16,16
File,"BroadbandAccessDeviceDatabaseIntegrationTest.java",1,1,1,1,6,0,5,0,,,,,1,0,3,12,,12,12,2,12,,0,6,0,6,,121,31,90,45,40,0,,,,56,69,37,32,,,,,,1,1,1,1,,,0,,,,0,00,12,12,12,12
File,"BroadbandAccessDeviceDto.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,4,5,,0,0,0,5,,32,7,25,11,8,0,,,,13,19,11,8,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"BroadbandAccessDeviceNetworkDataProvider.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,24,6,18,9,5,0,,,,8,12,8,4,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"BroadbandAccessDeviceNetworkDataProviderTest.java",1,1,1,1,5,1,4,0,,,,,1,0,0,4,,4,4,2,4,,0,2,0,2,,42,13,29,18,10,0,,,,17,22,16,6,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"Capacity.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,27,7,20,10,5,0,,,,9,14,9,5,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"CapacityDto.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,20,5,15,7,4,0,,,,7,11,7,4,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"DatabaseDataProviderConfiguration.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,22,5,17,12,2,0,,,,8,11,9,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"DatabaseIntegrationTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,19,4,15,11,2,0,,,,9,11,9,2,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"DatasourceConfiguration.java",1,1,1,1,4,0,4,0,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,37,8,27,20,7,2,,,,15,19,16,3,,,,,,1,1,1,1,,,0,,,,0,07,3,3,3,3
File,"DeviceClient.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,7,3,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"DeviceConnectionTimeoutException.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,4,1,3,2,0,0,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"DeviceNotFoundException.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,4,1,3,2,0,0,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"DeviceType.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,2,2,,0,0,0,2,,8,3,5,4,0,0,,,,2,2,2,0,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"DoesExchangeExist.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,7,3,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"EndToEndYatspecTest.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,16,3,13,12,0,0,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"EndpointConfiguration.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,23,5,18,13,2,0,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"Exchange.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,3,5,,0,0,0,5,,34,9,25,12,7,0,,,,12,18,11,7,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"ExchangeDatabaseDataProvider.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,24,6,18,11,4,0,,,,9,13,10,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"ExchangeDatabaseDataProviderTest.java",1,1,1,1,5,1,4,0,,,,,1,0,1,4,,4,4,2,4,,0,2,0,2,,46,15,31,20,11,0,,,,19,24,18,6,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"ExchangeDatabaseIntegrationTest.java",1,1,1,1,4,0,3,0,,,,,1,0,0,5,,5,5,1,5,,0,2,0,3,,48,14,33,21,8,1,,,,17,23,17,6,,,,,,1,1,1,1,,,0,,,,0,03,5,5,5,5
File,"ExchangeNotFoundException.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,4,1,3,2,0,0,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"FakeDeviceClient.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,10,3,7,4,1,0,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"GetAllDeviceHostnames.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,9,4,5,4,0,0,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"GetAvailablePortsOfAllDevicesInExchange.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,11,5,6,5,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"GetBroadbandAccessDeviceDetailsAcceptanceTest.java",1,1,1,1,5,0,5,0,,,,,1,0,4,7,,7,7,4,7,,0,5,0,2,,83,19,64,34,28,0,,,,42,51,31,20,,,,,,2,2,2,1,,,1,,,,0,00,8,8,8,7
File,"GetBroadbandAccessDeviceDetailsEndToEndTest.java",1,1,1,1,9,1,7,0,,,,,1,0,6,4,,4,4,4,4,,0,3,0,1,,83,18,65,42,28,1,,,,45,50,37,13,,,,,,1,1,1,1,,,0,,,,0,02,4,4,4,4
File,"GetBroadbandAccessDeviceDetailsUseCase.java",1,1,1,1,6,1,5,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,23,8,15,7,5,0,,,,7,11,7,4,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"GetBroadbandAccessDeviceDetailsUseCaseTest.java",1,1,1,1,4,0,3,0,,,,,1,0,0,5,,5,4,2,4,,0,2,0,2,,45,13,32,21,11,0,,,,20,25,19,6,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"GetBroadbandAccessDeviceEndpoint.java",1,1,1,1,6,0,6,0,,,,,1,0,2,3,,3,3,1,3,,0,1,0,2,,48,10,38,21,15,0,,,,21,26,19,7,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,3
File,"GetBroadbandAccessDeviceEndpointTest.java",1,1,1,1,5,0,4,0,,,,,1,0,6,5,,5,4,2,4,,0,2,0,2,,59,14,45,30,21,0,,,,33,38,28,10,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"GetBroadbandAccessDeviceRestIntegrationTests.java",1,1,1,1,5,0,5,0,,,,,1,0,4,9,,9,9,4,9,,0,6,0,3,,100,21,79,44,33,0,,,,50,60,40,20,,,,,,1,1,1,1,,,0,,,,0,00,9,9,9,9
File,"GetCapacityForExchangeAcceptanceTest.java",1,1,1,1,5,0,4,0,,,,,1,0,2,20,,20,20,4,20,,0,13,0,7,,171,40,128,72,55,3,,,,75,96,61,35,,,,,,1,1,1,1,,,0,,,,0,02,20,20,20,20
File,"GetCapacityForExchangeEndToEndTest.java",1,1,1,1,7,1,6,0,,,,,1,0,0,11,,11,11,4,11,,0,10,0,1,,132,30,102,44,51,1,,,,70,82,39,43,,,,,,1,1,1,1,,,0,,,,0,01,11,11,11,11
File,"GetCapacityForExchangeEndpoint.java",1,1,1,1,5,0,5,0,,,,,1,0,2,3,,3,3,1,3,,0,1,0,2,,43,9,34,21,11,0,,,,21,26,19,7,,,,,,2,2,2,1,,,1,,,,0,00,4,4,4,3
File,"GetCapacityForExchangeEndpointTest.java",1,1,1,1,4,0,3,0,,,,,1,0,1,5,,5,4,2,4,,0,2,0,2,,47,14,33,21,11,0,,,,21,26,19,7,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"GetCapacityForExchangeRestIntegrationTest.java",1,1,1,1,5,0,4,0,,,,,1,0,1,9,,9,9,4,9,,0,6,0,3,,92,21,71,39,27,0,,,,44,54,35,19,,,,,,1,1,1,1,,,0,,,,0,00,9,9,9,9
File,"GetCapacityForExchangeUseCase.java",1,1,1,1,6,0,6,0,,,,,1,0,1,5,,5,5,2,5,,0,3,0,2,,51,11,40,20,18,0,,,,22,32,21,11,,,,,,3,3,3,1,,,2,,,,0,00,8,8,8,5
File,"GetCapacityForExchangeUseCaseTest.java",1,1,1,1,5,1,4,0,,,,,1,0,2,18,,18,17,3,17,,0,4,0,13,,159,47,112,61,50,0,,,,61,79,48,31,,,,,,1,1,1,1,,,0,,,,0,00,18,18,18,18
File,"GetDeviceDetails.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,9,4,5,4,0,0,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"GetSerialNumberFromModel.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,7,3,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"GetSerialNumberFromReality.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,7,3,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"JobConfiguration.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,23,5,18,13,2,0,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"JobResults.java",1,1,1,1,3,0,3,0,,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,18,5,12,7,3,1,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,0,08,2,2,2,2
File,"JobResultsCount.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,23,6,17,8,4,0,,,,7,12,8,4,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"JobResultsCountTest.java",1,1,1,1,8,2,6,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,29,10,19,10,8,0,,,,11,14,8,6,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"JobResultsTest.java",1,1,1,1,5,1,4,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,18,7,11,8,3,0,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"JobSchedulerConfiguration.java",2,2,2,1,13,2,11,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,33,8,25,18,9,0,,,,17,21,17,4,,,,,,2,2,2,1,,,1,,,,0,00,2,2,2,1
File,"MocksConfigurationForEndToEndTests.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,5,12,9,1,0,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"NetworkDataProviderConfiguration.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,22,5,17,12,2,1,,,,8,11,9,2,,,,,,1,1,1,1,,,0,,,,0,06,2,2,2,2
