Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractSubject.java",1,1,1,1,6,0,6,0,,,,,2,0,0,3,,3,3,1,3,,0,0,0,3,,55,7,24,9,10,24,,,,8,15,9,6,,,,,,2,2,2,1,,,1,,,,1,00,5,5,5,3
File,"ClasspathProtocol.java",5,5,5,4,22,0,21,1,,,,,1,0,1,1,,1,1,0,1,,0,0,1,0,,53,7,41,23,16,5,,,,26,31,21,10,,,,,,5,5,5,4,,,3,,,,0,12,5,5,5,4
File,"CommonResponse.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,3,4,,0,0,0,4,,26,6,20,9,6,0,,,,10,15,9,6,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"ConfigCenter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,47,5,21,16,3,21,,,,12,15,13,2,,,,,,1,1,1,1,,,0,,,,1,00,2,2,2,2
File,"ConfigFaceApplication.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,12,3,9,6,1,0,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ConfigGroup.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,28,5,8,7,0,15,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,1,88,0,0,0,0
File,"ConfigGroupEnumerableResource.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,44,7,27,18,4,10,,,,13,18,14,4,,,,,,1,1,1,1,,,0,,,,0,37,4,4,4,4
File,"ConfigGroupResource.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,56,9,21,14,3,26,,,,10,14,11,3,,,,,,1,1,1,1,,,0,,,,1,24,3,3,3,3
File,"ConfigGroupSourceFactory.java",3,3,3,1,11,0,11,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,42,4,17,7,7,21,,,,8,13,8,5,,,,,,3,3,3,1,,,2,,,,1,24,3,3,3,1
File,"ConfigLocalCache.java",2,2,2,1,13,0,9,3,,,,,1,0,2,5,,5,5,1,5,,0,2,0,3,,113,13,63,24,35,37,,,,33,46,24,22,,,,,,6,6,7,1,,,3,,,,0,59,11,11,12,5
