Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AcceptThread.java",2,2,2,1,10,0,10,0,,,,,1,0,0,4,,4,4,4,4,,0,1,0,3,,60,7,53,17,29,0,,,,22,34,16,18,,,,,,5,5,5,3,,,4,,,,0,00,11,11,11,6
File,"AlarmCreateActivity.java",1,1,1,1,37,7,23,6,,,,,5,0,2,5,,5,5,5,5,,0,0,0,5,,142,28,94,24,70,20,,,,43,49,26,23,,,,,,1,1,1,1,,,0,,,,0,21,5,5,5,5
File,"AlarmCreateActivity.java",1,1,1,1,18,4,10,3,,,,,1,0,2,4,,4,4,3,4,,0,0,0,4,,98,26,58,24,35,14,,,,29,34,20,14,,,,,,1,1,1,1,,,0,,,,0,24,4,4,4,4
File,"AlarmLoggerReceiver.java",1,1,1,1,6,2,3,1,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,21,6,14,11,2,1,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,07,1,1,1,1
File,"AlarmLoggerReceiver.java",1,1,1,1,6,2,3,1,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,21,6,14,11,2,1,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,07,1,1,1,1
File,"AlarmNotificationReceiver.java",1,1,1,1,30,7,17,6,,,,,1,0,2,1,,1,1,7,1,,0,0,0,1,,66,14,42,28,24,11,,,,26,28,24,4,,,,,,1,1,1,1,,,0,,,,0,26,1,1,1,1
File,"AlarmNotificationReceiver.java",1,1,1,1,31,7,18,5,,,,,1,0,2,2,,2,2,7,2,,0,1,0,1,,101,22,65,42,41,15,,,,44,47,35,12,,,,,,1,1,1,1,,,0,,,,0,23,2,2,2,2
File,"AlbumsActivity.java",1,1,1,1,7,1,6,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,12,7,4,0,,,,8,10,7,3,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"AlertDialogActivity.java",1,1,1,1,11,1,8,1,,,,,7,2,3,12,,12,10,2,12,,1,2,0,9,,165,35,104,31,59,26,,,,44,62,32,30,,,,,,3,2,3,1,,,1,,,,0,25,16,15,16,12
File,"AlertDialogActivity.java",1,1,1,1,13,2,8,2,,,,,2,0,3,6,,6,6,2,6,,1,2,0,3,,97,24,57,18,32,16,,,,29,39,18,21,,,,,,3,2,3,1,,,1,,,,0,28,10,9,10,6
File,"AlertDialogFragment.java",1,1,1,1,10,0,8,0,,,,,3,1,0,4,,4,3,0,4,,0,0,0,4,,45,7,33,10,18,5,,,,10,15,11,4,,,,,,1,1,1,1,,,0,,,,0,15,4,4,4,4
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ArtistsActivity.java",1,1,1,1,7,1,6,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,12,7,4,0,,,,8,10,7,3,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"AsyncTaskActivity.java",1,1,1,1,7,0,6,0,,,,,4,0,1,8,,8,8,3,8,,0,1,4,3,,88,16,71,33,31,1,,,,40,51,31,20,,,,,,2,2,2,1,,,1,,,,0,01,10,10,10,8
File,"AsyncTaskActivity.java",1,1,1,1,6,0,6,0,,,,,1,0,2,7,,7,7,4,7,,0,0,1,6,,81,15,64,28,29,2,,,,35,44,23,21,,,,,,2,2,2,1,,,1,,,,0,03,8,8,8,7
File,"AsyncTaskFragment.java",1,1,1,1,4,0,4,0,,,,,3,0,2,15,,18,18,3,18,,6,4,4,4,,131,26,100,44,35,5,,,,44,68,38,30,,,,,,2,2,2,1,,,1,,,,0,05,21,21,21,15
File,"AudioRecordingActivity.java",2,2,2,1,13,3,9,1,,,,,4,0,2,11,,11,11,4,11,,0,6,0,5,,185,45,123,35,73,17,,,,62,85,34,51,,,,,,3,3,4,1,,,2,,,,0,14,22,22,23,11
File,"AudioRecordingActivity.java",2,2,2,1,13,2,10,1,,,,,5,0,3,13,,13,13,7,13,,0,6,0,7,,215,45,153,41,90,17,,,,74,105,41,64,,,,,,4,4,4,1,,,3,,,,0,11,29,29,31,13
File,"AudioVideoAudioManagerActivity.java",1,1,1,1,14,2,10,1,,,,,3,0,1,8,,8,8,8,8,,0,0,2,6,,145,30,100,38,58,15,,,,56,71,34,37,,,,,,2,2,2,1,,,1,,,,0,15,14,14,14,8
File,"AudioVideoAudioManagerActivity.java",1,1,1,1,19,4,13,2,,,,,6,0,1,8,,8,8,8,8,,0,0,2,6,,158,35,105,35,67,18,,,,59,74,35,39,,,,,,2,2,2,1,,,1,,,,0,17,14,14,14,8
File,"AudioVideoCameraActivity.java",2,2,2,1,14,3,9,2,,,,,5,0,2,14,,14,14,7,14,,0,5,2,7,,254,60,156,42,97,38,,,,72,104,44,60,,,,,,4,4,4,1,,,2,,,,0,24,30,30,31,14
File,"AudioVideoRingtoneManagerActivity.java",1,1,1,1,6,0,5,0,,,,,2,0,0,8,,8,8,2,8,,0,2,1,5,,73,15,55,23,23,3,,,,25,38,20,18,,,,,,3,3,4,1,,,1,,,,0,05,12,12,13,8
File,"AudioVideoRingtoneManagerActivity.java",1,1,1,1,14,3,10,0,,,,,4,0,0,6,,6,6,1,6,,0,1,1,4,,85,21,60,25,36,4,,,,29,38,23,15,,,,,,3,3,4,1,,,1,,,,0,07,8,8,9,6
File,"AudioVideoVideoPlayActivity.java",1,1,1,1,13,3,9,1,,,,,2,0,0,3,,3,3,1,3,,0,0,1,2,,56,14,38,16,20,5,,,,21,26,14,12,,,,,,2,2,3,1,,,1,,,,0,13,4,4,5,3
File,"AudioVideoVideoPlayActivity.java",1,1,1,1,14,3,9,1,,,,,2,0,0,3,,3,3,1,3,,0,0,1,2,,57,15,38,16,20,5,,,,21,26,14,12,,,,,,2,2,3,1,,,1,,,,0,13,4,4,5,3
File,"AutoCompleteActivity.java",1,1,1,1,15,3,9,2,,,,,2,0,1,2,,2,2,0,2,,0,0,1,1,,99,10,84,17,69,5,,,,17,20,15,5,,,,,,1,1,1,1,,,0,,,,0,06,2,2,2,2
File,"AutoCompleteActivity.java",1,1,1,1,17,2,13,2,,,,,2,0,0,2,,2,2,0,2,,0,0,1,1,,43,8,31,16,16,4,,,,18,21,15,6,,,,,,1,1,1,1,,,0,,,,0,13,2,2,2,2
File,"BoomActivity.java",2,2,2,1,7,1,6,0,,,,,1,0,1,1,,1,1,0,1,,0,0,1,0,,20,5,14,8,4,1,,,,6,9,6,3,,,,,,2,2,2,1,,,1,,,,0,07,2,2,2,1
File,"BoomActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,1,1,,1,1,0,1,,0,0,1,0,,17,4,12,8,3,1,,,,6,8,6,2,,,,,,1,1,1,1,,,0,,,,0,08,1,1,1,1
File,"BoomUserActivity.java",1,1,1,1,11,2,7,2,,,,,2,0,1,2,,2,2,0,2,,0,0,1,1,,33,7,22,12,9,4,,,,13,16,12,4,,,,,,1,1,1,1,,,0,,,,0,18,2,2,2,2
File,"BoomUserActivity.java",1,1,1,1,8,0,6,1,,,,,2,0,3,6,,6,6,0,6,,0,3,1,2,,74,13,53,25,22,8,,,,25,35,22,13,,,,,,3,3,3,1,,,2,,,,0,15,9,9,10,6
File,"BrowserProvider.java",4,4,5,2,22,1,19,2,,,,,5,4,30,36,,36,32,18,36,,0,8,0,28,,1040,105,811,227,562,140,,,,374,519,191,328,,,,,,38,30,40,30,,,5,,,,0,17,160,147,191,83
File,"BubbleActivity.java",1,1,1,1,21,6,15,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,31,8,23,14,13,0,,,,16,18,12,6,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"BubbleActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,12,2,10,6,2,0,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"BubbleActivity.java",1,1,2,1,16,2,13,1,,,,,3,0,2,5,,5,5,9,5,,1,0,1,3,,116,21,90,45,50,5,,,,59,68,42,26,,,,,,3,3,4,1,,,2,,,,0,06,9,9,12,5
File,"BubbleActivity.java",2,2,2,1,16,2,14,0,,,,,3,0,2,5,,5,5,9,5,,0,0,2,3,,113,23,90,42,52,0,,,,56,66,39,27,,,,,,3,3,5,1,,,2,,,,0,00,10,10,13,5
File,"BubbleActivity.java",1,1,2,1,12,1,10,0,,,,,3,0,2,8,,8,8,15,8,,0,2,0,6,,148,29,112,55,58,7,,,,72,85,49,36,,,,,,3,3,4,1,,,2,,,,0,06,13,13,17,8
File,"BubbleActivity.java",1,1,2,1,11,1,10,0,,,,,3,0,2,8,,8,8,15,8,,0,2,0,6,,130,23,107,45,57,0,,,,64,78,39,39,,,,,,3,3,5,1,,,2,,,,0,00,14,14,18,8
File,"BubbleActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,12,2,10,6,2,0,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"BubbleActivity.java",2,2,2,1,25,7,18,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,37,9,28,17,15,0,,,,20,23,15,8,,,,,,2,2,2,1,,,1,,,,0,00,2,2,2,1
File,"ButtonActivity.java",1,1,1,1,16,3,8,4,,,,,2,0,1,2,,2,2,1,2,,0,0,0,2,,39,8,25,11,10,6,,,,14,18,11,7,,,,,,2,2,2,1,,,0,,,,0,24,3,3,3,2
File,"ButtonActivity.java",1,1,1,1,13,3,7,3,,,,,2,0,0,2,,2,2,1,2,,0,0,0,2,,32,6,21,11,9,5,,,,12,15,11,4,,,,,,1,1,1,1,,,0,,,,0,24,2,2,2,2
File,"CardViewActivity.java",1,1,1,1,20,6,14,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,33,10,23,14,12,0,,,,18,20,13,7,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"CheckActivityIntents.java",1,1,1,1,14,1,13,0,,,,,2,1,0,3,,3,2,0,3,,0,0,0,3,,57,9,48,30,23,0,,,,30,38,29,9,,,,,,2,2,2,1,,,1,,,,0,00,5,5,5,3
File,"CheckBoxActivity.java",1,1,1,1,20,2,14,3,,,,,3,0,0,3,,3,3,0,3,,0,0,0,3,,52,7,38,12,22,7,,,,19,25,13,12,,,,,,2,2,2,1,,,1,,,,0,18,5,5,5,3
