Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"APICreds2Activity.java",1,1,1,1,14,0,10,4,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,77,5,34,20,15,39,,,,23,27,19,8,,,,,,2,2,2,1,,,1,,,,1,15,3,3,3,2
File,"APICredsActivity.java",1,1,1,1,11,1,7,3,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,52,4,14,9,5,34,,,,9,11,8,3,,,,,,1,1,1,1,,,0,,,,2,43,1,1,1,1
File,"AccessControl1Activity.java",1,1,1,1,8,0,7,1,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,62,4,25,12,9,33,,,,14,18,11,7,,,,,,2,2,2,1,,,1,,,,1,32,3,3,3,2
File,"AccessControl2Activity.java",1,1,1,1,11,0,9,1,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,68,5,29,15,12,34,,,,18,22,14,8,,,,,,2,2,2,1,,,1,,,,1,17,3,3,3,2
File,"AccessControl3Activity.java",2,2,2,1,12,1,10,0,,,,,1,0,0,3,,3,3,0,3,,0,0,1,2,,86,10,45,24,22,31,,,,28,35,23,12,,,,,,3,3,4,1,,,2,,,,0,69,6,6,7,3
File,"AccessControl3NotesActivity.java",1,1,1,1,15,1,12,1,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,82,7,41,28,18,34,,,,30,34,27,7,,,,,,2,2,2,1,,,1,,,,0,83,3,3,3,2
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"DivaJni.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,2,2,0,2,,0,0,0,2,,49,3,10,6,2,36,,,,5,6,5,1,,,,,,0,0,0,0,,,0,,,,3,60,0,0,0,0
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"Hardcode2Activity.java",1,1,1,1,8,1,7,0,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,62,7,24,12,8,31,,,,13,17,11,6,,,,,,2,2,2,1,,,1,,,,1,29,3,3,3,2
