Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"And.java",2,2,2,1,7,0,7,0,,,,,1,0,1,3,,3,3,1,3,,0,0,0,3,,56,8,30,11,12,18,,,,16,24,13,11,,,,,,3,3,3,3,,,2,,,,0,60,7,7,7,5
File,"AndroidClassProxyFactory.java",2,2,3,1,11,0,10,0,,,,,2,0,0,5,,5,5,2,5,,0,1,0,4,,101,12,68,30,35,21,,,,32,44,27,17,,,,,,4,4,7,1,,,3,,,,0,31,11,11,16,5
File,"AndroidSupport.java",1,1,1,1,3,0,3,0,,,,,1,1,1,1,,1,0,0,1,,0,0,0,1,,43,4,16,5,7,23,,,,7,10,4,6,,,,,,1,1,1,1,,,0,,,,1,44,1,1,1,1
File,"AndroidTck.java",2,2,2,1,17,1,16,0,,,,,1,0,0,3,,3,3,0,3,,0,2,0,1,,92,10,62,22,36,20,,,,43,51,21,30,,,,,,3,3,3,1,,,1,,,,0,32,7,7,7,3
File,"AnnotatedMockWithRuleTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,1,,1,1,3,1,,0,0,0,1,,48,6,22,16,6,20,,,,14,16,12,4,,,,,,1,1,1,1,,,0,,,,0,91,1,1,1,1
File,"AnnotatedMockWithRunnerTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,1,,1,1,2,1,,0,0,0,1,,46,5,21,15,5,20,,,,13,15,11,4,,,,,,1,1,1,1,,,0,,,,0,95,1,1,1,1
File,"AnswerTest.java",1,1,1,1,9,1,8,0,,,,,4,0,0,13,,14,8,1,8,,1,0,0,7,,156,29,109,40,64,18,,,,65,79,29,50,,,,,,2,2,2,1,,,1,,,,0,17,16,16,16,13
File,"Any.java",1,1,1,1,3,0,2,0,,,,,1,0,2,3,,3,3,0,3,,0,1,0,2,,42,9,15,9,4,18,,,,7,11,9,2,,,,,,1,1,1,1,,,0,,,,1,20,3,3,3,3
File,"ArgumentToString.java",3,3,3,1,17,0,12,4,,,,,1,3,0,4,,4,1,0,4,,0,1,0,3,,102,9,53,9,35,40,,,,27,42,11,31,,,,,,8,8,8,1,,,3,,,,0,75,14,14,14,4
File,"ArgumentToStringTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,10,,10,10,1,10,,0,1,0,9,,83,14,51,29,14,18,,,,20,31,20,11,,,,,,1,1,1,1,,,0,,,,0,35,10,10,10,10
