Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"EmojiAdapter.java",1,1,1,1,6,0,6,0,,,,,3,0,0,5,,5,5,2,5,,0,0,0,5,,74,10,46,24,18,18,,,,27,35,24,11,,,,,,2,2,2,1,,,0,,,,0,39,6,6,6,5
File,"Emojicon.java",1,1,1,1,4,0,4,0,,,,,1,4,1,9,,9,5,1,9,,0,1,0,8,,74,12,44,19,18,18,,,,19,30,17,13,,,,,,2,2,2,1,,,1,,,,0,41,10,10,11,9
File,"EmojiconEditText.java",1,1,1,1,4,0,4,0,,,,,1,0,0,6,,6,6,1,6,,0,1,1,4,,66,11,34,16,12,21,,,,19,26,15,11,,,,,,1,1,1,1,,,0,,,,0,62,6,6,6,6
File,"EmojiconGridView.java",2,2,2,1,12,0,12,0,,,,,3,0,0,3,,4,4,4,4,,1,1,0,2,,78,11,48,23,21,19,,,,29,37,24,13,,,,,,3,3,3,1,,,1,,,,0,40,6,6,6,3
File,"EmojiconHandler.java",7,4,8,1,24,1,21,2,,,,,1,5,2,6,,6,1,0,6,,0,4,0,2,,1515,22,1432,26,1400,64,,,,1376,1393,27,1366,,,,,,42,23,44,1,,,5,,,,0,04,47,28,49,6
File,"EmojiconRecents.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,28,4,6,5,0,18,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,3,00,0,0,0,0
File,"EmojiconRecentsGridView.java",1,1,1,1,10,0,9,0,,,,,2,0,0,3,,3,3,1,3,,0,0,0,3,,62,9,33,16,17,20,,,,16,22,13,9,,,,,,2,2,2,1,,,1,,,,0,61,5,5,5,3
File,"EmojiconRecentsManager.java",1,1,1,1,6,0,5,0,,,,,1,1,5,11,,11,10,1,11,,0,3,0,8,,124,21,82,36,38,21,,,,39,59,34,25,,,,,,3,3,3,1,,,2,,,,0,26,18,18,18,11
File,"EmojiconSpan.java",2,2,2,1,9,0,8,0,,,,,1,0,0,2,,2,2,4,2,,0,0,0,2,,51,5,27,12,11,19,,,,16,21,12,9,,,,,,3,3,3,1,,,2,,,,0,70,4,4,4,2
File,"EmojiconTextView.java",1,1,1,1,5,0,5,0,,,,,1,0,0,6,,6,6,3,6,,0,1,0,5,,76,10,45,20,21,21,,,,27,35,19,16,,,,,,2,2,2,1,,,1,,,,0,47,7,7,7,6
