Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Cache.java",1,1,1,1,7,1,6,0,,,,,2,2,6,5,,5,3,2,5,,0,1,0,4,,71,15,55,30,24,3,,,,31,41,28,13,,,,,,3,3,3,1,,,2,,,,0,05,8,8,8,5
File,"CacheTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,3,3,,0,0,0,3,,40,10,30,20,6,0,,,,22,26,20,6,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"Converter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,9,2,7,6,0,0,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"DefaultUrl.java",1,1,1,1,3,0,3,0,,,,,1,0,17,19,,19,19,2,19,,0,0,0,19,,113,24,89,47,40,0,,,,46,68,47,21,,,,,,2,2,2,1,,,1,,,,0,00,20,20,20,19
File,"DefaultUrlTest.java",1,1,1,1,8,2,6,0,,,,,1,0,1,18,,18,18,1,18,,0,0,0,18,,195,57,138,32,89,1,,,,85,104,31,73,,,,,,1,1,1,1,,,0,,,,0,01,18,18,18,18
File,"DimensionResource.java",2,1,2,2,9,0,8,0,,,,,1,3,7,5,,5,2,2,5,,0,0,2,3,,70,11,59,23,37,0,,,,30,39,22,17,,,,,,9,3,9,8,,,2,,,,0,00,14,8,14,12
File,"DimensionResourceTest.java",1,1,1,1,10,1,8,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,74,17,57,21,31,0,,,,41,47,17,30,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"Dispatcher.java",1,1,2,1,7,0,6,0,,,,,3,0,8,16,,16,16,11,16,,1,5,0,10,,179,32,147,56,78,0,,,,90,115,55,60,,,,,,5,3,6,1,,,1,,,,0,00,25,22,33,16
File,"Downloader.java",6,6,7,1,32,6,26,0,,,,,1,0,3,4,,4,4,5,4,,0,0,1,3,,166,34,132,39,75,3,,,,73,99,37,62,,,,,,19,19,20,1,,,2,,,,0,02,27,25,28,4
File,"DownloaderTest.java",1,1,1,1,17,2,15,0,,,,,2,0,18,8,,8,8,6,8,,0,1,0,7,,216,34,182,84,120,1,,,,141,153,82,71,,,,,,3,3,3,1,,,1,,,,0,01,11,11,11,8
