Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"FloatLabeledEditText.java",1,1,1,1,9,1,8,0,,,,,4,0,1,18,,18,18,3,18,,0,5,0,13,,209,40,168,57,96,2,,,,93,124,60,64,,,,,,5,5,7,1,,,2,,,,0,01,32,32,35,18
File,"MainActivity.java",1,1,1,1,6,0,5,1,,,,,1,0,0,3,,3,3,0,3,,0,0,1,2,,36,7,25,13,8,4,,,,12,17,10,7,,,,,,2,2,2,1,,,1,,,,0,16,4,4,4,3
File,"Utils.java",3,3,3,2,13,1,8,4,,,,,1,2,1,2,,2,0,0,2,,0,1,0,1,,42,9,26,12,11,8,,,,14,19,11,8,,,,,,4,4,4,3,,,2,,,,0,31,6,6,6,4
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.wrapp",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.wrapp.example",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.wrapp.example.floatlabelededittext",1,1,1,1,6,0,5,1,,,,,1,0,0,,1,,3,0,3,,0,0,1,2,,36,7,25,13,8,4,,,,12,17,10,7,,,,,,2,2,2,1,,,1,,,,0,16,4,4,4,3
Public Class,"com.wrapp.example.floatlabelededittext.MainActivity",1,1,1,1,6,0,5,1,1,0,0,0,,0,0,,,,3,0,3,3,0,0,1,2,,28,4,20,8,8,4,,,,7,12,5,7,,,,,,2,2,2,1,,2,1,,0,0,0,20,4,4,4,3
Protected Method,"com.wrapp.example.floatlabelededittext.MainActivity.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.wrapp.example.floatlabelededittext.MainActivity.onCreateOptionsMenu",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,4,1,2,1,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,25,1,1,1,1
Public Method,"com.wrapp.example.floatlabelededittext.MainActivity.onOptionsItemSelected",,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,7,2,4,3,3,2,0,3,5,2,3,2,2,2,1,1,,,,,0,,1,0,,,0,43,2,2,2,1
Package,"com.wrapp.floatlabelededittext",1,1,2,1,10,1,8,0,,,,,5,2,2,,2,,18,3,20,,0,6,0,14,,251,49,194,69,107,10,,,,107,143,71,72,,,,,,5,5,7,3,,,2,,,,0,05,38,38,41,22
