Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AC.java",1,1,1,1,12,0,5,6,,,,,1,0,0,17,,17,17,1,17,,3,4,0,10,,287,20,108,37,59,159,,,,65,95,42,53,,,,,,4,4,4,1,,,2,,,,1,47,30,30,31,17
File,"AERunnable.java",2,2,2,1,7,0,7,0,,,,,1,0,0,1,,2,2,0,2,,0,0,1,1,,37,3,13,6,4,21,,,,4,7,4,3,,,,,,2,2,2,1,,,1,,,,1,62,2,2,2,1
File,"AESemaphore.java",2,2,2,1,11,0,10,0,,,,,1,0,1,8,,8,8,5,8,,2,2,0,4,,138,11,100,23,59,27,,,,43,68,21,47,,,,,,9,9,9,8,,,6,,,,0,27,19,19,20,15
File,"AESemaphore2.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,1,0,0,1,,36,5,12,7,3,19,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,,1,58,2,2,2,2
File,"AEThread2.java",2,2,3,1,12,0,11,0,,,,,3,0,6,10,,11,11,10,11,,8,0,1,2,,193,15,155,52,81,23,,,,62,95,34,61,,,,,,9,9,13,8,,,5,,,,0,15,26,26,30,17
File,"AWTSplashWindow.java",2,2,2,1,20,0,11,8,,,,,1,1,1,4,,4,3,2,4,,0,1,0,3,,150,6,53,15,34,91,,,,25,38,15,23,,,,,,4,4,4,1,,,3,,,,1,72,10,10,10,4
File,"AboutActivity.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,32,4,8,5,1,20,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,2,50,1,1,1,1
File,"AboutFragment.java",1,1,1,1,13,2,10,0,,,,,1,2,0,6,,6,3,0,5,,0,3,1,1,,131,24,82,44,48,25,,,,62,71,43,28,,,,,,3,3,3,1,,,1,,,,0,30,10,10,10,6
File,"AboutWindow.java",1,1,1,1,29,0,27,4,,,,,3,0,0,8,,8,8,2,8,,2,3,0,3,,253,9,227,43,197,36,,,,160,173,46,127,,,,,,2,2,2,1,,,1,,,,0,16,11,11,11,8
File,"AbstractAction.java",1,1,1,1,5,0,4,0,,,,,1,0,0,4,,4,4,0,4,,0,0,2,2,,55,7,26,12,9,22,,,,10,17,10,7,,,,,,3,3,3,1,,,2,,,,0,85,6,6,6,4
File,"AbstractActionsHolder.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,7,7,2,7,,0,0,0,7,,53,10,22,12,5,21,,,,12,17,12,5,,,,,,1,1,1,1,,,0,,,,0,95,4,4,4,4
File,"AbstractActionsRenderer.java",1,1,2,1,8,0,8,0,,,,,4,0,6,11,,13,13,4,13,,0,5,5,3,,155,16,118,37,64,21,,,,71,89,37,52,,,,,,4,4,5,3,,,2,,,,0,18,20,20,22,13
File,"AbstractActivity.java",1,1,1,1,7,0,5,1,,,,,2,2,1,29,,29,27,4,29,,0,3,10,16,,324,46,219,91,93,61,,,,97,148,75,73,,,,,,7,7,8,4,,,2,,,,0,28,47,47,50,34
File,"AbstractAdNetwork.java",1,1,1,1,6,0,6,0,,,,,1,0,1,8,,8,8,2,8,,0,0,1,7,,105,16,62,24,31,27,,,,28,42,18,24,,,,,,5,5,5,4,,,2,,,,0,44,13,13,13,11
File,"AbstractAdapter.java",1,1,1,1,7,0,7,0,,,,,2,0,0,6,,8,8,1,8,,0,2,2,4,,102,15,63,31,24,24,,,,31,43,25,18,,,,,,2,2,2,1,,,1,,,,0,38,10,10,10,6
File,"AbstractConfirmListDialog.java",2,2,3,1,11,0,9,0,,,,,2,1,8,30,,31,30,9,31,,5,11,2,13,,455,65,332,120,189,58,,,,165,241,105,136,,,,,,7,7,11,3,,,3,,,,0,17,80,80,98,34
File,"AbstractCrawledSearchResult.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,1,6,,0,0,0,6,,57,10,28,15,6,19,,,,9,16,10,6,,,,,,1,1,1,1,,,0,,,,0,68,6,6,6,6
File,"AbstractDataLine.java",1,1,1,1,6,0,2,3,,,,,1,0,0,8,,8,8,1,8,,0,0,0,8,,88,10,25,11,5,53,,,,7,16,11,5,,,,,,1,1,1,1,,,0,,,,2,12,8,8,8,8
