Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,13,4,9,6,1,0,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"Application.java",1,1,1,1,4,0,4,0,,,,,1,1,0,3,,3,1,0,2,,1,0,0,1,,27,5,22,14,5,0,,,,12,15,11,4,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"FileSystemStorageService.java",1,1,2,1,8,0,8,0,,,,,1,0,0,8,,8,7,1,7,,0,0,0,7,,104,13,90,36,36,1,,,,34,50,28,22,,,,,,4,4,4,3,,,2,,,,0,01,15,15,16,10
File,"FileSystemStorageService.java",1,1,1,1,5,0,5,0,,,,,1,0,0,9,,9,7,1,7,,0,0,0,7,,86,13,73,32,28,0,,,,29,43,24,19,,,,,,3,3,4,3,,,2,,,,0,00,15,15,16,11
File,"FileSystemStorageServiceTests.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,68,12,37,20,12,19,,,,17,23,15,8,,,,,,1,1,1,1,,,0,,,,0,51,5,5,5,5
File,"FileUploadController.java",1,1,1,1,5,0,4,0,,,,,1,0,0,6,,6,5,1,5,,0,0,0,5,,71,16,55,36,14,0,,,,30,36,28,8,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
File,"FileUploadIntegrationTests.java",1,1,1,1,12,2,10,0,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,69,15,54,41,17,1,,,,37,40,32,8,,,,,,1,1,1,1,,,0,,,,0,02,2,2,2,2
File,"FileUploadTests.java",1,1,1,1,8,1,7,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,71,15,56,39,15,2,,,,31,35,29,6,,,,,,1,1,1,1,,,0,,,,0,04,3,3,3,3
File,"StorageException.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,12,3,9,4,2,0,,,,3,6,4,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"StorageException.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,12,3,9,4,2,0,,,,3,6,4,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"StorageFileNotFoundException.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,12,3,9,4,2,0,,,,3,6,4,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"StorageFileNotFoundException.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,12,3,9,4,2,0,,,,3,6,4,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"StorageProperties.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,21,6,12,7,3,3,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,,0,25,2,2,2,2
File,"StorageProperties.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,21,6,12,7,3,3,,,,5,8,6,2,,,,,,1,1,1,1,,,0,,,,0,25,2,2,2,2
File,"StorageService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,6,6,0,6,,6,0,0,0,,23,10,13,12,0,0,,,,11,12,12,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"StorageService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,6,6,0,6,,6,0,0,0,,23,10,13,12,0,0,,,,11,12,12,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"hello",1,1,1,1,6,0,5,0,,,,,5,2,0,,5,,11,6,13,,1,0,0,12,,251,55,196,136,52,3,,,,114,132,105,27,,,,,,1,1,1,1,,,0,,,,0,02,15,15,15,15
Public Class,"hello.Application",1,1,1,1,3,0,3,0,1,0,0,0,,1,0,,,,0,0,1,1,0,0,0,1,,7,2,5,2,1,0,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0,0,00,1,1,1,1
Public Class,"hello.Application",1,1,1,1,4,0,4,0,1,1,1,0,,1,0,,,,1,0,2,2,1,0,0,1,,14,2,12,4,5,0,,,,4,7,3,4,,,,,,1,1,1,1,,1,0,,0,0,0,00,3,3,3,3
Method,"hello.Application.init",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,1,4,0,1,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,2,2,2,2
Lambda Method,"hello.Application.init.(lambda_expr_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,0,3,0,3,1,0,2,2,0,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"hello.Application.main",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"hello.Application.main",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
