Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"DemoApplication.java",1,1,1,1,15,1,13,0,,,,,6,0,0,8,,8,8,0,8,,0,0,6,2,,97,18,77,19,50,2,,,,27,41,20,21,,,,,,2,2,2,1,,,1,,,,0,03,13,13,13,8
File,"Flow.java",1,1,1,1,14,1,8,4,,,,,2,0,2,9,,9,9,6,9,,0,0,0,9,,153,23,86,35,48,44,,,,50,67,36,31,,,,,,3,3,3,3,,,2,,,,0,51,16,16,16,11
File,"Flow.java",1,1,1,1,13,0,8,4,,,,,2,0,2,9,,9,9,6,9,,0,0,0,9,,150,21,85,34,48,44,,,,47,65,35,30,,,,,,3,3,3,3,,,2,,,,0,52,16,16,16,11
File,"ILog.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,28,4,5,4,0,19,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,3,80,0,0,0,0
File,"ILog.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,28,4,5,4,0,19,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,3,80,0,0,0,0
File,"Init.java",1,1,1,1,8,0,4,4,,,,,1,17,5,17,,17,0,0,17,,0,1,0,16,,188,21,87,34,37,80,,,,38,62,34,28,,,,,,2,2,2,1,,,1,,,,0,92,25,25,25,17
File,"Init.java",1,1,1,1,7,0,4,3,,,,,1,10,3,10,,10,0,0,10,,0,0,0,10,,104,13,52,23,22,39,,,,23,37,23,14,,,,,,2,2,2,1,,,1,,,,0,75,15,15,15,10
File,"LogImpl.java",1,1,1,1,5,0,5,0,,,,,1,3,2,5,,5,2,0,5,,0,0,0,5,,44,7,37,12,17,0,,,,13,23,10,13,,,,,,2,2,2,1,,,1,,,,0,00,9,9,9,5
File,"LogImpl.java",1,1,1,1,5,0,5,0,,,,,1,3,2,5,,5,2,0,5,,0,0,0,5,,42,6,36,11,17,0,,,,12,22,9,13,,,,,,2,2,2,1,,,1,,,,0,00,9,9,9,5
