Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbsMqttProducer.java",1,1,1,1,7,0,7,0,,,,,4,0,6,26,,26,20,9,20,,0,1,5,14,,272,45,221,84,121,9,,,,115,149,75,74,,,,,,7,3,7,1,,,2,,,,0,04,45,40,45,26
File,"AbstractBootstrapClient.java",2,2,2,1,14,0,12,2,,,,,1,0,0,2,,2,2,2,2,,0,1,1,0,,58,9,39,19,17,10,,,,26,31,18,13,,,,,,2,2,2,1,,,1,,,,0,26,4,4,4,2
File,"AbstractBootstrapServer.java",2,2,2,1,18,0,16,1,,,,,1,0,1,4,,4,3,2,3,,0,2,1,0,,118,14,92,36,54,12,,,,65,74,35,39,,,,,,4,3,4,1,,,2,,,,0,13,11,9,11,4
File,"AbstractChannelService.java",1,1,1,1,4,0,3,0,,,,,2,0,5,13,,14,8,3,8,,1,0,4,3,,116,33,71,39,29,14,,,,41,51,37,14,,,,,,2,2,2,1,,,1,,,,0,20,14,14,14,13
File,"App.java",1,1,1,1,4,0,4,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,19,3,12,8,1,4,,,,5,7,7,0,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"BaseApi.java",3,3,3,2,10,0,10,0,,,,,1,0,0,5,,5,5,0,5,,5,0,0,0,,77,9,62,15,28,6,,,,22,44,18,26,,,,,,5,5,5,4,,,3,,,,0,10,19,19,19,11
File,"BaseAuthService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,13,3,4,3,0,6,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,1,50,0,0,0,0
File,"BootstrapClient.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,22,9,7,6,0,6,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,0,86,0,0,0,0
File,"BootstrapServer.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,21,7,8,7,0,6,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"ByteBufToWebSocketFrameEncoder.java",2,2,2,1,8,0,8,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,28,5,17,10,5,6,,,,10,13,9,4,,,,,,2,2,2,1,,,1,,,,0,35,2,2,2,1
File,"ByteBufUtil.java",1,1,1,1,5,0,5,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,18,3,9,5,3,6,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,0,67,1,1,1,1
File,"Cache.java",1,1,1,1,4,1,3,0,,,,,1,3,1,3,,3,0,0,3,,0,0,0,3,,34,13,15,8,4,6,,,,7,11,8,3,,,,,,1,1,1,1,,,0,,,,0,40,3,3,3,3
File,"CacheMap.java",1,1,2,1,7,0,7,0,,,,,2,0,0,13,,13,11,4,11,,1,0,0,10,,140,30,104,35,56,6,,,,51,76,35,41,,,,,,5,5,6,5,,,4,,,,0,06,25,25,28,19
File,"ChannelService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,11,11,0,11,,11,0,0,0,,46,17,21,20,0,9,,,,19,20,20,0,,,,,,0,0,0,0,,,0,,,,0,43,0,0,0,0
File,"ClientMqttHandlerService.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,5,5,0,5,,0,0,0,5,,29,8,15,12,1,6,,,,10,12,11,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ClientSessionService.java",1,1,1,1,4,0,4,0,,,,,1,0,1,3,,3,2,0,2,,0,0,0,2,,36,7,23,13,8,7,,,,13,16,12,4,,,,,,2,2,2,1,,,1,,,,0,30,4,4,4,3
File,"ConfirmStatus.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,4,2,,0,0,0,2,,16,1,7,6,0,9,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,1,29,2,2,2,2
File,"ConnectOptions.java",0,0,0,0,0,0,0,0,,,,,2,0,0,0,,0,0,30,0,,0,0,0,0,,81,35,40,38,0,6,,,,33,35,35,0,,,,,,0,0,0,0,,,0,,,,0,15,0,0,0,0
File,"ConnectionException.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,14,2,6,3,1,6,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,1,00,1,1,1,1
