Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",4,4,4,1,28,1,26,1,,,,,1,2,4,,1,,0,0,2,,0,1,0,1,,110,13,65,23,44,33,,,,37,47,20,27,,,,,,8,8,8,1,,,3,,,,0,51,9,9,9,2
File,"AbstractCloudHolder.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,2,3,,2,0,0,1,,47,10,22,10,7,15,,,,10,15,9,6,,,,,,2,2,2,1,,,1,,,,0,68,4,4,4,3
File,"ApplicationContextCloudServicesHolder.java",1,1,1,1,6,0,6,0,,,,,1,3,1,6,,6,2,1,5,,1,3,0,1,,80,13,52,21,23,15,,,,24,33,20,13,,,,,,2,2,2,1,,,1,,,,0,29,9,9,9,6
File,"BeanUtils.java",1,1,1,1,2,0,2,0,,,,,1,5,0,6,,6,1,0,6,,4,2,0,0,,47,10,22,10,5,15,,,,8,15,10,5,,,,,,1,1,1,1,,,0,,,,0,68,6,6,6,6
File,"CloudAutoReconfigurationServletContainerInitializer.java",1,1,1,1,6,0,6,0,,,,,1,0,0,2,,2,2,1,2,,0,1,0,1,,46,7,24,13,9,15,,,,12,15,12,3,,,,,,1,1,1,1,,,0,,,,0,62,2,2,2,2
File,"CloudAutoReconfigurationServletContainerInitializerTest.java",1,1,1,1,7,1,6,0,,,,,1,0,0,2,,2,2,0,2,,0,1,0,1,,49,10,24,13,9,15,,,,12,15,12,3,,,,,,1,1,1,1,,,0,,,,0,62,2,2,2,2
File,"CloudHolder.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,27,6,6,5,0,15,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,2,50,0,0,0,0
File,"CloudProfileApplicationContextInitializer.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,1,4,,1,0,0,3,,47,10,22,13,4,15,,,,10,15,11,4,,,,,,1,1,1,1,,,0,,,,0,68,4,4,4,4
File,"CloudProfileApplicationContextInitializerTest.java",1,1,1,1,10,2,8,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,54,11,28,19,12,15,,,,20,23,17,6,,,,,,1,1,1,1,,,0,,,,0,54,2,2,2,2
File,"CloudProfileApplicationListener.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,1,4,,1,0,0,3,,47,10,22,13,4,16,,,,10,15,11,4,,,,,,1,1,1,1,,,0,,,,0,73,4,4,4,4
