Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AsyncAnnotationTest.java",1,1,1,1,8,0,7,0,,,,,3,0,0,9,,9,6,3,6,,0,0,0,6,,146,22,107,57,47,17,,,,62,74,45,29,,,,,,2,2,2,1,,,1,,,,0,16,10,10,10,9
File,"CustomAsyncConfigurerAutoConfiguration.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,61,6,35,27,5,20,,,,18,22,18,4,,,,,,2,2,2,1,,,1,,,,0,57,3,3,3,2
File,"CustomAsyncConfigurerAutoConfigurationTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,42,5,21,16,7,16,,,,12,15,13,2,,,,,,1,1,1,1,,,0,,,,0,76,2,2,2,2
File,"DefaultAsyncAutoConfiguration.java",1,1,1,1,3,0,3,0,,,,,2,0,0,4,,4,4,2,4,,0,0,0,4,,77,10,50,40,4,17,,,,23,29,25,4,,,,,,1,1,1,1,,,0,,,,0,34,4,4,4,4
File,"ExecutorBeanPostProcessor.java",1,1,1,1,7,0,7,0,,,,,3,0,0,8,,8,8,3,8,,4,1,0,3,,119,14,85,44,41,20,,,,50,64,41,23,,,,,,3,3,5,3,,,2,,,,0,24,12,12,14,12
File,"ExtensionTags.java",1,1,1,1,2,0,2,0,,,,,1,0,2,1,,1,1,0,1,,0,1,0,0,,35,5,8,6,2,22,,,,4,6,6,0,,,,,,1,1,1,1,,,0,,,,2,75,1,1,1,1
File,"FeignContextBeanPostProcessor.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,3,3,,1,0,0,2,,52,6,30,18,7,16,,,,17,22,15,7,,,,,,2,2,3,1,,,1,,,,0,53,4,4,5,3
File,"FeignDefinedUrlTest.java",1,1,1,1,4,0,4,0,,,,,3,0,0,1,,2,2,2,2,,1,0,0,1,,71,10,44,38,2,17,,,,21,25,23,2,,,,,,1,1,1,1,,,0,,,,0,39,1,1,1,1
File,"FeignHystrixTest.java",1,1,1,1,5,0,5,0,,,,,1,1,0,3,,3,1,0,2,,0,0,0,2,,55,5,31,20,9,19,,,,18,22,15,7,,,,,,1,1,1,1,,,1,,,,0,61,3,3,3,3
File,"FeignManualTest.java",1,1,1,1,4,0,4,0,,,,,3,0,1,2,,3,3,1,3,,1,0,0,2,,76,10,48,39,4,19,,,,24,29,26,3,,,,,,1,1,1,1,,,0,,,,0,40,2,2,2,2
File,"FeignManualWithSpanDecoratorsTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,45,4,24,20,2,17,,,,11,13,11,2,,,,,,1,1,1,1,,,0,,,,0,71,1,1,1,1
File,"FeignOkhttpClientTest.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,26,3,7,6,0,16,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,2,29,0,0,0,0
File,"FeignSpanDecoratorConfiguration.java",1,1,1,1,2,0,2,0,,,,,3,0,4,8,,8,8,0,8,,0,0,0,8,,78,15,47,32,8,16,,,,16,27,23,4,,,,,,1,1,1,1,,,0,,,,0,34,8,8,8,8
File,"FeignTest.java",1,1,1,1,3,0,3,0,,,,,4,1,0,5,,6,4,3,5,,2,0,0,3,,107,15,75,59,10,17,,,,41,49,41,8,,,,,,1,1,1,1,,,0,,,,0,23,5,5,5,5
File,"FeignTest.java",1,1,1,1,3,0,3,0,,,,,2,0,0,2,,2,2,1,2,,0,0,0,2,,58,7,35,29,2,16,,,,17,21,19,2,,,,,,1,1,1,1,,,0,,,,0,46,2,2,2,2
File,"FeignTracingAutoConfiguration.java",1,1,1,1,5,0,5,0,,,,,3,0,0,4,,4,4,2,4,,1,0,0,3,,99,10,69,52,11,20,,,,32,40,34,6,,,,,,2,2,2,1,,,1,,,,0,29,5,5,5,4
File,"FeignTracingAutoConfigurationTest.java",1,1,1,1,5,0,5,0,,,,,3,0,0,4,,4,4,0,4,,0,0,0,4,,72,9,46,29,14,17,,,,25,32,23,9,,,,,,1,1,1,1,,,0,,,,0,37,4,4,4,4
File,"FeignWithSpanDecoratorsTest.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,43,5,21,17,2,17,,,,9,11,9,2,,,,,,1,1,1,1,,,0,,,,0,81,1,1,1,1
File,"Greeting.java",1,1,1,1,2,0,2,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,31,6,12,6,2,13,,,,4,8,6,2,,,,,,1,1,1,1,,,0,,,,1,08,3,3,3,3
File,"GreetingController.java",1,1,1,1,4,0,4,0,,,,,1,0,1,1,,1,1,1,1,,0,0,0,1,,37,6,18,14,3,13,,,,10,12,10,2,,,,,,1,1,1,1,,,0,,,,0,72,1,1,1,1
File,"HelloMessage.java",1,1,1,1,2,0,2,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,34,6,15,7,3,13,,,,5,10,7,3,,,,,,1,1,1,1,,,0,,,,0,87,4,4,4,4
File,"HystrixTracingAutoConfiguration.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,1,0,0,0,,43,3,22,19,1,18,,,,12,14,13,1,,,,,,1,1,1,1,,,0,,,,0,82,1,1,1,1
File,"IntegrationTest.java",1,1,1,1,5,0,5,0,,,,,2,2,1,9,,9,5,2,7,,0,0,0,7,,125,21,87,54,28,17,,,,53,63,41,22,,,,,,1,1,1,1,,,1,,,,0,20,9,9,9,9
File,"JdbcAspect.java",1,1,2,1,11,0,7,4,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,63,6,30,20,9,27,,,,19,23,18,5,,,,,,2,2,3,1,,,1,,,,0,90,3,3,4,2
File,"JdbcAutoConfiguration.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,39,3,18,14,2,18,,,,8,10,9,1,,,,,,1,1,1,1,,,0,,,,1,00,1,1,1,1
File,"JdbcIgnoredStatements.java",1,1,1,1,6,0,4,2,,,,,1,0,0,3,,3,3,3,3,,0,0,0,3,,78,10,45,36,7,23,,,,26,30,25,5,,,,,,1,1,1,1,,,0,,,,0,51,3,3,3,3
File,"JdbcOnlyWithActiveTest.java",1,1,1,1,8,0,6,1,,,,,1,0,0,4,,4,3,3,3,,0,0,0,3,,96,13,60,42,17,23,,,,34,39,30,9,,,,,,1,1,1,1,,,1,,,,0,38,4,4,4,4
File,"JdbcTracingProperties.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,48,8,21,12,6,19,,,,10,15,11,4,,,,,,1,1,1,1,,,0,,,,0,90,4,4,4,4
File,"JdbcTracingTest.java",1,1,1,1,9,0,7,1,,,,,1,0,0,14,,14,6,3,6,,0,0,0,6,,161,18,108,57,53,35,,,,57,66,42,24,,,,,,1,1,1,1,,,1,,,,0,32,14,14,14,14
File,"JmsArtemisManualServerTest.java",1,1,1,1,5,0,5,0,,,,,4,0,2,10,,10,9,5,9,,0,0,0,9,,151,28,106,70,30,18,,,,63,77,56,21,,,,,,2,2,2,1,,,1,,,,0,17,11,11,11,10
File,"JmsArtemisStarterTest.java",1,1,1,1,5,0,4,0,,,,,3,0,1,7,,7,6,4,6,,0,0,0,6,,118,17,82,60,18,19,,,,46,55,43,12,,,,,,1,1,1,1,,,0,,,,0,23,7,7,7,7
File,"JmsAutoConfiguration.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,41,3,21,20,0,17,,,,13,14,14,0,,,,,,0,0,0,0,,,0,,,,0,81,0,0,0,0
File,"JmsTest.java",1,1,1,1,4,0,4,0,,,,,2,0,0,3,,3,3,1,3,,0,0,0,3,,73,8,47,38,5,18,,,,25,30,26,4,,,,,,1,1,1,1,,,0,,,,0,38,3,3,3,3
File,"JmsTracingAutoConfigurationTest.java",1,1,1,1,6,0,6,0,,,,,2,0,0,3,,3,3,0,3,,0,0,0,3,,61,7,38,25,12,16,,,,24,29,21,8,,,,,,1,1,1,1,,,0,,,,0,42,3,3,3,3
File,"LoggingAutoConfiguration.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,1,2,,0,1,0,1,,54,5,33,27,6,16,,,,20,23,20,3,,,,,,1,1,1,1,,,0,,,,0,48,2,2,2,2
File,"LoggingAutoConfigurationTest.java",1,1,1,1,4,0,4,0,,,,,3,0,6,26,,26,25,7,25,,0,2,0,23,,234,30,184,100,69,20,,,,98,130,78,52,,,,,,5,5,8,1,,,1,,,,0,11,30,30,33,26
File,"MockTracingConfiguration.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,34,3,15,11,2,16,,,,8,10,8,2,,,,,,1,1,1,1,,,0,,,,1,07,1,1,1,1
File,"MockTracingConfiguration.java",1,1,1,1,3,0,3,0,,,,,1,1,0,4,,4,3,0,4,,0,0,0,4,,52,6,30,20,5,17,,,,15,20,15,5,,,,,,1,1,1,1,,,0,,,,0,57,4,4,4,4
