Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",3,3,4,1,23,0,21,1,,,,,2,2,5,,1,,1,0,3,,0,1,1,1,,117,10,76,26,54,32,,,,42,54,24,30,,,,,,8,8,8,1,,,3,,,,0,42,11,11,12,3
File,"AccessControlFilter.java",2,2,2,1,10,0,8,1,,,,,1,0,0,6,,6,6,3,6,,0,1,0,5,,100,17,71,33,34,12,,,,37,52,30,22,,,,,,4,4,4,4,,,3,,,,0,17,12,12,13,11
File,"AccountResource.java",3,3,3,3,20,0,14,6,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,72,7,50,27,23,15,,,,30,37,22,15,,,,,,5,5,5,5,,,2,,,,0,30,6,6,6,6
File,"AccountResourceTest.java",1,1,1,1,7,0,6,0,,,,,1,0,0,7,,7,6,1,6,,0,0,0,6,,90,16,74,39,31,0,,,,38,45,32,13,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"ApplicationProperties.java",1,1,1,1,3,0,3,0,,,,,2,0,0,5,,5,5,3,5,,0,0,0,5,,43,11,25,13,6,7,,,,10,17,12,5,,,,,,1,1,1,1,,,0,,,,0,28,5,5,5,5
File,"AsyncConfiguration.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,2,3,,0,0,0,3,,46,9,37,25,10,0,,,,23,27,19,8,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"AudienceValidator.java",2,2,2,1,10,0,10,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,21,3,18,8,8,0,,,,11,14,8,6,,,,,,2,2,2,1,,,1,,,,0,00,2,2,2,1
File,"AuthoritiesConstants.java",1,1,1,1,2,0,2,0,,,,,1,0,3,1,,1,1,0,1,,0,1,0,0,,16,5,8,6,3,3,,,,4,6,6,0,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"AuthorizationHeaderUtil.java",1,1,1,1,10,1,9,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,43,9,34,24,13,0,,,,21,25,21,4,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"AuthorizedFeignClient.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,6,6,0,6,,6,0,0,0,,51,9,19,18,0,23,,,,11,12,12,0,,,,,,0,0,0,0,,,0,,,,1,21,0,0,0,0
File,"CloudConfigRefreshService.java",1,1,1,1,12,0,9,2,,,,,3,0,0,13,,13,9,4,9,,0,2,0,7,,182,16,127,50,65,39,,,,70,89,48,41,,,,,,6,6,6,4,,,3,,,,0,31,22,22,25,16
File,"ConfigServerConfig.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,17,5,12,9,2,0,,,,7,9,8,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
