Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",3,3,4,1,23,0,21,1,,,,,2,2,5,,1,,1,0,3,,0,1,1,1,,117,10,76,26,54,32,,,,42,54,24,30,,,,,,8,8,8,1,,,3,,,,0,42,11,11,12,3
File,"ActiveProfilesInfoContributor.java",1,1,1,1,6,0,3,3,,,,,1,0,1,2,,2,2,1,2,,0,0,0,2,,51,7,17,12,3,27,,,,10,13,11,2,,,,,,1,1,1,1,,,0,,,,1,59,2,2,2,2
File,"AjaxAuthenticationFailureHandler.java",1,1,1,1,5,0,4,1,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,44,6,15,12,2,23,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,1,53,1,1,1,1
File,"AjaxAuthenticationFailureHandlerTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,5,,5,3,2,3,,0,0,0,3,,65,9,38,26,13,18,,,,25,29,21,8,,,,,,1,1,1,1,,,0,,,,0,47,5,5,5,5
File,"AjaxAuthenticationSuccessHandler.java",1,1,1,1,7,1,5,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,43,6,15,12,1,22,,,,8,10,9,1,,,,,,1,1,1,1,,,0,,,,1,47,1,1,1,1
File,"AjaxAuthenticationSuccessHandlerTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,2,4,2,,0,0,0,2,,60,10,32,24,7,18,,,,21,24,19,5,,,,,,1,1,1,1,,,0,,,,0,56,3,3,3,3
File,"AjaxLogoutSuccessHandler.java",1,1,1,1,6,0,5,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,44,5,17,14,1,22,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,1,29,1,1,1,1
File,"AjaxLogoutSuccessHandlerTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,2,2,2,,0,0,0,2,,51,8,25,17,7,18,,,,16,19,14,5,,,,,,1,1,1,1,,,0,,,,0,72,3,3,3,3
File,"AngularCookieLocaleResolver.java",2,2,2,1,9,0,8,0,,,,,2,0,1,7,,7,7,0,7,,1,1,0,5,,116,14,70,28,37,32,,,,35,48,27,21,,,,,,10,10,10,1,,,3,,,,0,46,16,16,16,7
File,"AngularCookieLocaleResolverTest.java",1,1,1,1,15,3,12,0,,,,,1,0,4,13,,13,13,5,13,,0,0,0,13,,290,63,209,114,139,18,,,,165,179,100,79,,,,,,1,1,1,1,,,0,,,,0,09,13,13,13,13
File,"AsyncSpringLiquibase.java",2,2,2,1,14,0,11,3,,,,,1,0,7,4,,4,3,3,3,,0,0,1,2,,126,13,64,30,35,50,,,,38,47,27,20,,,,,,4,4,4,1,,,4,,,,0,78,9,9,9,4
File,"AsyncSpringLiquibaseTest.java",1,1,1,1,8,0,8,0,,,,,2,0,0,27,,27,14,5,14,,1,0,3,10,,290,42,228,81,143,20,,,,155,181,68,113,,,,,,3,3,3,1,,,2,,,,0,09,30,30,30,27
File,"BaseEntity.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,35,4,13,12,0,18,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,1,38,0,0,0,0
File,"BaseEntityQueryService.java",2,2,2,1,6,0,6,0,,,,,2,0,0,3,,3,3,2,3,,0,0,0,3,,54,7,29,13,9,18,,,,13,21,13,8,,,,,,4,4,4,1,,,2,,,,0,62,6,6,6,3
File,"BigDecimalFilter.java",1,1,1,1,7,0,2,4,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,56,7,13,7,3,36,,,,5,9,7,2,,,,,,1,1,1,1,,,0,,,,2,77,3,3,3,3
File,"BigDecimalFilterTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,10,,10,10,2,10,,0,0,0,10,,118,17,83,39,43,18,,,,49,60,29,31,,,,,,1,1,1,1,,,0,,,,0,22,10,10,10,10
File,"BooleanFilter.java",1,1,1,1,7,0,2,4,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,59,6,12,6,3,41,,,,4,8,6,2,,,,,,1,1,1,1,,,0,,,,3,42,3,3,3,3
File,"BooleanFilterTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,6,,6,6,2,6,,0,0,0,6,,78,13,47,25,20,18,,,,27,34,19,15,,,,,,1,1,1,1,,,0,,,,0,38,6,6,6,6
File,"CachingHttpHeadersFilter.java",1,1,1,1,7,1,4,2,,,,,1,0,2,4,,4,4,2,4,,0,0,0,4,,79,15,31,20,10,34,,,,17,22,16,6,,,,,,1,1,1,1,,,0,,,,1,10,4,4,4,4
File,"CachingHttpHeadersFilter.java",1,1,1,1,7,0,5,1,,,,,1,0,0,4,,4,2,1,2,,0,0,0,2,,62,8,27,14,11,28,,,,15,18,13,5,,,,,,1,1,1,1,,,0,,,,1,04,4,4,4,4
File,"CachingHttpHeadersFilterTest.java",1,1,1,1,10,1,9,0,,,,,1,0,0,6,,6,4,5,4,,0,0,0,4,,110,18,74,43,38,18,,,,58,63,37,26,,,,,,1,1,1,1,,,0,,,,0,24,6,6,6,6
File,"CachingHttpHeadersFilterTest.java",1,1,1,1,14,0,14,0,,,,,1,0,0,4,,4,2,2,2,,0,0,0,2,,77,9,50,27,29,18,,,,31,35,21,14,,,,,,2,2,2,1,,,1,,,,0,36,6,6,6,4
File,"ChildEntity.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,1,0,,0,0,0,0,,31,4,9,8,0,18,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,2,00,0,0,0,0
File,"ChildEntityQueryService.java",1,1,1,1,5,0,5,0,,,,,2,0,0,2,,2,2,1,2,,0,0,0,2,,47,7,19,10,5,21,,,,9,14,10,4,,,,,,2,2,2,1,,,1,,,,1,11,3,3,3,2
File,"CookieCsrfFilter.java",1,1,1,1,9,0,8,0,,,,,1,0,1,4,,4,2,0,2,,0,1,0,1,,50,10,36,19,17,4,,,,19,24,17,7,,,,,,3,3,3,3,,,1,,,,0,11,7,7,7,6
File,"CookieCsrfFilterTest.java",1,1,1,1,14,0,14,0,,,,,1,0,2,6,,6,3,1,3,,0,0,0,3,,102,10,74,36,45,19,,,,44,50,27,23,,,,,,2,2,2,1,,,1,,,,0,26,9,9,9,6
File,"Criteria.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,31,1,4,3,0,26,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,6,50,0,0,0,0
File,"DoubleFilter.java",1,1,1,1,7,0,2,4,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,54,6,12,6,3,36,,,,4,8,6,2,,,,,,1,1,1,1,,,0,,,,3,00,3,3,3,3
File,"DoubleFilterTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,10,,10,10,2,10,,0,0,0,10,,117,17,82,38,43,18,,,,48,59,28,31,,,,,,1,1,1,1,,,0,,,,0,22,10,10,10,10
File,"DurationFilter.java",1,1,1,1,7,0,2,4,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,56,7,13,7,3,36,,,,5,9,7,2,,,,,,1,1,1,1,,,0,,,,2,77,3,3,3,3
File,"DurationFilterTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,10,,10,10,2,10,,0,0,0,10,,118,17,83,39,43,18,,,,49,60,29,31,,,,,,1,1,1,1,,,0,,,,0,22,10,10,10,10
File,"ExceptionHandlingAsyncTaskExecutor.java",1,1,1,1,6,0,5,1,,,,,1,0,1,12,,12,10,2,10,,0,2,1,7,,123,17,69,31,27,37,,,,28,43,24,19,,,,,,2,2,2,1,,,1,,,,0,54,16,16,16,12
File,"ExceptionHandlingAsyncTaskExecutorTest.java",1,1,1,1,7,0,6,0,,,,,9,0,2,28,,28,20,5,20,,1,0,1,18,,297,41,236,109,126,20,,,,133,169,82,87,,,,,,3,3,3,1,,,1,,,,0,08,32,32,32,28
File,"Filter.java",1,1,1,1,8,0,4,4,,,,,1,0,1,13,,13,13,3,13,,0,0,1,12,,169,17,70,27,29,82,,,,29,45,24,21,,,,,,4,4,6,3,,,1,,,,1,17,19,19,22,15
File,"FilterTest.java",1,1,1,1,7,0,7,0,,,,,2,0,0,10,,10,10,2,10,,0,0,0,10,,130,18,94,38,55,18,,,,61,72,29,43,,,,,,1,1,1,1,,,0,,,,0,19,10,10,10,10
File,"FixedH2Dialect.java",1,1,1,1,7,0,4,3,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,38,5,9,5,2,24,,,,5,7,5,2,,,,,,1,1,1,1,,,0,,,,2,67,1,1,1,1
File,"FixedH2DialectTest.java",1,1,1,1,13,3,10,0,,,,,2,0,0,2,,2,2,0,2,,0,0,1,1,,61,13,30,16,13,18,,,,21,24,16,8,,,,,,1,1,1,1,,,0,,,,0,60,2,2,2,2
File,"FixedPostgreSQL82Dialect.java",1,1,1,1,7,0,5,2,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,49,6,18,9,5,25,,,,9,13,8,5,,,,,,2,2,2,1,,,1,,,,1,39,3,3,3,2
File,"FixedPostgreSQL82DialectTest.java",1,1,1,1,5,0,5,0,,,,,2,0,0,6,,6,6,3,6,,0,0,1,5,,87,16,53,32,18,18,,,,32,39,28,11,,,,,,1,1,1,1,,,0,,,,0,34,6,6,6,6
File,"FixedPostgreSQL95Dialect.java",1,1,1,1,7,0,5,2,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,49,6,18,9,5,25,,,,9,13,8,5,,,,,,2,2,2,1,,,1,,,,1,39,3,3,3,2
File,"FixedPostgreSQL95DialectTest.java",1,1,1,1,5,0,5,0,,,,,2,0,0,6,,6,6,3,6,,0,0,1,5,,87,16,53,32,18,18,,,,32,39,28,11,,,,,,1,1,1,1,,,0,,,,0,34,6,6,6,6
File,"FloatFilter.java",1,1,1,1,7,0,2,4,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,54,6,12,6,3,36,,,,4,8,6,2,,,,,,1,1,1,1,,,0,,,,3,00,3,3,3,3
File,"FloatFilterTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,10,,10,10,2,10,,0,0,0,10,,117,17,82,38,43,18,,,,48,59,28,31,,,,,,1,1,1,1,,,0,,,,0,22,10,10,10,10
File,"H2ConfigurationHelper.java",3,3,3,2,21,2,12,7,,,,,1,3,0,3,,3,0,0,3,,0,0,0,3,,104,13,47,19,29,45,,,,27,34,19,15,,,,,,6,6,6,5,,,2,,,,0,96,10,10,10,7
File,"HeaderUtil.java",1,1,1,1,13,0,5,7,,,,,1,5,1,6,,6,1,0,6,,0,1,0,5,,97,11,38,21,20,48,,,,21,28,18,10,,,,,,2,2,2,1,,,0,,,,1,26,10,10,10,6
File,"HeaderUtilTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,9,,9,9,0,9,,0,0,0,9,,75,13,62,34,29,0,,,,33,43,25,18,,,,,,1,1,1,1,,,0,,,,0,00,9,9,9,9
File,"InstantFilter.java",1,1,1,1,5,0,3,2,,,,,1,0,1,10,,10,10,0,10,,0,0,0,10,,118,16,59,32,17,43,,,,21,32,16,16,,,,,,1,1,1,1,,,0,,,,0,73,10,10,10,10
File,"InstantFilterTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,10,,10,10,2,10,,0,0,0,10,,118,17,83,39,43,18,,,,49,60,29,31,,,,,,1,1,1,1,,,0,,,,0,22,10,10,10,10
File,"IntegerFilter.java",1,1,1,1,7,0,2,4,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,55,7,12,6,3,36,,,,4,8,6,2,,,,,,1,1,1,1,,,0,,,,3,00,3,3,3,3
File,"IntegerFilterTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,10,,10,10,2,10,,0,0,0,10,,117,17,82,38,43,18,,,,48,59,28,31,,,,,,1,1,1,1,,,0,,,,0,22,10,10,10,10
File,"JHipsterConstants.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,9,0,,0,0,0,0,,52,3,12,11,9,37,,,,10,11,11,0,,,,,,0,0,0,0,,,0,,,,3,08,0,0,0,0
File,"JHipsterDefaults.java",0,0,0,0,0,0,0,0,,,,,32,0,0,0,,0,0,67,0,,0,0,0,0,,218,62,135,103,66,30,,,,71,103,103,0,,,,,,0,0,0,0,,,0,,,,0,22,0,0,0,0
File,"JHipsterInfoContributorConfiguration.java",1,1,1,1,10,0,4,6,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,51,4,20,17,1,27,,,,10,12,11,1,,,,,,1,1,1,1,,,0,,,,1,35,1,1,1,1
File,"JHipsterLoggingMetricsExportConfiguration.java",1,1,1,1,9,0,6,3,,,,,3,0,0,7,,7,7,2,7,,0,0,1,6,,102,10,62,34,25,30,,,,31,39,30,9,,,,,,1,1,1,1,,,0,,,,0,48,7,7,7,7
File,"JHipsterMetricsEndpoint.java",1,1,1,1,7,1,5,0,,,,,1,0,1,53,,53,9,2,9,,0,7,0,2,,279,63,192,81,152,24,,,,145,163,81,82,,,,,,3,3,3,1,,,2,,,,0,12,62,62,67,53
File,"JHipsterMetricsEndpointConfiguration.java",1,1,1,1,9,0,3,6,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,35,3,23,20,1,9,,,,12,14,13,1,,,,,,1,1,1,1,,,0,,,,0,39,1,1,1,1
File,"JHipsterProperties.java",1,1,1,1,3,0,3,0,,,,,29,0,0,155,,155,155,92,155,,0,0,0,155,,1007,282,632,293,250,93,,,,255,439,284,155,,,,,,1,1,1,1,,,0,,,,0,15,155,155,155,155
File,"JHipsterPropertiesTest.java",1,1,1,1,8,0,8,0,,,,,1,0,0,66,,66,66,1,66,,0,1,0,65,,708,75,614,274,398,20,,,,400,475,208,267,,,,,,5,5,6,1,,,3,,,,0,03,72,72,73,66
File,"JHipsterSwaggerCustomizer.java",1,1,1,1,12,0,9,3,,,,,1,0,1,4,,4,4,2,4,,0,0,0,4,,107,14,57,27,31,36,,,,22,27,23,4,,,,,,1,1,1,1,,,0,,,,0,63,4,4,4,4
File,"JSR310DateConverters.java",1,1,1,1,2,0,2,0,,,,,9,0,8,17,,17,17,0,17,,0,9,0,8,,139,37,81,46,17,21,,,,20,46,38,8,,,,,,2,2,2,1,,,0,,,,0,26,25,25,25,17
File,"LoadBalancedResourceDetails.java",1,1,2,1,10,0,6,4,,,,,1,0,1,4,,4,4,3,4,,0,0,0,4,,91,13,40,19,16,38,,,,19,26,17,9,,,,,,3,3,5,3,,,2,,,,0,95,6,6,8,6
File,"LoadBalancedResourceDetailsTest.java",1,1,1,1,9,1,8,0,,,,,2,0,2,11,,11,10,2,10,,0,0,0,10,,163,27,118,58,69,19,,,,85,96,50,46,,,,,,1,1,1,1,,,0,,,,0,16,11,11,11,11
File,"LocalDateFilter.java",1,1,1,1,5,0,3,1,,,,,1,0,1,11,,11,11,0,11,,0,0,0,11,,127,17,66,36,19,44,,,,24,36,18,18,,,,,,1,1,1,1,,,0,,,,0,67,11,11,11,11
File,"LocalDateFilterTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,10,,10,10,2,10,,0,0,0,10,,118,17,83,39,43,18,,,,49,60,29,31,,,,,,1,1,1,1,,,0,,,,0,22,10,10,10,10
File,"LogbackRecorder.java",1,1,1,1,10,0,6,4,,,,,3,3,8,15,,15,12,11,15,,1,1,1,12,,256,25,125,52,59,106,,,,74,98,52,46,,,,,,3,3,3,1,,,1,,,,0,85,20,20,20,15
File,"LogbackRecorderTest.java",1,1,1,1,11,2,9,0,,,,,1,0,2,22,,22,19,4,19,,0,2,0,17,,336,77,241,81,164,18,,,,183,211,71,140,,,,,,2,2,2,1,,,1,,,,0,07,30,30,30,22
File,"LoggingUtils.java",1,1,1,1,9,0,7,1,,,,,2,12,4,21,,21,7,2,19,,0,10,0,9,,246,31,176,69,99,39,,,,114,140,63,77,,,,,,3,3,4,1,,,1,,,,0,22,26,26,28,21
File,"LongFilter.java",1,1,1,1,7,0,2,4,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,55,7,12,6,3,36,,,,4,8,6,2,,,,,,1,1,1,1,,,0,,,,3,00,3,3,3,3
File,"LongFilterTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,10,,10,10,2,10,,0,0,0,10,,117,17,82,38,43,18,,,,48,59,28,31,,,,,,1,1,1,1,,,0,,,,0,22,10,10,10,10
Public Class,"MavenWrapperDownloader",5,5,5,1,33,1,31,1,1,0,0,0,,2,5,,,,0,0,2,2,0,1,0,1,,97,9,72,22,54,17,,,,38,50,20,30,,,,,,8,8,8,1,,1,3,,0,0,0,24,10,10,11,2
Private Static Method,"MavenWrapperDownloader.downloadFileFromURL",,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,0,19,6,14,0,8,2,0,11,14,7,7,2,2,3,1,0,,,,,0,,0,0,,,0,00,2,2,3,1
Anonymous Class,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1)",1,1,1,1,3,0,3,0,1,1,1,0,,0,0,,,,1,0,1,1,0,0,1,0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Protected Method,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1).getPasswordAuthentication",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,0,2,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
