Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AboutActivity.java",1,1,1,1,7,0,7,0,,,,,2,0,1,8,,8,8,4,8,,0,2,1,5,,111,16,92,48,36,3,,,,52,65,39,26,,,,,,3,3,3,1,,,2,,,,0,03,12,12,12,8
File,"App.java",1,1,1,1,3,0,3,0,,,,,1,0,0,18,,18,18,8,18,,0,0,0,18,,100,21,76,31,26,3,,,,28,47,30,17,,,,,,1,1,1,1,,,0,,,,0,04,18,18,18,18
File,"AppPersistent.java",1,1,1,1,5,0,5,0,,,,,1,6,4,20,,20,14,6,20,,0,0,0,20,,158,25,129,50,70,4,,,,62,88,49,39,,,,,,2,2,2,1,,,1,,,,0,03,25,25,25,20
File,"AppRecyclerAdapter.java",1,1,1,1,10,0,10,0,,,,,5,0,1,15,,15,15,9,15,,0,1,0,14,,210,26,184,75,95,0,,,,98,125,66,59,,,,,,5,4,5,3,,,2,,,,0,00,26,25,26,17
File,"AppSorter.java",1,1,1,1,8,0,8,0,,,,,6,9,0,17,,15,8,9,17,,1,8,0,8,,146,17,126,35,74,3,,,,55,78,29,49,,,,,,9,3,9,3,,,1,,,,0,02,31,24,31,23
File,"AppUtil.java",5,5,6,1,30,0,28,1,,,,,1,3,1,3,,3,0,0,3,,0,1,0,2,,129,10,109,43,65,10,,,,69,87,42,45,,,,,,8,8,8,1,,,3,,,,0,09,16,16,19,3
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"AppsFragment.java",1,1,1,1,6,0,6,0,,,,,1,1,1,8,,8,7,5,8,,0,2,0,6,,110,16,90,49,31,4,,,,55,69,42,27,,,,,,3,3,4,1,,,1,,,,0,04,13,13,15,8
File,"AppsSingleton.java",1,1,1,1,4,0,4,0,,,,,1,1,1,6,,6,5,2,6,,0,1,0,5,,52,11,38,16,15,3,,,,19,29,16,13,,,,,,2,2,2,1,,,1,,,,0,08,9,9,9,6
File,"BackgroundChangedObservable.java",1,1,1,1,3,0,3,0,,,,,1,1,1,4,,4,3,0,4,,0,1,0,3,,25,6,19,8,6,0,,,,7,13,8,5,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"BaseActivity.java",1,1,1,1,6,0,6,0,,,,,1,0,0,4,,4,4,1,4,,0,1,2,1,,55,8,44,23,16,3,,,,23,31,20,11,,,,,,2,2,2,1,,,1,,,,0,07,7,7,7,4
File,"BitmapUtil.java",2,2,3,1,14,0,14,0,,,,,1,5,0,5,,5,0,0,5,,0,0,0,5,,102,10,83,28,52,10,,,,48,63,28,35,,,,,,4,4,5,3,,,3,,,,0,12,14,14,15,7
File,"BroadcastReceivers.java",1,1,1,1,3,0,3,0,,,,,7,0,0,6,,6,6,0,6,,0,0,0,6,,53,8,42,23,6,3,,,,10,23,17,6,,,,,,1,1,1,1,,,0,,,,0,07,6,6,6,6
File,"ColorUtil.java",2,2,2,1,8,0,8,0,,,,,1,4,0,4,,4,0,0,4,,0,0,0,4,,50,7,40,14,19,3,,,,21,30,15,15,,,,,,5,5,5,3,,,3,,,,0,07,8,8,8,6
File,"EditedObservable.java",1,1,1,1,3,0,3,0,,,,,1,1,1,4,,4,3,0,4,,0,1,0,3,,28,6,19,8,6,3,,,,7,13,8,5,,,,,,1,1,1,1,,,0,,,,0,16,4,4,4,4
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"FakeLauncherActivity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,14,3,11,7,2,0,,,,6,8,6,2,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"Grid.java",1,1,1,1,3,0,3,0,,,,,1,0,0,14,,14,14,6,14,,0,0,0,14,,76,16,57,23,20,3,,,,20,35,22,13,,,,,,1,1,1,1,,,0,,,,0,05,14,14,14,14
File,"HomeActivity.java",1,1,2,1,8,0,7,0,,,,,1,0,1,9,,9,9,5,9,,0,4,3,2,,136,17,111,49,49,8,,,,67,84,42,42,,,,,,4,4,5,1,,,2,,,,0,07,16,16,18,9
File,"IconPackManager.java",7,7,8,2,36,1,31,3,,,,,2,0,1,7,,7,7,12,7,,0,3,0,4,,323,31,268,94,182,24,,,,153,208,97,111,,,,,,25,25,28,6,,,8,,,,0,09,53,53,57,19
File,"LauncherUtil.java",2,2,2,2,11,0,11,0,,,,,1,3,0,3,,3,0,0,3,,0,0,0,3,,50,5,42,18,25,3,,,,27,35,18,17,,,,,,4,4,4,4,,,2,,,,0,07,7,7,7,6
File,"LensCalculator.java",1,1,2,1,10,0,10,0,,,,,1,11,0,11,,11,0,0,11,,0,0,0,11,,153,14,124,48,82,15,,,,68,89,47,42,,,,,,3,3,5,1,,,1,,,,0,12,20,20,27,11
File,"LensFragment.java",1,1,1,1,8,0,7,0,,,,,5,1,1,20,,20,19,10,20,,0,3,0,17,,189,30,155,62,86,4,,,,82,104,61,43,,,,,,2,2,3,1,,,1,,,,0,03,21,21,22,20
File,"LensLauncherApplication.java",1,1,1,1,6,0,6,0,,,,,1,0,0,4,,4,4,0,4,,0,2,0,2,,49,8,38,15,17,3,,,,16,23,13,10,,,,,,3,3,3,1,,,1,,,,0,08,6,6,6,4
File,"LensView.java",2,2,3,1,13,0,13,0,,,,,4,0,1,28,,26,28,26,28,,0,12,3,13,,475,62,406,103,255,7,,,,213,285,101,184,,,,,,16,16,23,6,,,5,,,,0,02,74,72,87,33
File,"LoadedObservable.java",1,1,1,1,3,0,3,0,,,,,1,1,1,4,,4,3,0,4,,0,1,0,3,,28,6,19,8,6,3,,,,7,13,8,5,,,,,,1,1,1,1,,,0,,,,0,16,4,4,4,4
File,"NightModeObservable.java",1,1,1,1,3,0,3,0,,,,,1,1,1,4,,4,3,0,4,,0,1,0,3,,29,7,19,8,6,3,,,,7,13,8,5,,,,,,1,1,1,1,,,0,,,,0,16,4,4,4,4
File,"NightModeUtil.java",4,2,4,1,12,0,12,0,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,36,5,28,5,18,3,,,,10,15,5,10,,,,,,4,2,4,1,,,1,,,,0,11,8,4,8,2
File,"Settings.java",2,2,2,1,7,0,7,0,,,,,1,0,43,16,,16,16,2,16,,0,1,0,15,,209,26,179,68,126,5,,,,96,140,68,72,,,,,,10,10,10,6,,,2,,,,0,03,45,43,45,31
File,"SettingsActivity.java",1,1,2,1,9,0,9,0,,,,,10,0,4,41,,46,46,16,46,,5,9,2,30,,494,53,437,152,245,4,,,,211,286,144,142,,,,,,11,7,11,1,,,3,,,,0,01,78,70,83,41
