Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"CheckNetwork.java",2,2,3,1,8,0,8,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,21,3,15,9,6,3,,,,9,12,9,3,,,,,,2,2,3,1,,,1,,,,0,20,2,2,3,1
File,"Constants.java",0,0,0,0,0,0,0,0,,,,,1,0,2,0,,0,0,0,0,,0,0,0,0,,10,2,5,4,2,3,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"ForgotPassActivity.java",2,2,2,1,12,1,9,2,,,,,2,0,0,8,,8,8,6,8,,1,0,3,4,,154,23,109,45,55,23,,,,64,81,39,42,,,,,,4,4,4,1,,,1,,,,0,21,17,16,18,8
File,"LoginActivity.java",2,2,2,1,14,1,11,1,,,,,10,0,3,31,,31,31,20,31,,1,8,5,17,,573,83,410,146,238,80,,,,217,277,131,146,,,,,,8,8,8,4,,,3,,,,0,20,67,64,71,36
File,"MainActivity.java",2,2,2,1,12,2,9,1,,,,,2,0,0,6,,6,6,0,6,,0,0,1,5,,101,19,75,36,39,7,,,,38,53,29,24,,,,,,7,7,7,1,,,1,,,,0,09,14,14,14,6
File,"RegisterActivity.java",2,2,2,1,15,1,11,1,,,,,2,0,0,8,,8,8,9,8,,1,0,3,4,,171,22,127,47,73,22,,,,79,99,41,58,,,,,,7,7,7,1,,,1,,,,0,17,20,19,21,8
File,"ValidateUserInfo.java",1,1,1,1,5,0,4,1,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,19,2,12,7,5,5,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,0,42,2,2,2,2
Package,"bscorp",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"bscorp.appbase",2,2,2,1,13,1,10,1,,,,,18,0,3,,6,,55,35,55,,3,8,12,32,,1027,152,738,285,407,138,,,,406,522,250,272,,,,,,8,8,8,4,,,3,,,,0,19,120,115,126,60
Public Class,"bscorp.appbase.ApplicationTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,4,2,1,3,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,0,75,1,1,1,1
Public Constructor,"bscorp.appbase.ApplicationTest.ApplicationTest",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"bscorp.appbase.ExampleUnitTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,8,0,5,3,1,3,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0,0,60,1,1,1,1
Public Method,"bscorp.appbase.ExampleUnitTest.addition_isCorrect",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Class,"bscorp.appbase.ForgotPassActivity",2,2,2,1,18,2,13,3,2,4,4,0,,0,0,,,,4,5,4,4,0,0,0,4,,135,20,93,29,55,23,,,,48,65,23,42,,,,,,4,4,4,1,,2,1,,75,65,0,25,11,10,11,4
Public Class,"bscorp.appbase.ForgotPassActivity.ForgotPassTask",1,1,1,1,7,0,5,1,1,2,2,0,,0,0,,,,4,1,4,4,1,0,3,0,,42,6,29,10,13,8,,,,10,17,7,10,,,,,,2,2,3,1,,2,1,,75,75,0,28,6,6,7,4
Constructor,"bscorp.appbase.ForgotPassActivity.ForgotPassTask.ForgotPassTask",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"bscorp.appbase.ForgotPassActivity.ForgotPassTask.doInBackground",,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,2,8,1,5,3,2,2,0,3,5,1,4,2,2,2,1,2,,,,,0,,1,0,,,0,38,2,2,2,1
Protected Method,"bscorp.appbase.ForgotPassActivity.ForgotPassTask.onCancelled",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"bscorp.appbase.ForgotPassActivity.ForgotPassTask.onPostExecute",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,2,6,1,5,2,0,4,6,2,4,2,2,3,1,1,,,,,0,,1,0,,,0,11,2,2,3,1
Public Method,"bscorp.appbase.ForgotPassActivity.attemptRecover",,,,,,,,,,,,,,,,,,,,,,,,,,,3,37,4,21,5,17,12,10,6,1,13,17,5,12,4,4,4,1,2,,,,,0,,1,0,,,0,57,4,4,4,1
Public Method,"bscorp.appbase.ForgotPassActivity.onBackPressed",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"bscorp.appbase.ForgotPassActivity.onClick",,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,11,1,8,0,4,3,0,5,7,1,6,3,2,3,1,1,,,,,0,,1,0,,,0,00,3,2,3,1
