Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AllFragment.java",1,1,1,1,3,0,3,0,,,,,1,1,0,4,,4,3,0,4,,0,0,3,1,,30,6,19,10,4,5,,,,6,11,7,4,,,,,,1,1,1,1,,,0,,,,0,26,4,4,4,4
File,"AnimatedFab.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,28,5,6,5,0,17,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,2,83,0,0,0,0
File,"AnimationListener.java",1,1,1,1,5,0,2,3,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,22,4,7,4,0,11,,,,1,4,4,0,,,,,,1,1,1,1,,,0,,,,1,57,2,2,2,2
File,"DimOverlayFrameLayout.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,0,4,,0,1,0,3,,32,6,21,9,7,5,,,,11,16,9,7,,,,,,1,1,1,1,,,0,,,,0,24,4,4,4,4
File,"Fab.java",1,1,1,1,9,0,6,2,,,,,1,0,1,8,,8,8,0,8,,0,2,0,6,,106,16,64,29,29,26,,,,34,46,26,20,,,,,,3,3,4,1,,,2,,,,0,41,11,11,12,8
File,"FabAnimation.java",1,1,1,1,11,0,7,4,,,,,2,0,0,7,,7,7,2,7,,0,0,2,5,,99,13,52,21,23,34,,,,23,33,18,15,,,,,,2,2,2,1,,,1,,,,0,65,9,9,9,7
File,"FavoritesFragment.java",1,1,1,1,3,0,3,0,,,,,1,1,0,4,,4,3,0,4,,0,0,3,1,,30,6,19,10,4,5,,,,6,11,7,4,,,,,,1,1,1,1,,,0,,,,0,26,4,4,4,4
File,"MainActivity.java",1,1,1,1,9,0,7,1,,,,,3,0,0,21,,21,21,4,21,,0,10,2,9,,242,28,171,54,97,43,,,,86,115,53,62,,,,,,4,2,4,1,,,1,,,,0,25,32,28,32,21
File,"MainPagerAdapter.java",2,1,2,1,7,0,7,0,,,,,1,0,4,4,,4,4,1,4,,0,0,0,4,,64,9,50,22,25,5,,,,25,32,19,13,,,,,,4,2,4,1,,,1,,,,0,10,10,6,10,4
File,"MaterialSheetAnimation.java",2,2,2,1,15,0,10,3,,,,,5,0,2,22,,22,22,8,22,,0,0,5,17,,334,34,217,68,127,83,,,,96,139,64,75,,,,,,7,7,9,1,,,3,,,,0,38,44,44,46,22
File,"MaterialSheetFab.java",1,1,1,1,11,1,7,2,,,,,11,0,12,27,,23,27,14,27,,0,2,5,20,,337,53,207,62,123,77,,,,94,133,63,70,,,,,,4,4,4,1,,,1,,,,0,37,40,40,42,27
File,"MaterialSheetFabEventListener.java",1,1,1,1,5,0,2,3,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,33,5,11,6,0,17,,,,1,6,6,0,,,,,,1,1,1,1,,,0,,,,1,55,4,4,4,4
File,"Note.java",1,1,1,1,6,0,6,0,,,,,2,12,12,24,,24,12,7,24,,0,13,0,11,,233,37,188,78,102,8,,,,99,140,73,67,,,,,,6,6,6,1,,,2,,,,0,04,39,39,39,24
File,"NotesAdapter.java",2,2,2,1,9,0,8,0,,,,,2,0,0,6,,6,6,6,6,,0,1,0,5,,103,18,75,41,35,10,,,,50,60,37,23,,,,,,6,6,6,1,,,1,,,,0,13,12,12,12,6
File,"NotesListFragment.java",1,1,1,1,11,2,8,1,,,,,1,0,0,1,,4,4,0,4,,0,0,3,1,,44,10,28,22,6,6,,,,20,22,19,3,,,,,,1,1,1,1,,,0,,,,0,21,1,1,1,1
File,"OverlayAnimation.java",1,1,1,1,10,0,8,1,,,,,3,0,0,7,,7,7,2,7,,0,0,0,7,,75,9,49,11,26,17,,,,17,29,15,14,,,,,,2,2,2,1,,,1,,,,0,35,11,11,11,7
File,"RevealAnimator.java",1,1,1,1,4,0,3,0,,,,,6,0,0,15,,23,23,9,23,,11,0,0,12,,185,34,107,61,29,44,,,,54,75,50,25,,,,,,1,1,1,1,,,0,,,,0,41,15,15,15,15
File,"RevealFrameLayout.java",1,1,1,1,6,0,4,1,,,,,1,0,0,11,,11,11,5,11,,0,0,1,10,,115,22,77,38,28,16,,,,39,53,30,23,,,,,,2,2,4,1,,,1,,,,0,21,13,13,16,11
