Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",0,0,0,0,0,0,0,0,,,,,0,0,0,,4,,0,0,0,,0,0,0,0,,357,0,0,0,0,357,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AbstractResult.java",1,1,1,1,3,0,3,0,,,,,1,1,0,11,,11,10,3,11,,0,0,2,9,,62,12,50,17,21,0,,,,26,38,17,21,,,,,,2,2,3,1,,,0,,,,0,00,12,12,14,11
File,"AbstractResult.java",1,1,1,1,3,0,3,0,,,,,1,1,0,12,,12,11,3,12,,1,0,2,9,,65,13,52,18,22,0,,,,27,40,18,22,,,,,,2,2,3,1,,,0,,,,0,00,13,13,15,12
File,"AbstractResult.java",1,1,1,1,3,0,3,0,,,,,1,1,0,12,,12,11,3,12,,1,0,2,9,,64,13,51,18,21,0,,,,26,39,18,21,,,,,,2,2,3,1,,,0,,,,0,00,13,13,15,12
File,"AbstractResultOrder.java",1,1,1,1,3,0,3,0,,,,,1,1,0,12,,12,11,3,12,,0,0,3,9,,63,12,51,17,21,0,,,,25,38,17,21,,,,,,2,2,3,1,,,0,,,,0,00,13,13,15,12
File,"AccessInterceptor.java",3,3,3,2,15,0,13,1,,,,,1,0,1,5,,5,5,2,5,,0,3,0,2,,121,13,100,51,50,8,,,,61,78,46,32,,,,,,7,7,7,7,,,3,,,,0,08,16,16,18,14
File,"AccessKey.java",1,1,1,1,3,0,3,0,,,,,1,1,0,2,,2,1,0,2,,0,1,0,1,,15,5,10,5,2,0,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"AccessKey.java",1,1,1,1,3,0,3,0,,,,,1,1,0,2,,2,1,0,2,,0,1,0,1,,15,5,10,5,2,0,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"AccessLimit.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,15,3,12,11,0,0,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"Account.java",1,1,1,1,4,0,4,0,,,,,1,1,1,6,,6,5,10,6,,0,0,0,6,,63,10,48,29,20,16,,,,28,35,26,9,,,,,,1,1,1,1,,,0,,,,0,33,6,6,6,6
