Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",0,0,0,0,0,0,0,0,,,,,0,0,0,,4,,0,0,0,,0,0,0,0,,427,0,0,0,0,427,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ACLInfo.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,46,7,19,10,4,20,,,,8,13,9,4,,,,,,1,1,1,1,,,0,,,,1,05,4,4,4,4
File,"AbstractHealthChecker.java",1,1,1,1,5,0,4,0,,,,,5,1,4,33,,34,33,7,34,,0,1,0,33,,291,61,192,80,79,38,,,,82,131,67,64,,,,,,5,5,5,5,,,2,,,,0,20,44,44,44,43
File,"AbstractListener.java",1,1,1,1,6,0,3,3,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,36,4,9,6,1,23,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,,2,56,1,1,1,1
File,"AbstractNacosLogging.java",2,2,2,2,7,0,7,0,,,,,1,0,3,2,,3,3,2,3,,0,1,1,1,,62,9,30,15,15,23,,,,16,22,14,8,,,,,,3,3,3,3,,,2,,,,0,77,4,4,5,4
File,"AbstractSelector.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,38,4,10,5,2,24,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,2,40,2,2,2,2
File,"AbstractSharedListener.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,4,4,2,4,,0,0,0,4,,53,6,20,12,4,27,,,,9,13,9,4,,,,,,1,1,1,1,,,0,,,,1,35,3,3,3,3
File,"AbstractTask.java",1,1,1,1,4,0,3,1,,,,,1,0,0,5,,6,6,2,6,,0,0,0,6,,66,9,21,10,5,36,,,,9,15,10,5,,,,,,1,1,1,1,,,0,,,,1,71,5,5,5,5
File,"AccumulateStatCount.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,39,5,14,8,6,20,,,,8,11,8,3,,,,,,1,1,1,1,,,0,,,,1,43,2,2,2,2
File,"AggrWhitelist.java",2,2,2,1,11,0,9,1,,,,,1,4,2,4,,4,0,0,4,,1,0,0,3,,96,14,55,24,25,27,,,,28,42,24,18,,,,,,4,4,4,3,,,2,,,,0,49,11,11,11,6
File,"AggrWhitelistTest.java",1,1,1,1,8,0,8,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,57,8,34,20,12,15,,,,24,27,16,11,,,,,,1,1,1,1,,,0,,,,0,44,2,2,2,2
File,"ApiController.java",3,3,3,1,21,3,17,0,,,,,1,0,0,4,,4,4,2,4,,0,0,0,4,,150,24,105,63,52,21,,,,63,79,53,26,,,,,,9,9,12,3,,,3,,,,0,20,12,12,15,6
File,"App.java",1,1,1,1,9,0,9,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,39,3,16,9,7,20,,,,12,14,9,5,,,,,,1,1,1,1,,,0,,,,1,25,1,1,1,1
File,"AppNameUtils.java",3,3,3,1,11,1,10,0,,,,,1,4,9,4,,4,0,0,4,,0,3,0,1,,89,14,55,19,38,20,,,,30,44,19,25,,,,,,5,5,6,3,,,1,,,,0,36,13,13,14,6
File,"AppNameUtils.java",3,3,3,1,11,1,10,0,,,,,1,4,9,4,,4,0,0,4,,0,3,0,1,,89,14,55,19,38,20,,,,30,44,19,25,,,,,,5,5,6,3,,,1,,,,0,36,13,13,14,6
File,"AppTest.java",1,1,1,1,7,0,4,3,,,,,1,1,0,3,,3,2,0,3,,0,0,0,3,,53,4,20,9,3,29,,,,7,11,8,3,,,,,,1,1,1,1,,,0,,,,1,45,3,3,3,3
File,"AppTest.java",1,1,1,1,7,0,4,3,,,,,1,1,0,3,,3,2,0,3,,0,0,0,3,,53,4,20,9,3,29,,,,7,11,8,3,,,,,,1,1,1,1,,,0,,,,1,45,3,3,3,3
File,"AppTest.java",1,1,1,1,7,0,4,3,,,,,1,1,0,3,,3,2,0,3,,0,0,0,3,,53,4,20,9,3,29,,,,7,11,8,3,,,,,,1,1,1,1,,,0,,,,1,45,3,3,3,3
