Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractOperation.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,0,3,,0,0,3,0,,27,6,18,9,4,3,,,,8,13,9,4,,,,,,2,2,2,1,,,1,,,,0,17,4,4,4,3
File,"Auth.java",1,1,1,1,8,0,6,1,,,,,7,29,9,78,,85,56,5,85,,7,17,2,59,,835,62,611,209,281,162,,,,205,324,123,201,,,,,,20,10,20,9,,,5,,,,0,27,131,112,131,94
File,"AuthOperation.java",1,1,1,1,7,1,5,1,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,44,9,30,21,7,5,,,,19,22,16,6,,,,,,1,1,1,1,,,0,,,,0,17,2,2,2,2
File,"AuthService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,30,5,7,6,0,18,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,2,57,0,0,0,0
File,"AuthServiceImpl.java",1,1,1,1,6,0,6,0,,,,,1,0,0,3,,3,3,2,3,,0,1,0,2,,55,10,40,24,12,5,,,,25,30,20,10,,,,,,2,2,2,1,,,1,,,,0,12,4,4,4,3
File,"AuthToken.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,38,8,27,13,8,3,,,,9,15,10,5,,,,,,1,1,1,1,,,0,,,,0,11,5,5,5,5
File,"CachingConfig.java",1,1,1,1,6,1,5,0,,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,45,9,32,25,7,4,,,,20,23,19,4,,,,,,1,1,1,1,,,0,,,,0,12,2,2,2,2
File,"ChatApplication.java",1,1,1,1,6,0,6,0,,,,,1,1,1,2,,2,1,2,2,,0,0,0,2,,46,9,34,23,8,3,,,,18,22,16,6,,,,,,2,2,2,1,,,1,,,,0,09,3,3,3,2
File,"ChatClient.java",1,1,1,1,13,1,11,0,,,,,2,1,0,4,,4,3,2,4,,0,0,1,3,,74,10,61,28,36,3,,,,36,42,26,16,,,,,,1,1,1,1,,,0,,,,0,05,4,4,4,4
File,"ChatException.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,16,4,9,4,2,3,,,,3,6,4,2,,,,,,1,1,1,1,,,0,,,,0,33,2,2,2,2
