Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Adapter.java",1,1,1,1,1,0,1,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,8,2,6,5,0,0,,,,2,5,5,0,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"Attributes.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,1,0,,0,0,0,0,,9,3,6,5,1,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AuthApiController.java",1,1,1,1,5,0,5,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,32,6,22,19,3,4,,,,13,15,14,1,,,,,,1,1,1,1,,,0,,,,0,18,1,1,1,1
File,"AuthHandler.java",1,1,1,1,5,0,5,0,,,,,1,0,1,2,,2,2,0,2,,0,1,0,1,,27,7,20,11,6,0,,,,9,13,9,4,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"AuthServiceImpl.java",2,2,2,2,7,0,7,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,38,5,29,18,8,4,,,,16,21,15,6,,,,,,4,4,4,3,,,1,,,,0,14,5,5,5,4
File,"BaseEntity.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,8,3,5,4,0,0,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"BaseSqlEntity.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,30,7,23,15,4,0,,,,9,13,9,4,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"CallbackDeserializer.java",2,2,2,1,8,0,8,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,19,2,17,9,5,0,,,,8,11,7,4,,,,,,2,2,2,1,,,1,,,,0,00,2,2,2,1
File,"CallbackSerializer.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,4,9,6,1,0,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"Client.java",5,5,5,4,37,5,28,4,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,51,8,39,17,21,4,,,,24,29,17,12,,,,,,5,5,5,4,,,3,,,,0,10,5,5,5,4
File,"ClientHandler.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,20,4,16,10,3,0,,,,7,10,7,3,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"ClientInitializer.java",1,1,1,1,8,1,7,0,,,,,1,0,3,1,,1,1,0,1,,0,0,0,1,,28,7,21,15,8,0,,,,16,18,14,4,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"Command.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,18,0,,0,0,0,0,,43,18,21,20,18,4,,,,19,20,20,0,,,,,,0,0,0,0,,,0,,,,0,19,0,0,0,0
File,"Connect.java",4,4,4,2,33,0,31,2,,,,,1,0,0,4,,4,2,5,2,,0,0,0,2,,160,11,134,57,90,15,,,,76,90,44,46,,,,,,13,13,14,6,,,2,,,,0,11,16,16,17,9
File,"ConsoleCommand.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,9,3,6,5,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"ConsoleCommandManager.java",2,2,2,1,13,1,11,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,41,8,32,13,16,1,,,,20,25,12,13,,,,,,3,3,3,1,,,1,,,,0,03,4,4,4,2
File,"CreateGroupConsoleCommand.java",1,1,1,1,8,1,7,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,24,8,16,11,6,0,,,,11,13,10,3,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
