Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"NfcPlugin.java",2,2,2,1,15,2,11,0,,,,,4,0,15,17,,17,17,7,17,,0,11,0,6,,341,73,234,82,158,35,,,,142,181,82,99,,,,,,17,17,17,6,,,3,,,,0,15,45,45,45,30
File,"NfcPlugin.java",2,2,2,1,15,1,12,0,,,,,2,0,32,75,,75,61,12,61,,0,55,0,6,,992,175,761,218,522,70,,,,411,570,213,357,,,,,,25,25,25,25,,,4,,,,0,09,181,181,185,115
File,"Util.java",3,3,3,1,14,0,12,0,,,,,1,8,1,8,,8,0,0,8,,8,0,0,0,,140,20,115,37,71,5,,,,67,94,41,53,,,,,,5,5,5,1,,,3,,,,0,04,24,24,24,8
File,"Util.java",2,2,2,1,12,1,10,0,,,,,1,9,1,9,,9,0,0,9,,9,0,0,0,,137,22,111,42,70,5,,,,74,96,47,49,,,,,,7,7,7,1,,,4,,,,0,05,22,22,22,9
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.chariotsolutions",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.chariotsolutions.nfc",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.chariotsolutions.nfc.plugin",2,2,2,1,14,1,12,0,,,,,8,17,49,,4,,78,19,95,,17,66,0,12,,1610,290,1221,379,821,115,,,,694,941,383,558,,,,,,25,25,25,25,,,4,,,,0,09,272,272,276,162
Public Class,"com.chariotsolutions.nfc.plugin.NfcPlugin",3,3,3,2,17,2,13,1,1,2,2,0,,0,15,,,,12,4,12,12,0,11,0,1,,305,66,213,62,158,27,,,,122,161,62,99,,,,,,17,17,17,6,,2,3,,81,75,0,13,36,36,36,25
Public Class,"com.chariotsolutions.nfc.plugin.NfcPlugin",1,1,1,1,13,1,11,0,2,1,1,0,,0,32,,,,60,12,60,60,0,55,0,5,,955,170,730,187,522,68,,,,380,539,182,357,,,,,,25,25,25,25,,2,4,,96,91,0,09,179,179,183,114
