Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractWsTest.java",1,1,1,1,19,1,17,0,,,,,1,0,0,9,,9,9,6,9,,0,0,0,9,,219,30,188,60,142,1,,,,119,129,58,71,,,,,,1,1,1,1,,,0,,,,0,01,9,9,9,9
File,"App.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,12,3,9,6,1,0,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"AppConfig.java",1,1,1,1,8,0,8,1,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,33,4,29,14,13,3,,,,17,20,11,9,,,,,,1,1,1,1,,,0,,,,0,10,2,2,2,2
File,"AppProperties.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,34,8,26,14,6,0,,,,11,17,11,6,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"AppStartUpListener.java",1,1,1,1,3,0,3,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,18,4,14,11,2,0,,,,8,10,9,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"AuthFilter.java",4,4,5,1,15,0,14,0,,,,,1,0,1,6,,6,6,1,6,,0,0,1,5,,126,14,112,41,61,0,,,,50,77,36,41,,,,,,10,10,12,4,,,4,,,,0,00,26,26,30,9
File,"AuthFilterTest.java",1,1,1,1,12,1,10,0,,,,,2,0,0,12,,12,12,10,12,,0,0,0,12,,225,45,180,83,100,0,,,,121,137,62,75,,,,,,2,2,2,1,,,1,,,,0,00,13,13,13,12
File,"AuthWs.java",2,2,2,1,12,1,10,0,,,,,1,1,3,7,,7,6,2,7,,0,1,0,6,,137,23,114,61,56,0,,,,64,80,44,36,,,,,,3,3,3,3,,,2,,,,0,00,15,15,15,13
File,"AuthWsTest.java",1,1,1,1,14,1,13,0,,,,,1,0,0,7,,7,7,0,7,,0,0,0,7,,145,17,126,54,80,2,,,,69,77,41,36,,,,,,1,1,1,1,,,0,,,,0,02,7,7,7,7
File,"CannedReport.java",1,1,1,1,2,0,2,0,,,,,1,0,0,11,,11,11,5,11,,0,0,0,11,,60,15,44,23,10,1,,,,19,31,21,10,,,,,,1,1,1,1,,,0,,,,0,02,11,11,11,11
File,"CannedReportDao.java",1,1,1,1,8,0,8,0,,,,,2,0,0,8,,8,7,2,7,,0,0,0,7,,99,13,86,46,46,0,,,,51,61,37,24,,,,,,2,2,2,1,,,1,,,,0,00,9,9,9,8
File,"CannedReportWs.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,72,9,63,49,12,0,,,,26,32,26,6,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"CannedReportWsTest.java",1,1,1,1,28,2,24,2,,,,,2,0,0,2,,2,2,0,2,,0,1,0,1,,89,10,75,32,45,4,,,,43,46,26,20,,,,,,1,1,1,1,,,0,,,,0,05,2,2,2,2
File,"Column.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,4,5,,0,0,0,5,,32,7,25,11,8,0,,,,13,19,11,8,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"CommonUtil.java",1,1,1,1,3,0,3,0,,,,,1,3,0,4,,4,1,0,4,,0,1,0,3,,27,7,20,13,5,0,,,,11,16,13,3,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"CommonUtilTest.java",1,1,1,1,6,0,5,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,26,6,20,14,7,0,,,,12,15,12,3,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"Component.java",1,1,1,1,3,0,3,0,,,,,1,0,0,28,,28,28,14,28,,0,0,0,28,,156,36,110,53,28,10,,,,46,75,47,28,,,,,,1,1,1,1,,,0,,,,0,09,28,28,28,28
File,"ComponentDao.java",1,1,1,1,9,0,9,0,,,,,2,0,0,12,,12,11,1,11,,0,0,0,11,,133,17,116,48,71,0,,,,69,83,41,42,,,,,,2,2,2,1,,,1,,,,0,00,13,13,13,12
File,"ComponentWs.java",1,1,1,1,5,0,4,0,,,,,1,0,0,8,,8,7,2,7,,0,0,0,7,,96,13,82,57,20,1,,,,40,50,35,15,,,,,,3,3,3,3,,,1,,,,0,01,10,10,10,10
File,"ComponentWsTest.java",1,1,1,1,48,3,41,3,,,,,2,0,0,3,,3,3,0,3,,0,2,0,1,,179,17,152,36,118,10,,,,90,94,29,65,,,,,,1,1,1,1,,,0,,,,0,07,3,3,3,3
File,"Constants.java",1,1,1,1,1,0,1,0,,,,,1,0,31,1,,1,1,0,1,,0,1,0,0,,52,17,35,34,31,0,,,,32,34,34,0,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"FilterParameter.java",1,1,1,1,3,0,3,0,,,,,1,0,0,9,,9,9,4,9,,0,0,0,9,,59,12,44,21,13,3,,,,17,27,18,9,,,,,,1,1,1,1,,,0,,,,0,07,9,9,9,9
File,"Group.java",1,1,1,1,2,0,2,0,,,,,1,0,2,7,,7,7,3,7,,0,0,0,7,,41,12,29,16,9,0,,,,14,22,16,6,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"GroupDao.java",1,1,1,1,5,0,5,0,,,,,3,0,0,13,,13,12,1,12,,0,0,0,12,,100,15,85,43,39,0,,,,47,62,42,20,,,,,,2,2,2,1,,,1,,,,0,00,14,14,14,13
File,"GroupWs.java",1,1,1,1,6,0,6,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,66,9,56,34,19,1,,,,29,36,21,15,,,,,,2,2,2,1,,,1,,,,0,02,6,6,6,5
File,"GroupWsTest.java",1,1,1,1,46,3,40,3,,,,,2,0,0,2,,2,2,0,2,,0,1,0,1,,129,13,110,38,77,6,,,,63,66,31,35,,,,,,1,1,1,1,,,0,,,,0,05,2,2,2,2
File,"InfoWs.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,16,3,13,10,1,0,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"InfoWsTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,34,5,29,26,4,0,,,,18,20,19,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"JdbcDataSource.java",1,1,1,1,3,0,3,0,,,,,1,0,7,17,,17,17,7,17,,0,0,0,17,,96,21,75,37,29,0,,,,35,55,35,20,,,,,,3,3,7,3,,,1,,,,0,00,19,19,23,19
File,"JdbcDataSourceDao.java",1,1,1,1,11,0,11,0,,,,,3,0,0,9,,9,8,1,8,,0,0,0,8,,130,13,117,49,71,0,,,,66,80,45,35,,,,,,2,2,2,1,,,1,,,,0,00,12,12,12,9
File,"JdbcDataSourceService.java",1,1,1,1,9,0,9,0,,,,,1,0,2,6,,6,4,2,4,,0,0,0,4,,89,12,72,39,31,5,,,,41,52,33,19,,,,,,3,3,3,3,,,2,,,,0,07,11,11,11,8
File,"JdbcDataSourceWs.java",1,1,1,1,4,0,4,0,,,,,1,0,0,7,,7,7,4,7,,0,0,0,7,,88,14,74,54,16,0,,,,35,43,31,12,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"JdbcDataSourceWsTest.java",1,1,1,1,33,1,29,2,,,,,2,0,0,3,,3,3,1,3,,0,2,0,1,,138,13,118,38,81,7,,,,68,72,30,42,,,,,,1,1,1,1,,,0,,,,0,06,3,3,3,3
