Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AnimatorProxy.java",1,1,2,1,7,0,7,0,,,,,1,1,2,35,,35,34,16,35,,0,5,1,29,,322,25,279,98,159,20,,,,147,210,96,114,,,,,,5,5,8,1,,,2,,,,0,07,64,64,71,35
File,"ContactAdapter.java",1,1,1,1,4,0,4,0,,,,,1,0,0,7,,7,7,2,7,,0,0,0,7,,67,15,52,29,15,0,,,,28,38,24,14,,,,,,2,2,2,1,,,1,,,,0,00,8,8,8,7
File,"ContactListFragment.java",1,1,1,1,6,1,5,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,42,11,31,20,11,0,,,,22,26,19,7,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"Contacts.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,7,3,4,3,1,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"Countries.java",0,0,0,0,0,0,0,0,,,,,1,0,6,0,,0,0,0,0,,0,0,0,0,,12,3,9,8,6,0,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"CountryAdapter.java",1,1,1,1,5,0,4,0,,,,,1,0,0,13,,13,13,2,13,,0,0,0,13,,124,28,96,51,38,0,,,,48,74,43,31,,,,,,7,7,7,1,,,1,,,,0,00,19,19,19,13
File,"CountryFragment.java",1,1,1,1,8,2,6,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,36,11,25,18,8,0,,,,18,21,17,4,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"Event.java",1,1,1,1,5,0,4,0,,,,,1,1,1,7,,7,6,2,7,,0,0,0,7,,58,14,44,22,18,0,,,,28,37,23,14,,,,,,2,2,2,1,,,1,,,,0,00,8,8,8,7
File,"EventAdapter.java",1,1,1,1,4,0,3,0,,,,,1,0,0,7,,7,7,2,7,,0,0,0,7,,63,15,48,28,13,0,,,,26,34,22,12,,,,,,1,1,1,1,,,0,,,,0,00,7,7,7,7
File,"EventListFragment.java",1,1,1,1,6,1,5,0,,,,,1,0,3,3,,3,3,0,3,,0,0,0,3,,46,12,34,23,14,0,,,,25,29,22,7,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
