Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",0,0,0,0,0,0,0,0,,,,,2,0,0,,2,,0,0,0,,0,0,0,0,,12,3,9,8,0,0,,,,4,6,6,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AbortProcessingException.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,29,2,2,2,0,25,,,,1,2,2,0,,,,,,0,0,0,0,,,0,,,,12,50,0,0,0,0
File,"AbstractAnnotated.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,2,2,0,2,,0,0,0,2,,16,4,12,9,1,0,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"AbstractAnnotated.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,2,2,0,2,,0,0,0,2,,17,4,13,10,1,0,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"AbstractAnnotated.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,2,2,0,2,,0,0,0,2,,17,4,13,10,1,0,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"AnnotationSpecs.java",1,1,1,1,5,0,3,2,,,,,2,0,0,29,,29,29,19,29,,0,1,0,28,,255,35,130,58,65,90,,,,73,104,58,46,,,,,,1,1,1,1,,,0,,,,0,69,29,29,29,29
File,"AnnotationVerifier.java",3,3,3,1,18,0,12,6,,,,,1,0,4,11,,11,11,4,11,,3,8,0,0,,283,26,168,64,91,89,,,,82,125,67,58,,,,,,13,13,18,3,,,5,,,,0,53,36,36,42,13
File,"AnnotationVerifierTest.java",1,1,1,1,13,0,13,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,73,7,47,35,22,19,,,,39,42,33,9,,,,,,1,1,1,1,,,0,,,,0,40,2,2,2,2
File,"AnnotationWriter.java",1,1,1,1,11,0,8,2,,,,,2,0,16,18,,18,18,6,18,,13,5,0,0,,296,29,189,77,113,78,,,,120,153,75,78,,,,,,3,3,3,1,,,1,,,,0,41,28,28,29,18
File,"ArrayCreator.java",3,3,3,1,13,0,11,2,,,,,1,0,0,5,,5,5,1,5,,0,3,0,2,,107,8,62,15,36,37,,,,32,48,17,31,,,,,,9,9,9,1,,,3,,,,0,60,15,15,15,5
