Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BigramHeaderAdapter.java",1,1,1,1,3,0,3,0,,,,,2,0,0,5,,5,5,2,5,,0,0,0,5,,52,14,35,22,7,3,,,,18,25,19,6,,,,,,1,1,1,1,,,0,,,,0,09,5,5,5,5
File,"DrawOrder.java",1,1,1,1,0,0,0,0,,,,,1,0,0,2,,0,2,2,2,,0,0,0,2,,9,1,5,4,0,3,,,,1,2,2,0,,,,,,1,1,1,1,,,0,,,,0,60,2,2,2,2
File,"HeaderStore.java",3,3,3,1,15,2,12,0,,,,,1,0,0,13,,13,13,7,13,,0,1,0,12,,232,45,183,55,112,5,,,,106,147,61,86,,,,,,11,11,11,3,,,3,,,,0,03,41,41,43,15
File,"InitialHeaderAdapter.java",1,1,1,1,3,0,3,0,,,,,2,0,0,5,,5,5,2,5,,0,0,0,5,,51,13,35,22,7,3,,,,18,25,19,6,,,,,,1,1,1,1,,,0,,,,0,09,5,5,5,5
File,"MainActivity.java",1,1,1,1,21,3,17,0,,,,,3,0,0,5,,5,5,7,5,,0,0,1,4,,120,21,94,36,50,6,,,,56,65,37,28,,,,,,3,3,3,3,,,1,,,,0,06,8,8,8,7
File,"OnEditListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,8,1,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"OnHeaderClickListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,10,2,5,4,0,3,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,60,0,0,0,0
File,"OnRemoveListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,8,1,4,3,0,3,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,0,75,0,0,0,0
File,"PersonAdapter.java",1,1,1,1,5,0,5,0,,,,,3,0,0,11,,11,11,6,11,,0,0,0,11,,111,23,85,45,30,3,,,,49,62,38,24,,,,,,1,1,1,1,,,0,,,,0,04,11,11,11,11
File,"PersonDataProvider.java",1,1,2,1,8,1,7,0,,,,,1,0,1,6,,6,6,2,6,,0,1,0,5,,275,17,254,219,225,4,,,,31,43,21,22,,,,,,3,3,5,1,,,2,,,,0,02,11,11,13,6
File,"RecyclerViewHelper.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,11,2,6,3,1,3,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,0,50,1,1,1,1
File,"StickyHeadersAdapter.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,32,5,8,7,0,19,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,2,38,0,0,0,0
File,"StickyHeadersBuilder.java",1,1,1,1,6,1,5,0,,,,,1,0,0,9,,9,9,7,9,,0,0,0,9,,83,23,57,22,26,3,,,,33,45,22,23,,,,,,2,2,2,1,,,1,,,,0,05,11,11,11,9
File,"StickyHeadersItemDecoration.java",1,1,2,1,6,0,5,0,,,,,2,0,0,15,,15,15,4,15,,0,2,0,13,,144,34,106,48,45,4,,,,48,73,41,32,,,,,,6,6,11,1,,,5,,,,0,04,25,25,32,15
File,"StickyHeadersTouchListener.java",1,1,2,1,7,1,6,0,,,,,2,0,0,8,,8,8,4,8,,0,1,0,7,,92,22,67,31,26,3,,,,31,48,28,20,,,,,,7,7,11,7,,,3,,,,0,04,15,15,20,14
Package,"android",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"android.support",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"android.support.v7",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
