Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractNotifyStrategy.java",2,2,2,1,15,0,14,0,,,,,2,0,1,3,,5,5,3,5,,0,0,2,3,,82,13,56,35,19,13,,,,33,43,33,10,,,,,,3,3,3,1,,,2,,,,0,23,7,7,7,3
File,"AlarmController.java",1,1,1,1,4,0,4,0,,,,,1,0,0,10,,10,10,1,10,,0,0,0,10,,103,16,84,53,25,3,,,,33,46,30,16,,,,,,2,2,2,1,,,1,,,,0,04,12,12,12,10
File,"AlarmLogic.java",1,1,1,1,5,0,5,0,,,,,1,0,0,9,,9,9,2,9,,0,0,0,9,,88,14,71,36,29,3,,,,41,54,33,21,,,,,,2,2,3,1,,,1,,,,0,04,12,12,13,9
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,22,4,13,10,1,5,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"BatchConfigParam.java",1,1,1,1,3,0,3,0,,,,,1,0,0,14,,14,14,7,14,,0,0,0,14,,70,15,52,23,14,3,,,,22,37,23,14,,,,,,1,1,1,1,,,0,,,,0,06,14,14,14,14
File,"CheckController.java",1,1,1,1,3,0,3,0,,,,,1,0,1,13,,13,13,1,13,,0,0,0,13,,116,20,93,65,24,3,,,,35,49,35,14,,,,,,2,2,2,1,,,0,,,,0,03,14,14,14,13
File,"CheckLogic.java",2,2,2,1,10,0,10,0,,,,,1,0,1,16,,16,16,1,16,,0,1,0,15,,211,19,189,73,115,3,,,,103,147,76,71,,,,,,7,7,7,5,,,4,,,,0,02,41,41,41,26
File,"ClassUtil.java",6,6,8,1,26,0,26,0,,,,,2,2,0,3,,3,1,0,3,,0,0,0,3,,95,3,89,33,53,3,,,,44,65,34,31,,,,,,13,13,15,1,,,9,,,,0,03,19,19,24,3
File,"Cluster.java",1,1,1,1,3,0,3,0,,,,,1,0,0,15,,15,15,7,15,,0,0,0,15,,98,19,73,34,24,6,,,,25,41,26,15,,,,,,1,1,1,1,,,0,,,,0,08,15,15,15,15
File,"ClusterCheckLog.java",1,1,1,1,3,0,3,0,,,,,2,0,0,22,,20,22,11,22,,0,0,0,22,,132,27,99,47,30,6,,,,33,55,35,20,,,,,,1,1,1,1,,,0,,,,0,06,22,22,22,22
File,"ClusterCheckLogDaoTest.java",1,1,1,1,7,0,7,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,74,11,58,31,25,5,,,,38,44,23,21,,,,,,1,1,1,1,,,0,,,,0,09,5,5,5,5
File,"ClusterCheckRule.java",1,1,1,1,3,0,3,0,,,,,1,0,0,13,,13,13,6,13,,0,0,0,13,,89,19,66,32,20,4,,,,23,37,24,13,,,,,,1,1,1,1,,,0,,,,0,06,13,13,13,13
File,"ClusterCheckRuleDaoTest.java",1,1,1,1,5,0,5,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,67,11,53,34,16,3,,,,32,38,25,13,,,,,,1,1,1,1,,,0,,,,0,06,5,5,5,5
File,"ClusterController.java",1,1,1,1,4,0,4,0,,,,,1,0,0,31,,31,31,3,31,,0,0,0,31,,275,38,234,149,81,3,,,,92,130,83,47,,,,,,2,2,3,1,,,1,,,,0,01,37,37,38,31
File,"ClusterDaoTest.java",1,1,1,1,5,0,4,0,,,,,1,0,0,9,,9,9,2,9,,0,0,0,9,,95,14,75,50,25,6,,,,42,52,37,15,,,,,,1,1,1,1,,,0,,,,0,08,9,9,9,9
File,"ClusterImportResult.java",1,1,1,1,3,0,3,0,,,,,1,0,0,13,,13,13,6,13,,0,0,0,13,,72,15,54,22,18,3,,,,26,40,22,18,,,,,,1,1,1,1,,,0,,,,0,06,13,13,13,13
File,"ClusterLogic.java",2,2,3,1,15,0,14,1,,,,,1,0,1,35,,35,35,7,35,,0,3,0,32,,640,54,542,209,370,44,,,,314,419,212,207,,,,,,9,9,9,6,,,5,,,,0,08,99,97,106,52
File,"ClusterLogicTest.java",1,1,1,1,22,3,17,2,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,36,6,25,13,15,5,,,,20,22,12,10,,,,,,1,1,1,1,,,0,,,,0,20,1,1,1,1
