Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractConnection.java",3,3,3,1,18,1,11,5,,,,,1,0,3,4,,5,5,3,5,,0,0,3,2,,126,14,64,23,33,48,,,,30,44,23,21,,,,,,8,8,8,1,,,3,,,,0,75,12,12,12,4
File,"AbstractConnectionTest.java",1,1,1,1,13,2,10,0,,,,,9,0,1,13,,13,13,5,13,,0,0,0,13,,218,44,162,60,100,12,,,,86,107,50,57,,,,,,3,3,3,1,,,1,,,,0,07,20,20,20,13
File,"AndroidEventBuilderHelper.java",3,2,3,1,22,1,15,5,,,,,1,19,4,22,,22,3,1,22,,0,0,20,2,,554,56,377,123,259,121,,,,198,265,108,157,,,,,,7,7,10,5,,,3,,,,0,32,66,65,81,40
File,"AndroidSentryClientFactory.java",2,2,2,1,13,1,10,2,,,,,1,0,2,6,,6,6,1,6,,0,1,3,2,,133,22,90,42,44,22,,,,51,66,38,28,,,,,,5,5,7,3,,,2,,,,0,24,14,14,17,8
File,"AndroidTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,20,5,15,10,2,0,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"AppEngineAsyncConnection.java",1,1,1,1,9,0,6,3,,,,,2,0,2,7,,7,7,6,7,,0,1,0,6,,139,12,74,37,29,53,,,,43,55,33,22,,,,,,3,3,3,3,,,2,,,,0,72,10,10,10,9
File,"AppEngineAsyncConnectionTest.java",1,1,1,1,11,1,9,0,,,,,7,2,0,9,,9,7,9,9,,1,2,0,6,,143,24,119,66,57,0,,,,69,80,47,33,,,,,,2,2,2,1,,,1,,,,0,00,10,10,10,9
File,"AppEngineEventBuilderHelper.java",1,1,1,1,8,1,6,1,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,29,4,16,11,5,9,,,,10,12,9,3,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"AppEngineEventBuilderHelperTest.java",1,1,1,1,13,1,11,0,,,,,8,0,0,4,,4,4,7,4,,0,0,0,4,,92,15,77,39,38,0,,,,45,50,24,26,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"AppEngineSentryClientFactory.java",2,2,2,1,14,1,9,4,,,,,1,0,2,2,,2,2,0,2,,0,0,1,1,,65,7,33,20,14,25,,,,20,25,18,7,,,,,,3,3,3,1,,,1,,,,0,76,4,4,4,2
