Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ActivityUtils.java",1,1,1,1,5,0,5,0,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,19,5,14,6,5,0,,,,6,10,6,4,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"BottomCenter.java",1,1,1,1,7,0,7,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,34,5,29,15,10,0,,,,12,16,12,4,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"BottomLeft.java",1,1,1,1,9,0,9,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,37,5,32,15,13,0,,,,12,16,12,4,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"BottomRight.java",1,1,1,1,10,0,9,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,39,6,33,17,14,0,,,,14,18,14,4,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"Center.java",1,1,1,1,9,0,9,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,37,5,32,16,12,0,,,,15,19,13,6,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"MainActivity.java",1,1,1,1,8,0,7,0,,,,,1,0,0,13,,13,5,10,5,,0,4,1,0,,140,14,126,38,82,0,,,,55,61,37,24,,,,,,1,1,1,1,,,0,,,,0,00,13,13,13,13
File,"MeasuredUtils.java",1,1,2,1,9,0,9,0,,,,,5,3,0,6,,7,4,0,7,,1,0,0,6,,59,10,49,11,26,0,,,,16,30,15,15,,,,,,3,3,3,1,,,1,,,,0,00,11,11,13,6
File,"NavigationBarUtils.java",1,1,2,1,6,0,6,0,,,,,2,6,0,8,,6,2,4,8,,0,2,0,6,,75,14,61,22,31,0,,,,22,35,17,18,,,,,,4,2,4,1,,,1,,,,0,00,15,13,20,8
File,"Position.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,27,6,21,14,3,0,,,,10,14,11,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"Radius.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,15,4,11,6,3,0,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
