Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AESUtil.java",4,4,4,4,20,0,20,1,,,,,1,7,0,7,,7,0,0,7,,0,0,0,7,,160,9,149,55,119,10,,,,100,116,57,59,,,,,,7,7,7,7,,,2,,,,0,07,33,33,33,29
File,"AESUtilTests.java",1,1,1,1,17,1,14,2,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,32,5,25,18,12,2,,,,18,20,15,5,,,,,,1,1,1,1,,,0,,,,0,08,1,1,1,1
File,"Address.java",1,1,1,1,3,0,3,0,,,,,1,0,0,6,,6,6,3,6,,0,0,0,6,,35,11,24,11,6,0,,,,10,17,11,6,,,,,,1,1,1,1,,,0,,,,0,00,6,6,6,6
File,"AddressCheckResult.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,14,4,10,5,3,1,,,,4,7,5,2,,,,,,1,1,1,1,,,0,,,,0,10,2,2,2,2
File,"AuthorSettings.java",1,1,1,1,3,0,3,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,34,9,25,14,5,1,,,,10,16,11,5,,,,,,1,1,1,1,,,0,,,,0,04,5,5,5,5
File,"CacheConfig.java",1,1,1,1,12,1,7,3,,,,,1,0,0,4,,4,4,4,4,,0,2,0,2,,99,16,64,41,21,19,,,,43,49,32,17,,,,,,2,2,2,1,,,1,,,,0,30,5,5,5,4
File,"CacheConfig.java",1,1,1,1,10,1,6,2,,,,,2,0,0,3,,3,3,0,3,,0,0,0,3,,39,9,21,10,8,9,,,,8,12,9,3,,,,,,1,1,1,1,,,0,,,,0,43,3,3,3,3
File,"CacheController.java",1,1,1,1,5,0,4,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,58,14,44,30,12,0,,,,24,30,22,8,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"CacheController.java",1,1,1,1,5,0,4,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,58,14,44,30,12,0,,,,24,30,22,8,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
File,"CacheController.java",1,1,1,1,5,0,4,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,58,14,44,30,12,0,,,,24,30,22,8,,,,,,1,1,1,1,,,0,,,,0,00,5,5,5,5
