Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",2,2,2,1,14,1,12,1,,,,,3,12,15,,3,,2,2,14,,0,11,0,3,,307,42,234,97,144,33,,,,153,186,89,97,,,,,,7,7,7,1,,,3,,,,0,14,33,33,34,14
File,"AbstractService.java",1,1,1,1,4,0,4,0,,,,,1,0,0,16,,16,16,2,16,,0,0,1,15,,125,20,95,50,31,10,,,,38,57,33,24,,,,,,2,2,2,1,,,1,,,,0,11,18,18,18,16
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,2,,2,1,0,2,,1,0,0,1,,31,5,22,17,2,4,,,,11,14,12,2,,,,,,1,1,1,1,,,0,,,,0,18,2,2,2,2
File,"BaseControllerTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,4,1,,0,0,0,1,,31,3,28,25,2,1,,,,17,19,18,1,,,,,,1,1,1,1,,,0,,,,0,04,1,1,1,1
Class,"CodeGenerator",2,2,2,1,16,1,13,1,1,1,1,0,,12,15,,,,0,0,12,12,0,11,0,1,,239,32,180,54,137,29,,,,118,147,55,92,,,,,,7,7,7,1,,1,3,,83,66,0,16,31,31,32,12
Private Static Method,"CodeGenerator.genCode",,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,5,1,2,6,1,2,0,1,4,2,2,2,2,2,1,0,,,,,0,,1,0,,,1,20,2,2,2,1
Private Static Method,"CodeGenerator.genCodeByCustomModelName",,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,5,1,3,7,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,1,40,1,1,1,1
Private Static Method,"CodeGenerator.genController",,,,,,,,,,,,,,,,,,,,,,,,,,,12,32,4,28,6,22,0,12,7,1,16,21,6,15,6,6,6,1,2,,,,,0,,3,0,,,0,00,6,6,6,1
Private Static Method,"CodeGenerator.genModelAndMapper",,,,,,,,,,,,,,,,,,,,,,,,,,,15,68,9,59,12,51,0,28,16,1,48,53,12,41,5,5,6,1,1,,,,,0,,1,0,,,0,00,5,5,6,1
Private Static Method,"CodeGenerator.genService",,,,,,,,,,,,,,,,,,,,,,,,,,,11,37,3,34,8,27,0,11,10,1,19,25,8,17,7,7,7,1,1,,,,,0,,3,0,,,0,00,7,7,7,1
Private Static Method,"CodeGenerator.getConfiguration",,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,2,5,0,4,1,0,5,6,2,4,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
