Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",0,0,0,0,0,0,0,0,,,,,0,0,0,,1,,0,0,0,,0,0,0,0,,130,0,0,0,0,130,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"AbstractAuditorAware.java",1,1,1,1,7,2,5,0,,,,,1,0,1,2,,3,3,1,3,,0,0,1,2,,45,13,26,18,7,6,,,,16,20,15,5,,,,,,2,2,2,1,,,1,,,,0,23,3,3,3,2
File,"AbstractBadRequestExceptionHandler.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,21,4,14,9,2,3,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,0,21,2,2,2,2
File,"AbstractDocument.java",1,1,1,1,8,1,3,4,,,,,1,0,0,1,,1,1,6,1,,0,0,0,1,,52,14,34,31,1,4,,,,21,23,22,1,,,,,,1,1,1,1,,,0,,,,0,12,1,1,1,1
File,"AbstractExceptionHandler.java",1,1,1,1,4,0,4,0,,,,,1,0,0,7,,7,7,2,7,,0,0,4,3,,62,17,42,20,16,3,,,,24,33,20,13,,,,,,2,2,2,1,,,1,,,,0,07,8,8,8,7
File,"AbstractJwtService.java",1,1,1,1,10,3,7,0,,,,,1,0,1,5,,6,6,0,6,,0,0,2,4,,90,31,55,29,29,4,,,,30,36,25,11,,,,,,1,1,2,1,,,0,,,,0,07,5,5,6,5
File,"AbstractMongoUser.java",1,1,1,1,7,1,4,2,,,,,1,0,0,6,,6,6,6,6,,0,0,1,5,,109,25,66,47,15,18,,,,36,43,31,12,,,,,,1,1,1,1,,,0,,,,0,27,6,6,6,6
File,"AbstractMongoUserRepository.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,21,5,11,10,0,5,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,45,0,0,0,0
File,"AbstractMvcTests.java",1,1,1,1,9,1,7,0,,,,,1,0,10,3,,3,3,4,3,,0,0,2,1,,97,21,76,57,28,1,,,,47,51,43,8,,,,,,1,1,1,1,,,0,,,,0,01,3,3,3,3
File,"AbstractTests.java",1,1,1,1,6,1,5,0,,,,,1,0,0,2,,2,2,3,2,,0,0,1,1,,56,14,42,34,6,1,,,,23,26,23,3,,,,,,1,1,1,1,,,0,,,,0,02,2,2,2,2
File,"AbstractUser.java",1,1,1,1,9,1,4,3,,,,,1,0,0,5,,5,5,6,5,,0,0,1,4,,128,27,72,55,14,30,,,,39,45,34,11,,,,,,1,1,1,1,,,0,,,,0,42,5,5,5,5
File,"AbstractUserRepository.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,21,4,11,10,0,6,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,0,55,0,0,0,0
File,"AbstractValidationExceptionHandler.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,28,6,19,12,3,3,,,,8,12,9,3,,,,,,1,1,1,1,,,0,,,,0,16,3,3,3,3
File,"AccessDeniedExceptionHandler.java",1,1,1,1,4,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,25,6,19,13,3,0,,,,10,13,10,3,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"BadCredentialsExceptionHandler.java",1,1,1,1,4,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,25,6,19,13,3,0,,,,10,13,10,3,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"BasicMvcTests.java",1,1,1,1,8,1,7,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,47,10,37,18,15,0,,,,13,17,14,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"BasicTests.java",1,1,1,1,9,1,8,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,49,11,38,14,20,0,,,,10,14,11,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"BlueTokenService.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,2,0,,0,0,0,0,,7,2,5,4,2,0,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"Captcha.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,3,0,0,0,,27,6,11,10,0,10,,,,7,8,8,0,,,,,,0,0,0,0,,,0,,,,0,91,0,0,0,0
File,"CaptchaValidator.java",1,1,1,1,11,1,7,3,,,,,2,0,1,6,,6,6,4,6,,0,0,0,6,,123,24,68,33,28,34,,,,40,51,29,22,,,,,,5,5,5,5,,,2,,,,0,50,10,10,10,10
File,"ChangeEmailMvcTests.java",1,1,1,1,21,3,14,4,,,,,1,0,1,6,,6,6,2,6,,0,0,0,6,,170,31,116,39,78,24,,,,45,52,31,21,,,,,,1,1,1,1,,,0,,,,0,21,6,6,6,6
