Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractAuthorizationCodeProviderTests.java",1,1,1,1,13,1,11,1,,,,,9,0,0,28,,28,28,5,28,,0,4,6,18,,410,64,312,110,181,48,,,,171,217,98,119,,,,,,4,4,4,1,,,1,,,,0,15,43,43,43,28
File,"AbstractAuthorizationCodeProviderTests.java",1,1,1,1,13,1,11,2,,,,,1,0,0,12,,12,12,0,12,,0,0,0,12,,241,37,176,78,94,42,,,,100,121,56,65,,,,,,3,3,3,1,,,1,,,,0,24,20,20,20,12
File,"AbstractClientCredentialsProviderTests.java",1,1,1,1,8,0,7,1,,,,,6,0,0,8,,8,8,2,8,,0,0,1,7,,107,15,80,39,30,12,,,,43,56,35,21,,,,,,2,2,2,1,,,1,,,,0,15,9,9,9,8
File,"AbstractClientCredentialsProviderTests.java",1,1,1,1,7,0,7,0,,,,,7,0,0,10,,10,10,2,10,,0,0,2,8,,122,17,93,45,35,12,,,,49,65,40,25,,,,,,2,2,2,1,,,1,,,,0,13,11,11,11,10
File,"AbstractDefaultTokenServicesTests.java",1,1,1,1,7,0,7,0,,,,,6,0,1,25,,26,26,3,26,,0,0,5,21,,265,33,216,119,118,16,,,,123,151,94,57,,,,,,2,2,2,1,,,1,,,,0,07,26,26,26,25
File,"AbstractEmptyAuthorizationCodeProviderTests.java",1,1,1,1,12,1,10,0,,,,,9,0,0,21,,21,21,5,21,,0,2,12,7,,255,39,194,60,106,23,,,,102,137,67,70,,,,,,4,4,4,1,,,1,,,,0,12,32,32,32,21
File,"AbstractEndpoint.java",1,1,1,1,3,0,3,0,,,,,1,0,0,10,,10,10,6,10,,0,0,5,5,,94,20,55,29,16,19,,,,31,43,29,14,,,,,,2,2,2,1,,,1,,,,0,35,11,11,11,10
File,"AbstractImplicitProviderTests.java",1,1,1,1,11,0,10,1,,,,,2,0,0,2,,2,2,0,2,,0,0,0,2,,48,7,35,16,14,7,,,,21,26,14,12,,,,,,2,2,2,1,,,1,,,,0,20,3,3,3,2
File,"AbstractImplicitProviderTests.java",1,1,1,1,11,0,10,1,,,,,2,0,0,2,,2,2,0,2,,0,0,0,2,,49,7,36,17,14,7,,,,22,27,15,12,,,,,,2,2,2,1,,,1,,,,0,19,3,3,3,2
File,"AbstractIntegrationTests.java",2,2,2,1,8,0,8,0,,,,,1,2,2,8,,8,6,8,8,,0,2,0,6,,155,23,120,68,44,12,,,,69,87,53,34,,,,,,4,4,4,1,,,1,,,,0,10,17,17,17,8
File,"AbstractIntegrationTests.java",1,1,1,1,5,0,5,0,,,,,2,4,6,22,,22,18,9,22,,0,2,7,13,,281,45,222,114,82,14,,,,114,154,92,62,,,,,,4,4,5,1,,,2,,,,0,06,36,36,37,22
File,"AbstractJaxbMessageConverter.java",1,1,1,1,7,0,7,0,,,,,1,0,0,6,,8,8,3,8,,0,2,5,1,,112,15,71,34,25,26,,,,38,48,31,17,,,,,,3,3,3,3,,,1,,,,0,37,11,11,11,8
