Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractAggregateCounterTests.java",3,3,3,1,31,3,24,3,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,209,31,144,55,105,38,,,,119,135,55,80,,,,,,5,5,5,1,,,1,,,,0,26,15,15,15,5
File,"AbstractBatchJobsController.java",1,1,1,1,6,0,3,3,,,,,1,0,0,1,,1,1,9,1,,0,0,0,1,,67,15,27,24,7,25,,,,19,20,19,1,,,,,,1,1,1,1,,,0,,,,0,93,1,1,1,1
File,"AbstractBusPropertiesAccessor.java",1,1,1,1,9,0,4,5,,,,,1,0,1,31,,31,31,1,31,,0,0,1,30,,379,44,147,48,62,188,,,,54,94,47,47,,,,,,2,2,2,1,,,1,,,,1,28,39,39,39,31
File,"AbstractCommandTemplate.java",1,1,1,1,6,0,5,1,,,,,1,0,1,3,,3,3,2,3,,0,0,2,1,,59,10,25,13,9,24,,,,15,20,13,7,,,,,,2,2,2,1,,,1,,,,0,96,4,4,4,3
File,"AbstractComponentScanningBeanDefinitionProvider.java",2,2,2,1,8,0,8,0,,,,,1,0,0,2,,3,3,0,3,,0,0,1,2,,56,8,29,17,9,19,,,,13,21,16,5,,,,,,4,4,4,1,,,3,,,,0,66,5,5,5,2
File,"AbstractControllerIntegrationTest.java",2,2,2,1,11,0,9,1,,,,,2,0,0,4,,4,4,17,4,,0,2,0,2,,172,29,111,74,26,32,,,,66,76,54,22,,,,,,4,4,4,4,,,3,,,,0,29,8,8,8,7
File,"AbstractCounterRepositoryTests.java",1,1,1,1,10,1,8,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,104,20,66,38,31,18,,,,47,53,31,22,,,,,,1,1,1,1,,,0,,,,0,27,5,5,5,5
File,"AbstractDeployer.java",1,1,1,1,8,0,7,1,,,,,1,0,2,22,,24,24,5,24,,0,1,15,8,,320,38,214,92,105,68,,,,107,147,84,63,,,,,,4,4,5,1,,,2,,,,0,32,36,36,37,22
File,"AbstractDistributedTests.java",1,1,1,1,11,0,6,4,,,,,2,1,3,31,,31,30,5,31,,0,3,9,19,,518,62,241,102,112,215,,,,107,165,88,77,,,,,,6,4,6,3,,,3,,,,0,89,53,51,58,39
File,"AbstractDistributedTransportSingleNodeStreamDeploymentIntegrationTests.java",1,1,1,1,16,0,16,0,,,,,1,0,0,7,,7,7,0,7,,0,0,0,7,,170,14,135,69,102,23,,,,110,118,60,58,,,,,,1,1,1,1,,,0,,,,0,17,7,7,7,7
