Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AESUtils.java",2,2,2,1,14,0,9,4,,,,,1,5,0,6,,6,1,0,6,,0,2,0,4,,109,7,67,29,41,35,,,,41,55,30,25,,,,,,3,3,3,1,,,2,,,,0,52,13,13,13,6
File,"AdminIndexController.java",1,1,1,1,4,1,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,21,6,15,10,2,0,,,,6,9,7,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"Application.java",1,1,1,1,4,0,4,0,,,,,1,1,1,1,,1,0,0,1,,0,0,0,1,,16,1,15,11,3,0,,,,9,11,9,2,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ApplicationEventListener.java",8,8,8,1,19,0,18,8,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,45,4,34,16,16,14,,,,20,29,15,14,,,,,,8,8,8,1,,,1,,,,0,41,8,8,8,1
File,"Article.java",1,1,1,1,3,0,3,0,,,,,1,0,1,24,,24,24,12,24,,0,0,0,24,,179,33,105,53,27,41,,,,44,70,44,26,,,,,,2,2,3,1,,,1,,,,0,39,25,25,26,24
File,"ArticleController.java",1,1,1,1,16,0,8,7,,,,,1,1,0,8,,8,7,3,8,,0,0,0,8,,189,14,107,58,44,68,,,,58,74,43,31,,,,,,3,3,3,1,,,2,,,,0,64,15,15,15,8
File,"ArticleServiceImpl.java",2,2,2,1,13,0,12,0,,,,,1,0,0,6,,6,6,3,6,,0,0,0,6,,129,12,108,52,59,9,,,,68,83,42,41,,,,,,4,4,4,1,,,1,,,,0,08,12,12,12,6
File,"ArticleSort.java",1,1,1,1,3,0,3,0,,,,,1,0,1,12,,12,12,6,12,,0,0,0,12,,112,26,57,32,13,29,,,,24,37,25,12,,,,,,1,1,1,1,,,0,,,,0,51,12,12,12,12
File,"ArticleSortController.java",1,1,1,1,14,0,7,7,,,,,1,0,0,6,,6,6,1,6,,0,0,0,6,,130,10,73,40,26,47,,,,36,47,28,19,,,,,,3,3,3,1,,,2,,,,0,64,10,10,10,6
File,"ArticleSortServiceImpl.java",1,1,1,1,7,0,6,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,54,8,37,21,13,9,,,,21,26,16,10,,,,,,2,2,2,1,,,1,,,,0,24,4,4,4,3
File,"ArticleSortVo.java",1,1,1,1,3,0,3,0,,,,,1,1,1,15,,15,14,7,15,,0,0,0,15,,124,26,72,35,24,26,,,,38,54,33,21,,,,,,1,1,1,1,,,0,,,,0,36,15,15,15,15
File,"AuthenticatedTag.java",4,4,5,1,13,1,12,0,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,44,6,23,11,8,15,,,,11,16,10,6,,,,,,4,4,5,1,,,2,,,,0,65,4,4,5,1
File,"BaseController.java",3,3,3,1,17,0,12,4,,,,,1,0,0,5,,5,5,3,5,,0,0,5,0,,122,12,88,39,44,22,,,,47,63,35,28,,,,,,6,6,7,1,,,4,,,,0,25,15,15,17,5
File,"BaseEntity.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,15,5,7,6,1,3,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,43,0,0,0,0
File,"BaseServiceImpl.java",1,1,1,1,3,0,3,0,,,,,1,0,0,18,,19,19,0,19,,0,0,0,19,,120,25,94,53,23,1,,,,36,57,36,21,,,,,,3,3,3,1,,,2,,,,0,01,20,20,20,18
