Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AES.java",3,3,3,3,15,0,11,3,,,,,1,2,1,3,,3,1,0,3,,0,0,0,3,,72,7,55,26,29,11,,,,38,44,26,18,,,,,,8,8,8,8,,,1,,,,0,20,11,11,11,10
File,"AccessLog.java",1,1,1,1,9,0,9,0,,,,,1,0,0,1,,1,1,7,1,,0,0,0,1,,46,5,30,21,7,11,,,,21,23,16,7,,,,,,1,1,1,1,,,0,,,,0,37,1,1,1,1
File,"AccessLogRepository.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,13,3,5,4,0,5,,,,3,4,4,0,,,,,,0,0,0,0,,,0,,,,1,00,0,0,0,0
File,"AccessLogService.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,21,5,16,13,1,0,,,,8,10,9,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"Api.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,5,5,0,5,,5,0,0,0,,28,2,16,15,0,10,,,,11,12,12,0,,,,,,0,0,0,0,,,0,,,,0,62,0,0,0,0
File,"ApiAspect.java",1,1,1,1,10,2,7,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,37,9,28,16,10,0,,,,14,18,12,6,,,,,,2,2,2,1,,,1,,,,0,00,3,3,3,2
File,"ApiConstant.java",0,0,0,0,0,0,0,0,,,,,1,0,11,0,,0,0,0,0,,0,0,0,0,,41,11,14,13,11,16,,,,12,13,13,0,,,,,,0,0,0,0,,,0,,,,1,14,0,0,0,0
File,"ApiInfo.java",1,1,1,1,10,0,10,0,,,,,1,0,0,1,,1,1,9,1,,0,0,0,1,,54,4,33,23,8,17,,,,24,26,18,8,,,,,,1,1,1,1,,,0,,,,0,52,1,1,1,1
File,"ApiInfoRepository.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,16,5,6,5,0,5,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,83,0,0,0,0
File,"ApiInfoService.java",1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,27,6,21,14,3,0,,,,10,14,11,3,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"ApiInterceptor.java",4,4,5,4,28,1,24,3,,,,,1,0,1,4,,4,4,4,4,,0,1,0,3,,159,12,130,48,77,17,,,,85,104,40,64,,,,,,9,9,13,9,,,4,,,,0,13,17,17,23,16
File,"ApiServletContextListener.java",3,3,3,2,23,2,21,0,,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,90,9,73,43,36,8,,,,54,62,40,22,,,,,,5,5,5,4,,,2,,,,0,11,6,6,6,5
File,"ApiWebConfigure.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,24,2,17,11,3,6,,,,7,10,8,2,,,,,,1,1,1,1,,,0,,,,0,35,2,2,2,2
File,"AppKey.java",1,1,1,1,11,0,11,0,,,,,1,0,0,1,,1,1,8,1,,0,0,0,1,,50,4,34,24,8,12,,,,24,26,18,8,,,,,,1,1,1,1,,,0,,,,0,35,1,1,1,1
File,"AppKeyRepository.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,14,3,6,5,0,5,,,,4,5,5,0,,,,,,0,0,0,0,,,0,,,,0,83,0,0,0,0
File,"AppKeyService.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,2,2,,0,0,0,2,,31,7,24,19,2,0,,,,14,17,15,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"AppUserController.java",1,1,1,1,4,0,4,0,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,45,8,37,28,8,0,,,,17,22,18,4,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"Application.java",1,1,1,1,5,0,5,0,,,,,1,1,1,6,,6,5,2,6,,0,1,0,5,,95,10,78,49,27,7,,,,47,57,40,17,,,,,,2,2,2,1,,,1,,,,0,09,7,7,7,6
File,"ApplicationTest.java",1,1,1,1,6,0,6,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,47,5,41,31,8,1,,,,25,28,24,4,,,,,,1,1,1,1,,,0,,,,0,02,2,2,2,2
