Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,2,,2,1,0,2,,0,0,0,2,,26,3,20,15,2,3,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,,0,15,2,2,2,2
File,"Application.java",1,1,1,1,3,0,3,0,,,,,2,1,0,2,,3,2,1,3,,1,0,0,2,,43,8,32,26,2,3,,,,15,19,17,2,,,,,,1,1,1,1,,,0,,,,0,09,2,2,2,2
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,16,2,11,8,1,3,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,27,1,1,1,1
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,16,2,11,8,1,3,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,27,1,1,1,1
File,"Application.java",1,1,1,1,8,0,8,0,,,,,5,1,0,17,,17,16,0,17,,0,1,0,16,,146,22,121,36,67,5,,,,57,78,43,35,,,,,,2,2,2,1,,,1,,,,0,04,19,19,19,17
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,19,3,13,10,1,3,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,23,1,1,1,1
File,"Application.java",1,1,1,1,5,0,5,0,,,,,3,1,0,2,,3,2,3,3,,1,0,0,2,,52,8,41,32,5,4,,,,21,28,25,3,,,,,,2,2,2,1,,,1,,,,0,10,3,3,3,2
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,16,2,11,8,1,3,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,27,1,1,1,1
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,18,4,11,8,1,3,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,27,1,1,1,1
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,18,3,11,8,1,4,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,36,1,1,1,1
File,"Application.java",1,1,1,1,6,0,4,2,,,,,1,1,0,3,,3,2,1,3,,0,0,0,3,,51,9,34,25,7,9,,,,19,23,18,5,,,,,,1,1,1,1,,,0,,,,0,26,3,3,3,3
File,"Application.java",1,1,1,1,3,0,3,0,,,,,1,1,0,2,,2,1,1,2,,0,0,0,2,,31,6,22,17,2,3,,,,11,14,12,2,,,,,,1,1,1,1,,,0,,,,0,14,2,2,2,2
File,"BasicTest.java",3,3,3,1,23,2,21,7,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,40,6,31,15,17,10,,,,26,30,17,13,,,,,,3,3,3,1,,,1,,,,0,32,3,3,3,1
File,"CallDependencyService.java",1,1,1,1,7,0,5,2,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,33,5,20,11,7,9,,,,9,13,9,4,,,,,,2,2,2,1,,,1,,,,0,45,3,3,3,2
File,"DiscoveryService.java",5,5,5,1,20,2,18,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,46,8,35,20,12,3,,,,18,26,18,8,,,,,,5,5,5,1,,,4,,,,0,09,5,5,5,1
File,"EurekaServer.java",1,1,1,1,5,0,5,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,19,4,15,10,3,0,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"EurekaServerApplication.java",1,1,1,1,5,0,5,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,19,4,15,10,3,0,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"EurekaServerApplication.java",1,1,1,1,5,0,5,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,19,4,15,10,3,0,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"GitHubExample.java",1,1,1,1,8,0,8,0,,,,,5,1,0,4,,5,4,5,5,,2,0,0,3,,80,18,59,29,23,5,,,,25,38,26,12,,,,,,3,3,3,1,,,1,,,,0,08,7,7,7,4
File,"HealthCheck.java",1,1,1,1,8,0,8,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,28,4,20,16,6,4,,,,15,17,15,2,,,,,,1,1,1,1,,,0,,,,0,20,1,1,1,1
File,"HystrixController.java",1,1,1,1,6,0,3,3,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,24,3,14,11,1,7,,,,7,9,8,1,,,,,,1,1,1,1,,,0,,,,0,50,1,1,1,1
File,"HystrixService.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,18,3,11,8,1,4,,,,5,7,6,1,,,,,,1,1,1,1,,,0,,,,0,36,1,1,1,1
File,"KeyValues.java",1,1,1,1,9,0,6,3,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,56,10,33,24,12,13,,,,20,26,22,4,,,,,,2,2,2,1,,,1,,,,0,39,4,4,4,3
File,"MyDefaultRibbonConfig.java",1,1,1,1,3,0,3,0,,,,,2,0,0,5,,5,5,0,5,,0,0,0,5,,38,6,28,16,6,4,,,,10,17,12,5,,,,,,1,1,1,1,,,0,,,,0,14,5,5,5,5
File,"Node01.java",1,1,1,1,3,0,3,0,,,,,2,1,0,4,,4,3,1,4,,0,0,0,4,,49,8,38,27,5,3,,,,16,22,18,4,,,,,,1,1,1,1,,,0,,,,0,08,4,4,4,4
File,"Node02.java",1,1,1,1,3,0,3,0,,,,,2,1,0,4,,4,3,1,4,,0,0,0,4,,50,8,39,28,5,3,,,,17,23,19,4,,,,,,1,1,1,1,,,0,,,,0,08,4,4,4,4
File,"QuickStart.java",2,2,2,1,10,4,6,0,,,,,1,1,2,1,,1,0,0,1,,0,0,0,1,,33,10,20,10,8,6,,,,12,15,9,6,,,,,,2,2,2,1,,,1,,,,0,30,2,2,2,1
File,"RibbonDefaultConfigApplication.java",2,2,2,1,10,2,8,0,,,,,1,1,0,2,,2,1,1,2,,0,0,0,2,,52,10,38,27,10,4,,,,22,28,23,5,,,,,,3,3,3,1,,,2,,,,0,11,4,4,4,2
File,"ScheduleKV.java",1,1,1,1,7,0,7,0,,,,,1,0,2,2,,2,2,0,2,,0,0,0,2,,43,7,32,23,12,4,,,,22,26,21,5,,,,,,2,2,2,1,,,1,,,,0,12,3,3,3,2
File,"ServiceRegister.java",1,1,1,1,12,0,12,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,30,4,22,16,10,4,,,,17,19,15,4,,,,,,1,1,1,1,,,0,,,,0,18,1,1,1,1
File,"SimpleApplication.java",1,1,1,1,3,0,3,0,,,,,1,1,0,2,,2,1,0,2,,0,0,0,2,,27,6,21,15,3,0,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,,0,00,2,2,2,2
File,"SimpleApplication.java",1,1,1,1,3,0,3,0,,,,,1,1,0,2,,2,1,0,2,,0,0,0,2,,41,5,21,15,3,15,,,,9,12,10,2,,,,,,1,1,1,1,,,0,,,,0,71,2,2,2,2
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.lkl",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.lkl.consul",1,1,1,1,9,0,7,1,,,,,4,0,2,,4,,7,0,7,,0,0,0,7,,157,25,107,79,40,25,,,,74,88,73,15,,,,,,2,2,2,1,,,1,,,,0,23,9,9,9,7
Public Class,"com.lkl.consul.HealthCheck",1,1,1,1,8,0,8,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,16,1,11,7,6,4,,,,6,8,6,2,,,,,,1,1,1,1,,1,0,,0,0,0,36,1,1,1,1
