Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ChooserDialogFragment.java",2,2,2,1,23,2,18,3,,,,,3,1,1,12,,12,11,11,12,,0,6,0,6,,308,50,219,80,128,39,,,,121,154,77,77,,,,,,10,10,10,1,,,4,,,,0,18,31,31,35,12
File,"Config.java",1,1,1,1,3,0,3,0,,,,,1,0,0,60,,60,60,30,60,,0,0,0,60,,298,73,219,98,61,6,,,,97,158,98,60,,,,,,1,1,1,1,,,0,,,,0,03,60,60,60,60
File,"Content.java",1,1,1,1,3,0,3,0,,,,,1,0,0,22,,22,22,11,22,,0,0,0,22,,109,26,80,35,33,3,,,,34,57,35,22,,,,,,1,1,1,1,,,0,,,,0,04,22,22,22,22
File,"DiskUtil.java",2,1,2,1,11,0,8,2,,,,,1,4,5,4,,4,0,0,4,,0,0,0,4,,71,12,50,22,30,9,,,,32,39,22,17,,,,,,4,2,4,1,,,1,,,,0,18,8,6,8,4
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"FileUtil.java",1,1,1,1,6,0,6,0,,,,,2,2,0,8,,8,6,0,8,,0,0,0,8,,72,11,53,16,25,8,,,,25,40,19,21,,,,,,6,6,6,1,,,2,,,,0,15,14,14,14,8
File,"MainActivity.java",1,1,1,1,16,1,14,0,,,,,17,0,0,20,,20,20,6,20,,0,1,2,17,,249,41,206,39,149,2,,,,106,133,54,79,,,,,,7,2,7,1,,,1,,,,0,01,31,26,33,20
File,"MemoryNotAccessibleException.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,9,3,6,3,1,0,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"MemoryUtil.java",2,2,3,1,16,1,11,4,,,,,1,0,6,6,,6,6,0,6,,0,0,0,6,,125,18,82,33,55,25,,,,48,63,34,29,,,,,,6,6,7,1,,,3,,,,0,30,16,14,20,6
File,"MemorybarAnimation.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,3,2,,0,0,1,1,,30,7,20,12,6,3,,,,13,16,11,5,,,,,,1,1,1,1,,,0,,,,0,15,2,2,2,2
File,"ReportBottomSheet.java",1,1,1,1,17,2,9,6,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,61,11,34,21,13,16,,,,23,27,18,9,,,,,,2,2,2,1,,,1,,,,0,47,3,3,3,2
File,"ResourceUtil.java",1,1,1,1,3,0,3,0,,,,,1,0,0,4,,4,4,1,4,,0,0,0,4,,29,9,20,11,4,0,,,,10,15,11,4,,,,,,1,1,1,1,,,0,,,,0,00,4,4,4,4
File,"SecondaryChooserAdapter.java",1,1,1,1,7,1,5,0,,,,,1,0,1,10,,10,10,9,10,,0,2,0,8,,125,29,89,48,32,7,,,,54,68,42,26,,,,,,4,4,4,1,,,1,,,,0,08,13,13,13,10
File,"SecondaryChooserFragment.java",2,2,2,1,13,1,10,1,,,,,15,0,7,47,,47,47,40,47,,1,22,3,21,,836,134,612,184,376,90,,,,346,452,180,272,,,,,,9,9,10,1,,,3,,,,0,15,102,101,107,47
File,"StorageChooser.java",1,1,1,1,5,0,4,0,,,,,10,3,24,55,,56,55,29,58,,4,7,0,47,,436,80,324,124,168,32,,,,179,246,126,120,,,,,,7,7,8,1,,,3,,,,0,10,63,63,65,55
