Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ExampleInstrumentedTest.java",1,1,1,1,6,1,4,1,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,26,5,15,12,2,6,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,0,40,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,17,3,9,6,1,5,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,56,1,1,1,1
File,"ExpandableListViewDividerAdapter.java",1,1,1,1,4,0,4,0,,,,,1,0,0,25,,25,25,3,25,,0,1,0,24,,171,32,135,60,51,5,,,,47,81,38,43,,,,,,3,3,5,3,,,1,,,,0,04,35,35,40,29
File,"ExpandableListViewFragment.java",1,1,1,1,6,0,6,0,,,,,6,0,0,17,,17,17,5,17,,2,0,0,15,,155,25,124,54,53,6,,,,63,87,48,39,,,,,,3,3,3,1,,,1,,,,0,05,22,22,22,17
File,"ListViewFragment.java",1,1,1,1,7,0,6,0,,,,,6,0,0,11,,11,11,3,11,,2,0,0,9,,111,18,89,38,39,4,,,,46,63,36,27,,,,,,2,2,2,1,,,1,,,,0,04,14,14,14,11
File,"MainActivity.java",2,2,2,1,14,2,11,0,,,,,2,0,0,7,,7,7,2,7,,0,1,1,5,,129,25,98,40,56,6,,,,53,68,33,35,,,,,,7,7,7,1,,,1,,,,0,06,18,16,18,7
File,"RecyclerViewFragment.java",1,1,1,1,8,0,8,0,,,,,5,0,0,10,,10,10,4,10,,1,0,0,9,,131,22,105,47,49,4,,,,60,77,43,34,,,,,,3,2,3,1,,,1,,,,0,04,15,14,15,10
File,"SwipeExpandableListView.java",9,8,12,4,49,6,37,5,,,,,1,0,0,7,,7,7,10,7,,1,0,0,6,,393,63,290,74,223,46,,,,176,229,71,158,,,,,,33,29,44,12,,,4,,,,0,16,65,56,86,28
File,"SwipeItemLayout-2017-10-23.java",3,2,4,1,15,2,12,0,,,,,6,1,1,40,,38,39,24,40,,11,1,6,22,,743,144,575,175,391,27,,,,324,436,165,271,,,,,,31,26,41,13,,,4,,,,0,05,130,115,162,79
File,"SwipeItemLayout.java",3,3,4,1,16,2,13,0,,,,,5,2,2,40,,38,38,25,40,,13,1,8,18,,776,132,607,179,417,42,,,,341,463,164,299,,,,,,33,28,40,10,,,5,,,,0,07,142,126,174,78
File,"SwipeItemLayout.java",2,2,3,1,10,1,9,0,,,,,4,1,2,34,,32,33,16,34,,12,1,8,13,,465,82,369,120,232,17,,,,199,277,107,170,,,,,,8,8,12,6,,,4,,,,0,05,86,79,110,57
File,"SwipeItemLayout1.java",2,2,2,1,11,1,9,0,,,,,4,0,2,33,,33,33,19,33,,3,1,6,23,,504,101,376,153,217,33,,,,217,291,132,159,,,,,,10,10,16,6,,,4,,,,0,09,74,72,97,46
File,"SwipeItemLayout2.java",3,3,4,1,15,2,13,1,,,,,5,2,2,39,,37,37,23,39,,13,1,7,18,,738,129,569,175,381,44,,,,319,433,161,272,,,,,,31,26,38,9,,,4,,,,0,08,134,118,165,76
File,"SwipeListView.java",9,8,12,4,49,6,37,5,,,,,1,0,0,7,,7,7,10,7,,1,0,0,6,,391,63,288,74,220,46,,,,174,227,71,156,,,,,,33,29,44,12,,,4,,,,0,16,65,56,86,28
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.lots",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.lots.travel",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.lots.travel.widget",3,2,4,1,15,2,12,0,,,,,6,1,1,,1,,39,24,40,,11,1,6,22,,743,144,575,175,391,27,,,,324,436,165,271,,,,,,31,26,41,13,,,4,,,,0,05,130,115,162,79
Public Class,"com.lots.travel.widget.SwipeItemLayout",2,2,3,1,11,1,9,0,1,3,3,0,,1,1,,,,22,6,23,23,6,1,6,10,,725,142,559,159,391,27,,,,308,420,149,271,,,,,,7,5,12,6,,2,2,,73,69,0,05,58,52,76,39
Anonymous Class,"com.lots.travel.widget.SwipeItemLayout.(Anon_1)",1,1,1,1,4,0,4,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,0,6,1,5,0,,,,2,3,1,2,,,,,,1,1,1,1,,2,0,,0,0,0,00,1,1,1,1
Public Method,"com.lots.travel.widget.SwipeItemLayout.(Anon_1).getInterpolation",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,0,3,0,1,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Class,"com.lots.travel.widget.SwipeItemLayout.LayoutParams",1,1,1,1,4,0,4,0,1,0,0,0,,0,0,,,,4,1,4,4,0,0,0,4,,24,5,19,7,9,0,,,,9,14,7,7,,,,,,1,1,1,1,,2,0,,50,50,0,00,4,4,4,4
Public Constructor,"com.lots.travel.widget.SwipeItemLayout.LayoutParams.LayoutParams",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,6,2,4,0,5,1,0,4,5,2,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.lots.travel.widget.SwipeItemLayout.LayoutParams.LayoutParams",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.lots.travel.widget.SwipeItemLayout.LayoutParams.LayoutParams",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Constructor,"com.lots.travel.widget.SwipeItemLayout.LayoutParams.LayoutParams",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Enum Type,"com.lots.travel.widget.SwipeItemLayout.Mode",1,1,1,1,0,0,0,0,1,0,0,0,,0,0,,,,2,4,2,2,0,0,0,2,,3,0,3,2,0,0,,,,0,1,1,0,,,,,,1,1,1,1,,1,0,,,,0,00,2,2,2,2
Public Method,"com.lots.travel.widget.SwipeItemLayout.Mode.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.lots.travel.widget.SwipeItemLayout.Mode.values",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Class,"com.lots.travel.widget.SwipeItemLayout.OnSwipeItemTouchListener",10,8,12,4,55,9,43,4,2,2,2,0,,0,0,,,,5,10,5,5,1,0,0,4,,302,55,230,57,182,20,,,,142,181,54,127,,,,,,31,26,41,13,,1,4,,50,48,0,09,50,41,61,24
Public Constructor,"com.lots.travel.widget.SwipeItemLayout.OnSwipeItemTouchListener.OnSwipeItemTouchListener",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,8,2,6,0,9,1,0,6,7,2,5,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Method,"com.lots.travel.widget.SwipeItemLayout.OnSwipeItemTouchListener.cancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,1,5,0,4,2,0,4,6,1,5,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"com.lots.travel.widget.SwipeItemLayout.OnSwipeItemTouchListener.onInterceptTouchEvent",,,,,,,,,,,,,,,,,,,,,,,,,,,21,186,30,141,27,122,18,32,321,3,88,112,27,85,31,26,41,13,33,,,,,30,,4,30,,,0,13,31,26,41,13
Public Method,"com.lots.travel.widget.SwipeItemLayout.OnSwipeItemTouchListener.onRequestDisallowInterceptTouchEvent",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"com.lots.travel.widget.SwipeItemLayout.OnSwipeItemTouchListener.onTouchEvent",,,,,,,,,,,,,,,,,,,,,,,,,,,13,74,15,57,12,48,2,19,27,1,34,44,12,32,15,11,16,8,14,,,,,14,,3,14,,,0,04,15,11,16,8
Private Class,"com.lots.travel.widget.SwipeItemLayout.ScrollRunnable",3,3,3,1,12,1,11,0,2,2,2,0,,0,0,,,,5,3,5,5,4,0,0,1,,74,12,62,14,39,0,,,,32,47,13,34,,,,,,5,5,6,3,,1,3,,33,19,0,00,15,15,18,9
Constructor,"com.lots.travel.widget.SwipeItemLayout.ScrollRunnable.ScrollRunnable",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,1,6,2,4,0,6,1,0,4,5,2,3,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Method,"com.lots.travel.widget.SwipeItemLayout.ScrollRunnable.abort",,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,9,1,5,0,4,3,0,3,6,1,5,3,3,3,1,0,,,,,0,,2,0,,,0,00,3,3,3,1
Public Method,"com.lots.travel.widget.SwipeItemLayout.ScrollRunnable.run",,,,,,,,,,,,,,,,,,,,,,,,,,,5,22,2,20,4,16,0,10,7,1,11,16,4,12,5,5,6,3,2,,,,,2,,3,2,,,0,00,5,5,6,3
Method,"com.lots.travel.widget.SwipeItemLayout.ScrollRunnable.startFling",,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,3,12,1,8,0,2,3,0,6,9,1,8,4,4,6,3,2,,,,,2,,1,2,,,0,00,4,4,6,3
Method,"com.lots.travel.widget.SwipeItemLayout.ScrollRunnable.startScroll",,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,1,9,1,6,0,5,2,0,5,7,1,6,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
