Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractIdGeneratorFactory.java",3,3,3,3,13,0,13,0,,,,,1,0,1,1,,2,2,0,2,,0,0,1,1,,36,6,21,9,9,9,,,,10,15,8,7,,,,,,3,3,3,3,,,1,,,,0,43,3,3,3,3
File,"CachedIdGenerator.java",2,2,3,1,10,0,10,0,,,,,2,0,0,7,,7,7,7,7,,0,1,0,6,,107,11,93,35,47,3,,,,48,68,35,33,,,,,,5,5,5,4,,,3,,,,0,03,18,18,21,12
File,"ClientTest.java",2,2,2,1,6,0,6,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,19,4,12,7,3,3,,,,7,10,7,3,,,,,,2,2,2,1,,,1,,,,0,25,2,2,2,1
File,"Constants.java",1,1,1,1,3,1,2,0,,,,,1,0,2,1,,1,1,0,1,,0,1,0,0,,20,4,7,5,2,9,,,,3,5,5,0,,,,,,1,1,1,1,,,0,,,,1,29,1,1,1,1
File,"DataSourceConfig.java",2,2,2,1,17,1,16,0,,,,,1,0,3,3,,3,3,1,3,,0,2,0,1,,91,14,72,40,41,5,,,,45,54,38,16,,,,,,3,3,4,1,,,2,,,,0,07,7,7,8,3
File,"DbSegmentIdServiceImpl.java",3,3,3,2,15,0,14,1,,,,,1,0,1,2,,2,2,1,2,,0,0,0,2,,61,8,48,26,23,5,,,,34,40,24,16,,,,,,4,4,4,3,,,2,,,,0,10,7,7,7,4
File,"DynamicDataSource.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,31,7,21,11,6,3,,,,10,15,10,5,,,,,,2,2,2,1,,,1,,,,0,14,4,4,4,3
File,"ErrorCode.java",1,1,1,1,2,0,2,0,,,,,1,0,0,5,,3,5,4,5,,1,0,0,4,,35,9,17,9,4,9,,,,8,11,7,4,,,,,,1,1,1,1,,,0,,,,0,53,5,5,5,5
File,"HttpSegmentIdServiceImpl.java",2,2,4,1,14,0,14,0,,,,,1,0,1,2,,2,2,0,2,,0,1,0,1,,53,8,42,22,24,3,,,,29,35,20,15,,,,,,3,3,5,1,,,1,,,,0,07,5,5,8,2
File,"IdContronller.java",3,3,3,1,16,0,16,0,,,,,1,0,1,5,,5,5,4,5,,0,1,0,4,,128,10,115,50,62,3,,,,63,82,41,41,,,,,,5,5,5,1,,,3,,,,0,03,17,17,17,5
