Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AccessToken.java",1,1,1,1,3,0,3,0,,,,,1,0,0,10,,10,10,4,10,,0,0,0,10,,62,16,46,22,13,0,,,,20,31,18,13,,,,,,1,1,1,1,,,0,,,,0,00,10,10,10,10
File,"AccessTokenController.java",5,5,5,3,32,6,26,0,,,,,1,0,0,1,,1,1,3,1,,0,0,0,1,,66,12,54,38,18,0,,,,34,40,30,10,,,,,,5,5,5,3,,,2,,,,0,00,5,5,5,3
File,"AccessTokenRepository.java",1,1,1,1,4,0,4,0,,,,,1,0,0,6,,6,6,3,6,,0,1,0,5,,57,11,46,30,12,0,,,,27,36,28,8,,,,,,2,2,2,1,,,1,,,,0,00,7,7,7,6
File,"AccessTokenService.java",1,1,1,1,5,0,5,0,,,,,1,0,0,6,,6,6,1,6,,0,2,0,4,,58,11,47,23,18,0,,,,26,35,21,14,,,,,,2,2,3,1,,,1,,,,0,00,8,8,9,6
File,"AdminController.java",1,1,1,1,3,0,3,0,,,,,1,0,1,3,,3,3,1,3,,0,0,0,3,,34,6,28,20,5,0,,,,14,18,14,4,,,,,,1,1,1,1,,,0,,,,0,00,3,3,3,3
File,"Advice.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,2,1,,0,0,0,1,,18,3,15,11,4,0,,,,9,11,9,2,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ApiAuthenticationEntryPoint.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,19,4,15,12,1,0,,,,8,10,9,1,,,,,,1,1,1,1,,,0,,,,0,00,1,1,1,1
File,"ApiAuthenticationUserDetailsService.java",3,3,3,1,20,3,17,0,,,,,1,0,1,1,,1,1,2,1,,0,0,0,1,,47,8,39,28,14,0,,,,26,30,24,6,,,,,,3,3,3,1,,,2,,,,0,00,3,3,3,1
File,"ApiPreAuthenticationFilter.java",1,1,1,1,5,0,5,0,,,,,1,0,1,3,,3,3,0,3,,0,0,2,1,,34,8,26,16,9,0,,,,14,19,14,5,,,,,,2,2,3,1,,,1,,,,0,00,4,4,5,3
File,"AppCacheManager.java",1,1,1,1,5,0,4,1,,,,,1,0,0,3,,3,3,1,3,,0,0,1,2,,32,7,22,11,7,3,,,,13,17,10,7,,,,,,1,1,1,1,,,0,,,,0,14,3,3,3,3
