Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ApplicationTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,13,2,8,5,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,38,1,1,1,1
File,"ExampleUnitTest.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,15,3,9,6,1,3,,,,4,6,5,1,,,,,,1,1,1,1,,,0,,,,0,33,1,1,1,1
File,"MainActivity.java",1,1,1,1,6,0,5,0,,,,,1,0,2,4,,4,4,2,4,,0,1,3,0,,58,14,41,20,16,5,,,,23,30,18,12,,,,,,2,2,3,1,,,1,,,,0,12,6,6,7,4
File,"PermissionsActivity.java",1,1,1,1,8,0,7,1,,,,,3,1,5,12,,12,11,2,12,,0,6,2,4,,143,20,101,37,54,31,,,,56,76,38,38,,,,,,3,3,3,3,,,2,,,,0,31,18,18,20,14
File,"PermissionsChecker.java",1,1,1,1,5,0,5,0,,,,,1,0,0,3,,3,3,1,3,,0,1,0,2,,34,5,22,9,7,7,,,,9,16,10,6,,,,,,3,3,3,3,,,2,,,,0,32,5,5,5,5
Package,"me",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"me.chunyu",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"me.chunyu.spike",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"me.chunyu.spike.wcl_permission_demo",1,1,1,1,7,0,6,0,,,,,7,1,7,,5,,20,5,21,,0,8,5,8,,263,44,181,77,79,49,,,,96,134,76,58,,,,,,3,3,3,3,,,2,,,,0,27,31,31,34,25
Public Class,"me.chunyu.spike.wcl_permission_demo.ApplicationTest",1,1,1,1,3,0,3,0,1,0,0,0,,0,0,,,,1,0,1,1,0,0,0,1,,7,0,4,2,1,3,,,,1,3,2,1,,,,,,1,1,1,1,,2,0,,0,0,0,75,1,1,1,1
