Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AccountAssociateHandler.java",5,5,6,4,44,4,37,3,,,,,1,0,1,2,,2,2,0,2,,0,0,0,2,,115,13,92,29,63,10,,,,51,62,27,35,,,,,,7,7,10,7,,,3,,,,0,11,10,10,13,8
File,"AccountManager.java",2,2,2,1,12,0,12,0,,,,,2,0,2,5,,5,5,3,5,,0,2,0,3,,110,14,93,42,50,3,,,,53,66,38,28,,,,,,3,3,3,3,,,2,,,,0,03,10,10,10,7
File,"AccountVerifyHandler.java",5,5,5,5,37,4,32,1,,,,,1,0,1,1,,1,1,0,1,,0,0,0,1,,57,8,45,18,25,4,,,,25,29,15,14,,,,,,5,5,5,5,,,2,,,,0,09,5,5,5,5
File,"AccountsHandler.java",6,6,7,6,61,6,48,7,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,85,10,67,27,42,8,,,,33,41,25,16,,,,,,6,6,7,6,,,2,,,,0,12,6,6,7,6
File,"AccountsStore.java",3,3,3,2,19,0,18,0,,,,,1,0,1,9,,9,9,0,9,,1,1,1,6,,205,17,181,31,128,8,,,,54,82,25,57,,,,,,6,6,6,4,,,3,,,,0,04,29,29,29,18
File,"ActionBottomPane.java",1,1,1,1,6,0,5,0,,,,,3,0,0,11,,14,14,2,14,,4,4,0,6,,124,25,92,49,34,7,,,,55,70,43,27,,,,,,2,2,2,1,,,1,,,,0,08,12,12,12,11
File,"AdminFileHandler.java",1,1,1,1,5,0,4,0,,,,,1,0,0,4,,4,4,2,4,,0,0,1,3,,49,10,35,25,6,4,,,,18,23,18,5,,,,,,1,1,1,1,,,0,,,,0,11,4,4,4,4
File,"AdminHandler.java",2,2,2,1,10,0,9,0,,,,,4,0,2,14,,14,13,1,13,,0,0,8,5,,221,27,185,69,93,13,,,,85,121,58,63,,,,,,5,5,6,4,,,3,,,,0,07,32,32,33,17
File,"AdminLoginHandler.java",3,3,3,1,15,0,13,0,,,,,2,0,2,6,,6,6,5,6,,0,0,3,3,,139,18,119,54,64,2,,,,74,94,51,43,,,,,,8,8,8,1,,,4,,,,0,02,18,18,18,6
File,"AdminServlet.java",2,2,2,2,10,0,9,0,,,,,1,1,2,3,,3,2,0,3,,0,1,1,1,,98,9,86,47,37,3,,,,44,53,42,11,,,,,,4,4,4,4,,,3,,,,0,03,7,7,7,6
