framework,project,java,properties,jar,build.gradle,pom.xml,manifest.xml,xml,bat,md,adoc,README,yaml,txt,sh,travis.yml,yml,cmd,kt,json,others,numberOfFiles
Android,exallium/RxRecyclerView,17,2,1,3,0,2,17,1,2,0,1,0,0,0,0,0,0,0,0,11,54
Android,torryharris/Skycons,28,2,1,3,0,2,26,1,1,0,1,0,0,0,0,0,0,0,0,12,74
Android,chentao0707/SettingView,15,2,2,0,0,2,27,0,1,0,1,0,2,0,0,0,0,0,0,40,89
Android,alt236/Bluetooth-LE-Library---Android,77,1,3,3,0,2,33,1,1,0,1,0,0,0,0,1,0,0,0,34,154
Android,yazhidev/Practice,42,2,1,2,0,1,47,1,1,0,1,0,0,0,0,0,0,9,0,14,119
Android,qkxyjren/LikeView,14,2,1,3,0,2,14,1,1,0,1,0,0,0,0,0,0,0,0,21,57
Android,toddway/ListOfThings,58,2,1,4,0,2,33,1,1,0,1,0,0,0,0,0,0,0,0,13,113
Android,hongyangAndroid/android-percent-support-extend,16,2,1,4,0,3,37,1,3,0,1,0,0,0,0,0,0,0,0,29,93
Android,jacek-marchwicki/JavaWebsocketClient,50,1,1,3,0,1,5,1,2,0,2,0,0,0,1,2,0,0,0,17,82
Android,codeka/wwmmo,285,3,3,5,0,1,126,3,8,0,1,4,16,6,0,0,0,0,3,3256,3718
Android,sphinx02/AppStarter,25,2,1,2,0,1,37,1,1,0,1,0,0,0,0,0,0,0,0,53,122
Android,sockeqwe/mosby,416,12,2,16,0,11,152,1,5,0,5,0,0,4,1,3,0,0,5,229,845
Android,D-clock/AndroidStudyCode,18,0,0,1,0,1,18,0,4,0,1,0,0,0,0,0,0,0,0,8,49
Android,milaptank/SpannableTextView,6,0,0,3,0,2,11,0,1,0,1,0,0,0,0,0,0,0,0,18,39
Android,senzhk/ADBKeyBoard,1,2,1,2,0,1,5,1,1,0,1,0,1,0,0,0,0,0,0,8,22
Android,brianwernick/ExoMedia,56,1,1,3,0,2,40,1,2,0,1,0,0,0,0,0,0,20,0,14,138
Android,seatgeek/android-PlacesAutocompleteTextView,57,3,1,3,0,2,15,1,3,0,1,0,1,1,1,1,0,0,0,19,105
Android,manmal/hn-android,55,3,3,2,0,1,40,2,1,0,1,0,0,0,0,0,0,0,0,73,179
Android,codesoup/android-cubic-bezier-interpolator,1,1,1,2,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,9
Android,anzaizai/EasyRefreshLayout,23,3,1,3,0,2,70,0,1,0,1,0,0,0,0,0,0,0,0,14,115
Android,jshvarts/OfflineSampleApp,35,2,1,2,0,1,11,1,1,0,1,0,0,0,1,1,0,0,0,15,69
Android,tokudu/AndroidPushNotificationsDemo,3,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,13
Android,ShawnLin013/NumberPicker,3,2,1,3,0,2,15,1,1,0,1,0,0,0,0,1,0,0,0,13,40
Android,florina-muntenescu/MVPvsMVVM,11,2,1,2,0,1,14,1,1,0,1,0,0,0,0,0,0,0,0,8,40
Android,NikoYuwono/ToolbarPanel,7,2,1,2,0,2,20,1,2,0,1,0,0,0,0,0,0,0,0,8,43
Android,tyczj/MapNavigator,5,1,0,0,0,1,9,0,1,0,1,0,1,0,0,0,0,0,0,5,22
Android,penglu20/Bigbang,232,2,7,6,0,5,146,1,1,0,1,0,2,0,0,0,0,0,0,104,501
Android,MiEcosystem/NewXmPluginSDK,176,2,9,10,0,8,180,0,5,0,3,0,0,0,0,0,0,0,0,199,581
Android,xxxyanchenxxx/QqDecrpt,9,2,1,2,0,1,14,1,1,0,1,0,0,0,0,0,0,0,0,15,45
Android,frostwire/frostwire,1361,3,9,2,0,1,342,1,4,0,4,0,6,2,0,0,0,0,0,1150,2880
